sales,tv_ad,internet_ad,promotion
538.2 ,69.2,37.8,0
750.0 ,38,39.3,1
591.9 ,69.3,45.9,0
453.0 ,71,41.3,0
589.0 ,58.4,10.8,1
740.0 ,32,48.9,1
446.9 ,23.5,32.8,0
344.4 ,11.6,19.6,0
458.0 ,25,2.1,1
244.2 ,21.2,2.6,0
266.4 ,22,5.8,0
363.8 ,4,24,0
806.0 ,65.9,35.1,1
259.4 ,7.2,7.6,0
487.7 ,55,32.9,0
608.4 ,72.9,47.7,0
815.0 ,114,36.6,1
1347.8 ,695,39.6,0
589.0 ,18.3,20.5,1
382.4 ,19.1,23.9,0
451.3 ,53.4,27.7,0
548.0 ,42,5.1,1
600.0 ,28,15.9,1
580.0 ,26.2,16.9,1
306.7 ,18.3,12.6,0
248.0 ,19.5,3.5,0
658.0 ,12.6,29.3,1
634.0 ,40,16.7,1
408.4 ,22.9,27.1,0
336.4 ,24,16,0
320.0 ,26,28,1
387.6 ,59,17,0
720.0 ,29,37,1
482.9 ,113,21,0
387.0 ,68,25,0
604.5 ,115,39,0
680.0 ,115,20,1
685.0 ,34,27,1
482.5 ,66,30,0
553.8 ,70,40,0
887.0 ,52,56,1
581.8 ,92,40,0
399.8 ,53,20,0
915.0 ,98,42,1
551.6 ,32,47,0
823.0 ,72,36,1
708.3 ,103,57,0
627.9 ,97,46,0
459.5 ,105,19,0
627.0 ,71,24,1
675.5 ,26,41,1
758.0 ,36,39,1
460.2 ,90,22,0
717.1 ,107,26,1
680.0 ,92,23,0
850.0 ,40,16,1
1120.0 ,68,55,1
1046.0 ,67,48,1
914.5 ,79,55,0
1250.0 ,71,42,1
600.4 ,35,16,0
694.3 ,36,30,0
873.2 ,81,19,1
1120.0 ,112,33,1
758.0 ,39,21,1
1150.0 ,83,39,1
838.7 ,87,42,0
755.3 ,32,40,0
928.4 ,64,60,0
1120.0 ,55,55,1
885.2 ,82,50,0
677.0 ,38,27,0
881.9 ,95,47,0
980.0 ,27,43,1
1049.0 ,38,56,1
755.0 ,94,28,0
818.9 ,30,50,0
770.8 ,96,30,0
870.1 ,39,56,0
899.0 ,28,22,1
860.2 ,66,21,1
602.2 ,26,18,0
723.8 ,28,36,0
878.9 ,103,45,0
765.8 ,118,25,0
833.3 ,88,41,0
990.8 ,105,30,1
1150.0 ,51,53,1
829.8 ,106,37,0
752.1 ,71,32,0
1128.0 ,94,37,1
792.0 ,40,44,0
1183.6 ,110,57,1
870.3 ,117,41,0
1094.9 ,60,57,1
994.0 ,51,30,1
948.0 ,31,43,1
659.0 ,82,31,0
758.1 ,29,41,0
1255.0 ,101,60,1
