pid,hid,housenum,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21relig1,ott_score_21,sns_score_21,pc_ability_21,smart_ability_21,esteem_21,ott_score_20,sns_score_20,pc_ability_20,smart_ability_20,esteem_20,ott_change,sns_change,pc_change,smart_change,esteem_change
10001,100,1,1,54,5,2,10,1,1,8,3.75,2.714285714,4,32,8,4.5,4.571428571,5,26,0,-0.75,-1.857142857,-1,0.6
10002,100,2,2,49,5,2,1,2,1,9,6,3.714285714,4.04,27,7,7.25,3.952380952,4.52,36,2,-1.25,-0.238095238,-0.48,-0.9
10003,100,3,2,25,5,1,6,1,1,7,6.75,4.285714286,4.48,30,8,6.75,4.619047619,4.68,30,-1,0,-0.333333333,-0.2,0
10004,100,4,1,21,5,1,1,2,1,9,7.25,4.476190476,4.52,29,7,5.25,3.904761905,4.44,30,2,2,0.571428571,0.08,-0.1
20001,200,1,1,56,5,2,9,1,1,9,5.5,3.428571429,3.4,32,8,3.75,4.571428571,5,27,1,1.75,-1.142857142,-1.6,0.5
20002,200,2,2,55,2,2,4,1,1,9,4.5,3.142857143,3.24,31,8,3,3.380952381,3.64,33,1,1.5,-0.238095238,-0.4,-0.2
20003,200,3,1,28,6,1,8,1,1,9,6.75,5,4.92,29,8,6.75,4.571428571,4.84,30,1,0,0.428571429,0.08,-0.1
30001,300,1,1,50,5,2,10,1,2,9,4.5,4.619047619,4.68,29,9,0,5,5,27,0,4.5,-0.380952381,-0.32,0.2
30002,300,2,2,47,4,2,1,2,1,9,2.5,4.047619048,4.32,29,6,3,4.047619048,4.36,30,3,-0.5,0,-0.04,-0.1
30003,300,3,1,19,5,1,1,2,1,9,2.75,4.047619048,4.36,34,9,0,4.333333333,4.72,32,0,2.75,-0.285714285,-0.36,0.2
40001,400,1,1,44,4,2,18,1,1,9,0,4.666666667,4.8,30,9,0,3.904761905,4.08,31,0,0,0.761904762,0.72,-0.1
40002,400,2,2,45,5,2,6,1,1,4,0,4.857142857,4.96,27,0,0,4.571428571,4.92,28,4,0,0.285714286,0.04,-0.1
40003,400,3,1,15,3,1,1,2,1,9,4,4.904761905,4.88,26,8,4,4.380952381,4.52,33,1,0,0.523809524,0.36,-0.7
40004,400,4,2,14,3,1,1,2,1,9,2.5,3.047619048,4.12,23,9,2.5,3.571428571,3.72,33,0,0,-0.523809523,0.4,-1
50001,500,1,1,49,5,2,11,1,1,9,0,4.666666667,4.92,32,0,0,4.904761905,5,37,9,0,-0.238095238,-0.08,-0.5
50002,500,2,2,44,5,2,1,2,2,0,0,4.857142857,4.88,33,0,0,4.666666667,4.6,34,0,0,0.19047619,0.28,-0.1
50003,500,3,2,15,3,1,1,2,2,5,0,3.333333333,4.08,34,0,0,4.428571429,4.44,32,5,0,-1.095238096,-0.36,0.2
50004,500,4,2,14,3,1,1,2,2,5,0,3.333333333,4,37,0,0,4.428571429,4.52,37,5,0,-1.095238096,-0.52,0
60001,600,1,1,52,5,2,11,1,2,9,4.25,5,4.88,27,9,4.25,4.619047619,4.68,31,0,0,0.380952381,0.2,-0.4
60002,600,2,2,48,4,2,7,1,2,4,0,2.238095238,2.84,35,4,0,2.476190476,3.2,35,0,0,-0.238095238,-0.36,0
60003,600,3,2,20,5,1,1,2,2,9,8.5,4.523809524,4.56,19,9,7.5,4.714285714,4.76,20,0,1,-0.19047619,-0.2,-0.1
60004,600,4,2,15,3,1,1,2,2,9,6.5,4.095238095,4.44,25,8,6.5,3.476190476,3.32,36,1,0,0.619047619,1.12,-1.1
80001,800,1,1,71,4,3,1,2,2,0,0,1.142857143,1.08,29,0,0,1,1.12,34,0,0,0.142857143,-0.04,-0.5
100001,1000,1,1,42,5,2,8,1,1,9,3.75,4.904761905,4.92,24,9,3,5,5,28,0,0.75,-0.095238095,-0.08,-0.4
100002,1000,2,2,42,6,2,11,1,1,0,0,4.904761905,4.92,33,0,0,4.666666667,4.64,35,0,0,0.238095238,0.28,-0.2
130001,1300,1,1,74,3,2,1,2,2,5,0,1.142857143,2.04,26,8,0,2.238095238,1.88,28,-3,0,-1.095238095,0.16,-0.2
130002,1300,2,2,71,3,2,4,1,2,7,0,1.095238095,2.04,29,9,0,2.238095238,2.32,28,-2,0,-1.142857143,-0.28,0.1
140001,1400,1,2,59,4,3,6,1,2,8,3,2.095238095,2.52,27,6,0,3.571428571,3.36,34,2,3,-1.476190476,-0.84,-0.7
160001,1600,1,1,70,3,2,4,1,1,8,0,1.095238095,1.84,28,9,0,2.095238095,2.8,25,-1,0,-1,-0.96,0.3
160002,1600,2,2,69,3,2,1,2,1,9,0,1.095238095,1.92,22,9,0,2.238095238,2.2,27,0,0,-1.142857143,-0.28,-0.5
180001,1800,1,2,54,4,4,5,1,1,9,0,2.523809524,3.28,27,9,0,3,3.16,28,0,0,-0.476190476,0.12,-0.1
220001,2200,1,1,69,4,2,6,1,2,0,4,1.571428571,1.96,29,0,4,3.952380952,4.24,24,0,0,-2.380952381,-2.28,0.5
220002,2200,2,2,67,4,2,2,2,2,9,4.75,2.380952381,2.84,24,9,4.75,1.714285714,2.32,30,0,0,0.666666667,0.52,-0.6
230001,2300,1,1,60,5,2,11,1,2,5,0,3.761904762,3.72,34,7,0,3.619047619,3.64,34,-2,0,0.142857143,0.08,0
230002,2300,2,2,66,4,2,1,2,2,4,0,3.095238095,3.2,34,0,0,2.095238095,2.36,32,4,0,1,0.84,0.2
230003,2300,3,2,31,5,1,6,1,2,5,3,3.80952381,3.72,37,9,5.75,4.476190476,4.28,34,-4,-2.75,-0.666666666,-0.56,0.3
260001,2600,1,1,60,5,2,12,1,2,5,0,3.476190476,3.64,26,9,0,4.095238095,3.64,34,-4,0,-0.619047619,0,-0.8
260002,2600,2,2,58,4,2,2,2,2,5,4,3.476190476,4.12,27,5,2.75,3.619047619,4.08,31,0,1.25,-0.142857143,0.04,-0.4
260003,2600,3,2,29,5,1,7,1,2,5,6,4.904761905,4.92,25,9,5.5,4.285714286,4.16,31,-4,0.5,0.619047619,0.76,-0.6
260004,2600,4,1,27,5,1,8,1,2,5,6,4.285714286,4.92,27,9,4.5,4.142857143,4.28,31,-4,1.5,0.142857143,0.64,-0.4
270001,2700,1,1,67,4,2,4,1,2,8,0,1.285714286,2.12,31,7,0,4.047619048,3.8,35,1,0,-2.761904762,-1.68,-0.4
270002,2700,2,2,55,4,2,7,1,2,6,5,1.333333333,2.52,31,6,5,3.095238095,3.4,33,0,0,-1.761904762,-0.88,-0.2
290001,2900,1,2,66,4,2,1,2,1,0,0,1.428571429,2.44,24,0,0,2.333333333,2.4,21,0,0,-0.904761904,0.04,0.3
290002,2900,2,1,59,4,2,7,1,2,0,0,1.428571429,2.48,26,0,0,3.333333333,3.32,22,0,0,-1.904761904,-0.84,0.4
290003,2900,3,2,36,5,1,7,1,2,0,0,3.666666667,3.64,27,0,5.75,4.333333333,4.16,28,0,-5.75,-0.666666666,-0.52,-0.1
300001,3000,1,2,58,4,3,7,1,2,0,0,2.142857143,2.48,28,0,0,2.285714286,2.32,29,0,0,-0.142857143,0.16,-0.1
300002,3000,2,2,31,5,1,6,1,2,4,4.5,4.380952381,4.44,27,4,0,4.619047619,4.6,29,0,4.5,-0.238095238,-0.16,-0.2
