id,TV,Social,Radio,Sales
1,29.32,14.43 ,50.00 ,130.00 
2,45,20.10 ,7.24 ,366.38 
3,0,0.00 ,150.00 ,285.73 
4,72.36,23.92 ,3.37 ,184.16 
5,47.71,24.17 ,0.00 ,170.72 
6,0,85.00 ,0.00 ,251.00 
7,49.13,10.07 ,0.00 ,25.30 
8,14.16,0.00 ,0.00 ,47.00 
9,0,0.00 ,40.00 ,55.47 
10,17.82,10.45 ,3.36 ,24.59 
11,0,0.00 ,0.00 ,207.77 
12,91.92,25.05 ,6.11 ,317.10 
13,52.13,0.00 ,18.00 ,188.08 
14,41.66,3.92 ,2.53 ,139.92 
15,15,11.66 ,0.00 ,178.56 
16,10,50.00 ,3.95 ,216.00 
17,15,18.65 ,4.53 ,89.82 
18,0,85.00 ,0.00 ,298.10 
19,25,0.00 ,0.00 ,404.36 
20,15.79,0.00 ,60.00 ,91.01 
21,64.22,24.70 ,0.00 ,260.10 
22,0,15.25 ,4.59 ,224.14 
23,77.56,26.82 ,5.51 ,176.00 
24,81.09,0.00 ,0.00 ,296.18 
25,46.1,17.79 ,4.12 ,114.04 
26,0,6.48 ,0.00 ,56.40 
27,56.22,25.28 ,3.24 ,210.32 
28,10,33.06 ,5.00 ,346.75 
29,47.49,18.23 ,0.00 ,99.00 
30,18.96,8.81 ,2.41 ,87.29 
31,0,22.96 ,58.00 ,243.63 
32,22.53,0.00 ,0.00 ,96.42 
33,32,37.72 ,0.00 ,424.42 
34,36.22,9.10 ,3.82 ,186.09 
35,0,0.00 ,0.00 ,82.00 
36,20,47.12 ,35.00 ,345.59 
37,0,39.23 ,0.00 ,371.31 
38,44.23,16.91 ,4.03 ,157.21 
39,86.59,31.52 ,0.00 ,287.74 
40,93.15,33.06 ,5.79 ,350.21 
41,0,10.65 ,10.00 ,108.00 
42,32.63,0.00 ,2.36 ,80.00 
43,29.19,0.00 ,4.21 ,63.00 
44,10,125.00 ,3.22 ,249.40 
45,14.76,8.00 ,4.19 ,73.44 
46,15,85.00 ,0.00 ,302.76 
47,0,0.00 ,0.00 ,116.00 
48,49.53,24.36 ,3.80 ,195.20 
49,29.36,11.21 ,0.00 ,92.00 
50,0,7.64 ,0.00 ,143.00 
