week,sales,tv_ad,internet_ad,promotion
1,538.2 ,69.2,37.8,0
2,685.2 ,38,39.3,1
3,591.9 ,69.3,45.9,0
4,563.7 ,71,41.3,0
5,527.2 ,58.4,10.8,1
6,740.0 ,32,48.9,1
7,446.9 ,23.5,32.8,0
8,344.4 ,11.6,19.6,0
9,408.7 ,25,2.1,1
10,244.2 ,21.2,2.6,0
11,266.4 ,22,5.8,0
12,363.8 ,4,24,0
13,706.1 ,65.9,35.1,1
14,259.4 ,7.2,7.6,0
15,487.7 ,55,32.9,0
16,608.4 ,72.9,47.7,0
17,801.7 ,114,36.6,1
18,1347.8 ,695,39.6,0
19,522.2 ,18.3,20.5,1
20,382.4 ,19.1,23.9,0
21,451.3 ,53.4,27.7,0
22,459.3 ,42,5.1,1
23,508.0 ,28,15.9,1
24,511.7 ,26.2,16.9,1
25,306.7 ,18.3,12.6,0
26,248.0 ,19.5,3.5,0
27,572.0 ,12.6,29.3,1
28,534.8 ,40,16.7,1
29,408.4 ,22.9,27.1,0
30,336.4 ,24,16,0
31,586.9 ,26,28,1
32,387.6 ,59,17,0
33,653.6 ,29,37,1
34,482.9 ,113,21,0
35,452.0 ,68,25,0
36,604.5 ,115,39,0
37,690.4 ,115,20,1
38,594.3 ,34,27,1
39,482.5 ,66,30,0
40,553.8 ,70,40,0
41,823.9 ,52,56,1
42,581.8 ,92,40,0
43,399.8 ,53,20,0
44,810.1 ,98,42,1
45,551.6 ,32,47,0
46,723.1 ,72,36,1
47,708.3 ,103,57,0
48,627.9 ,97,46,0
49,459.5 ,105,19,0
50,639.5 ,71,24,1
51,675.5 ,26,41,1
52,679.6 ,36,39,1
53,460.2 ,90,22,0
54,717.1 ,107,26,1
55,719.4 ,92,23,0
56,780.0 ,40,16,1
57,1095.4 ,68,55,1
58,1046.0 ,67,48,1
59,914.5 ,79,55,0
60,1012.2 ,71,42,1
61,600.4 ,35,16,0
62,694.3 ,36,30,0
63,873.2 ,81,19,1
64,1023.6 ,112,33,1
65,812.3 ,39,21,1
66,1013.0 ,83,39,1
67,838.7 ,87,42,0
68,755.3 ,32,40,0
69,928.4 ,64,60,0
70,1072.4 ,55,55,1
71,885.2 ,82,50,0
72,677.0 ,38,27,0
73,881.9 ,95,47,0
74,940.9 ,27,43,1
75,1049.0 ,38,56,1
76,755.0 ,94,28,0
77,818.9 ,30,50,0
78,770.8 ,96,30,0
79,870.1 ,39,56,0
80,799.6 ,28,22,1
81,860.2 ,66,21,1
82,602.2 ,26,18,0
83,723.8 ,28,36,0
84,878.9 ,103,45,0
85,765.8 ,118,25,0
86,833.3 ,88,41,0
87,990.8 ,105,30,1
88,1051.6 ,51,53,1
89,829.8 ,106,37,0
90,752.1 ,71,32,0
91,1018.9 ,94,37,1
92,792.0 ,40,44,0
93,1183.6 ,110,57,1
94,870.3 ,117,41,0
95,1094.9 ,60,57,1
96,894.9 ,51,30,1
97,948.0 ,31,43,1
98,759.6 ,82,31,0
99,758.1 ,29,41,0
100,1188.1 ,101,60,1
