pid,hid,area,metro,fam_mem,male,age,school,spouse,religion,personal_income,family_income,executives,SE15T   ,SE20T   ,SF_change,int_total_20,int_total_15,int_change,internet_ability,social_20
10001,100,1,1,4,1,53,5,1,1,11,4,1,-1.245325432,-0.055021802,1.19030363,405,50,355,44,0
10002,100,1,1,4,0,48,5,1,0,1,4,0,-0.352580268,2.259790121,2.612370389,110,10,100,40,0
20002,200,1,1,3,0,54,2,1,0,5,6.666666667,0,-0.820010262,1.56826125,2.388271512,155,0,155,34,0.25
30001,300,8,1,4,1,49,5,1,0,9,2,1,1.243227531,-0.956939883,-2.200167414,230,25,205,50,0
30002,300,8,1,4,0,46,4,1,0,1,2,0,-0.597789315,-0.826636264,-0.228846949,120,0,120,43,0.083333333
40001,400,8,1,4,1,43,4,1,1,14,3.25,1,0.97151613,-0.289904047,-1.261420177,340,55,285,37,0
40002,400,8,1,4,0,44,5,1,1,1,3.25,0,0.365598992,-0.807112396,-1.172711388,310,45,265,44,0
50001,500,8,1,4,1,48,5,1,1,11,2.5,0,1.011278263,1.569980973,0.55870271,205,235,-30,50,0
50002,500,8,1,4,0,43,5,1,0,1,2.5,0,2.525208793,0.434770724,-2.090438069,130,105,25,46,0
60001,600,8,1,4,1,51,5,1,0,10,2.75,1,-0.78212493,-0.225275706,0.556849224,740,590,150,46,0
60002,600,8,1,4,0,47,4,1,0,5,2.75,0,1.458163979,0.353296292,-1.104867687,0,135,-135,24,0
80001,800,8,1,1,1,70,4,0,0,2,1,0,-0.186090877,0.434770724,0.620861601,60,0,60,10,0
90001,900,8,1,3,1,57,5,1,1,6,2,0,1.343426787,0.446647676,-0.896779111,110,0,110,27,0
100001,1000,8,1,4,1,41,5,1,1,8,3.75,1,-0.78212493,0.194643776,0.976768706,420,380,40,50,2.333333333
100002,1000,8,1,4,0,41,6,1,1,8,3.75,1,0.366206138,1.839642967,1.473436829,220,395,-175,43,0
130001,1300,1,1,2,1,73,3,1,0,1,1.5,0,-0.105021865,-0.30382735,-0.198805485,25,0,25,23,0
140001,1400,1,1,1,0,58,4,0,0,5,5,0,-0.809823956,1.449183372,2.259007328,60,85,-25,38,0
160001,1600,1,1,2,1,69,3,1,1,5,2.5,0,0.748753981,-1.873051793,-2.621805774,70,0,70,20,0
160002,1600,1,1,2,0,68,3,1,0,1,2.5,0,-0.02290795,-1.606312586,-1.583404636,40,5,35,23,0
180001,1800,1,1,1,0,53,4,0,1,5,4,0,-0.461637419,0.199286286,0.660923705,95,25,70,31,0
220001,2200,1,1,2,1,68,4,1,0,8,6.5,0,0.245396532,-0.258163769,-0.503560301,185,55,130,41,0
220002,2200,1,1,2,0,66,4,1,0,7,6.5,0,0.935979842,0.475712462,-0.46026738,25,30,-5,17,0
230001,2300,1,1,4,1,59,5,1,0,8,2.75,0,0.390359137,1.086123273,0.695764136,285,105,180,35,0
230002,2300,1,1,4,0,65,4,1,0,1,2.75,0,-0.742484807,0.070639439,0.813124246,10,45,-35,23,0
260001,2600,1,1,4,1,59,5,1,1,6,4.5,0,-0.319956807,0.559043125,0.878999932,75,215,-140,41,0
260002,2600,1,1,4,0,57,4,1,1,1,4.5,0,-0.105021865,-0.51922612,-0.414204255,50,15,35,34,0
270001,2700,1,1,2,1,66,4,1,0,5,4.5,0,0.517715081,1.231308251,0.71359317,60,0,60,41,0
270002,2700,1,1,2,0,54,4,1,0,6,4.5,0,1.01706138,1.459753236,0.442691856,35,30,5,35,0
290001,2900,1,1,3,0,65,4,1,1,1,4,0,2.175342788,-2.170306057,-4.345648845,40,55,-15,21,0
