week,ad,ad_1,ad_2,rev
1,321.48,276.12,45.36,285595
2,111.4,53.4,58,317790
3,75.72,20.64,55.08,340386
4,231.36,181.8,49.56,485459
5,229.92,216.96,12.96,393502
6,69.12,10.44,58.68,384841
7,108.36,69,39.36,384542
8,167.76,144.24,23.52,331222
9,25.82,10.32,15.5,241438
10,260.76,239.76,21,275154
11,0,0,0,158352
12,0,0,0,96160
13,0,0,0,71186
14,136.2,117,19.2,176947
15,284.4,244.92,39.48,318852
16,291.72,234.48,57.24,459708
17,125.28,81.36,43.92,373635
18,385.2,337.68,47.52,540907
19,88.64,83.04,5.6,328595
20,205.44,176.76,28.68,410520
21,295.32,262.08,33.24,501348
22,307.98,284.88,23.1,514540
23,34.92,15.84,19.08,275536
24,294.24,273.96,20.28,304405
25,89.88,74.76,15.12,281388
26,320.98,315.48,5.5,273649
27,206.64,171.48,35.16,411313
28,308.16,288.12,20.04,466503
29,331.08,298.56,32.52,428903
30,103.92,84.72,19.2,374980
31,385.44,351.48,33.96,414826
32,161.28,135.48,25.8,397206
33,128.44,116.64,11.8,377820
34,342.72,318.72,24,412886
35,136.34,114.84,21.5,318952
36,362.84,348.84,14,386946
37,372.84,320.28,52.56,556120
38,148.92,89.64,59.28,571082
39,83.76,51.72,32.04,483242
40,318.84,273.6,45.24,538662
41,269.76,243,26.76,437567
42,252.48,212.4,40.08,426497
43,385.56,352.32,33.24,543613
44,258.36,248.28,10.08,519253
45,60.96,30.12,30.84,426869
46,237.12,210.12,27,357929
47,119.52,107.64,11.88,347091
48,337.68,287.88,49.8,494676
49,291.6,272.64,18.96,515721
50,94.32,80.28,14.04,398511
51,272.96,239.76,33.2,453372
52,132,120.48,11.52,325197
53,309.72,259.68,50.04,463272
54,274.56,219.12,55.44,622374
55,349.8,315.24,34.56,612256
56,297.96,238.68,59.28,595346
57,0,0,0,288810
58,0,0,0,185468
59,0,0,0,111409
60,0,0,0,65381
61,0,0,0,46396
62,364.8,313.56,51.24,384770
63,305.76,287.16,18.6,431929
64,158.76,123.24,35.52,364237
65,208.68,157.32,51.36,400389
66,93.96,82.8,11.16,299094
67,67.32,37.8,29.52,251282
68,204.16,167.16,37,314536
69,317.88,284.88,33,374984
70,312.84,260.16,52.68,561436
71,275.64,238.92,36.72,450709
72,148.92,131.76,17.16,329445
73,71.76,32.16,39.6,411356
74,192.08,155.28,36.8,442956
75,285.6,256.08,29.52,480221
76,72.72,20.28,52.44,411608
77,34.92,33,1.92,198886
78,178.8,144.6,34.2,358612
79,0,0,0,164349
80,0,0,0,84161
81,0,0,0,59452
82,0,0,0,46186
83,0,0,0,31299
84,135.48,82.08,53.4,214420
85,307.8,256.2,51.6,441435
86,253.92,231.84,22.08,400843
87,124.56,91.56,33,379840
88,181.56,132.84,48.72,420852
89,136.56,105.96,30.6,349832
90,189.12,131.76,57.36,455509
91,167.04,161.16,5.88,321848
92,36.12,34.32,1.8,207720
93,301.44,261.24,40.2,349854
94,344.88,301.08,43.8,538924
95,145.68,128.88,16.8,385102
96,233.88,195.96,37.92,500329
97,261.12,237.12,24,415052
98,247.08,221.88,25.2,358890
99,398.4,347.64,50.76,666525
100,212.28,162.24,50.04,497405
101,272.04,266.88,5.16,434458
102,399.24,355.68,43.56,496345
103,348.36,336.24,12.12,594526
104,246.12,225.48,20.64,522813
105,327,285.84,41.16,555346
106,221.16,165.48,55.68,513656
107,43.2,30,13.2,330752
108,126.68,108.48,18.2,342801
109,0,0,0,173505
110,0,0,0,100891
111,0,0,0,71585
112,0,0,0,37803
113,0,0,0,34087
114,0,0,0,23225
115,0,0,0,22731
116,0,0,0,20541
117,184.2,167.04,17.16,154882
118,97.48,91.68,5.8,141071
119,195.12,150.84,44.28,304654
120,42.48,23.28,19.2,222759
121,201.72,169.56,32.16,302177
122,48.6,22.56,26.04,239057
123,271.68,268.8,2.88,285758
124,189.24,147.72,41.52,329265
125,314.16,275.4,38.76,392280
126,118.8,104.64,14.16,395049
127,56.04,9.36,46.68,310638
128,96.24,96.24,0,206646
129,323.16,264.36,58.8,457845
130,85.92,71.52,14.4,347447
131,48.36,0.84,47.52,350920
132,321.72,318.24,3.48,295397
133,42.72,10.08,32.64,312311
134,303.96,263.76,40.2,371702
135,90.6,44.28,46.32,369151
136,114.36,57.96,56.4,420003
137,77.52,30.72,46.8,356321
138,363.12,328.44,34.68,473098
139,82.68,51.6,31.08,324202
140,274.56,221.88,52.68,442303
141,108.48,88.08,20.4,324634
142,274.92,232.44,42.48,475211
143,304.44,264.6,39.84,511349
144,141.52,125.52,16,334355
145,133.2,115.44,17.76,282826
146,170.64,168.36,2.28,304524
147,296.88,288.12,8.76,298321
148,350.64,291.84,58.8,540285
149,93.96,45.6,48.36,406055
150,84.6,53.64,30.96,328374
151,353.52,336.84,16.68,412233
152,155.28,145.2,10.08,382308
153,265.08,237.12,27.96,369714
154,253.2,205.56,47.64,448404
155,250.68,225.36,25.32,517651
156,18.84,4.92,13.92,331768
157,164.88,112.68,52.2,396303
158,210.76,179.76,31,362909
159,58.32,14.04,44.28,337488
160,180.12,158.04,22.08,295440
161,228.72,207,21.72,299080
162,145.8,102.84,42.96,387851
163,247.8,226.08,21.72,339176
164,240.36,196.2,44.16,500299
165,158.28,140.64,17.64,340923
166,285.48,281.4,4.08,352240
167,66.6,21.48,45.12,326683
168,273.16,248.16,25,450700
169,286.8,258.48,28.32,456221
170,353.88,341.16,12.72,398723
171,0,0,0,248977
172,222.48,197.4,25.08,342694
173,47.64,23.52,24.12,308784
174,240.08,202.08,38,419298
175,290.88,266.88,24,490522
176,390.96,332.28,58.68,546762
177,334.32,298.08,36.24,503521
178,233.24,204.24,29,537744
179,347.04,332.04,15,455671
180,210.72,198.72,12,404519
181,202.92,187.92,15,444220
182,268.68,262.2,6.48,382411
183,92.44,67.44,25,402794
184,396.72,345.12,51.6,543366
185,330.12,304.56,25.56,495634
186,300.12,246,54.12,588164
187,199.4,167.4,32,476488
188,284.72,229.32,55.4,579626
189,359.88,343.2,16.68,588524
190,0,0,0,337494
191,0,0,0,162668
192,0,0,0,104591
193,44.64,20.64,24,154528
194,250.56,200.16,50.4,349945
195,222.36,179.64,42.72,459891
196,50.28,45.84,4.44,282836
197,128.04,113.04,15,224814
198,223.56,212.4,11.16,304396
199,390.72,340.32,50.4,483619
200 ,250.00 ,200.00 ,50.00 ,586113 
