id,성별,브랜드코드,추천의향
1,여,5,5
2,여,4,10
3,여,4,6
4,여,4,6
5,여,1,4
6,여,1,4
7,여,1,6
8,남,3,10
9,남,2,8
10,남,4,5
11,남,4,5
12,여,3,6
13,여,3,9
14,여,4,8
15,여,3,10
16,남,4,6
17,여,3,8
18,남,4,8
19,남,2,9
20,여,3,5
21,여,4,8
22,여,4,3
23,여,3,10
24,남,5,5
25,남,4,8
26,남,3,10
27,남,3,10
28,남,3,10
29,남,3,10
30,여,4,5
31,남,3,10
32,남,3,10
33,남,4,5
34,여,2,6
35,여,4,6
36,여,3,10
37,여,3,9
38,여,1,5
39,남,3,10
40,여,3,9
41,여,3,10
42,남,3,10
43,남,5,5
44,남,2,5
45,여,2,5
46,여,2,4
47,여,3,10
48,남,3,10
49,남,2,5
50,남,3,10
51,여,2,4
52,여,4,4
53,여,3,5
54,여,4,5
55,남,3,10
56,남,4,9
57,여,4,6
58,여,4,9
59,남,4,8
60,여,4,9
61,여,1,3
62,남,3,9
63,여,3,10
64,남,1,4
65,여,4,5
66,여,4,9
67,남,3,10
68,남,4,5
69,남,4,6
70,남,1,4
71,남,3,10
72,남,2,10
73,남,5,6
74,여,1,3
75,남,5,5
76,여,5,6
77,여,5,5
78,여,4,6
79,여,5,5
80,남,4,6
81,남,4,6
82,남,4,8
83,남,2,10
84,남,5,5
85,남,3,10
86,여,4,5
87,남,3,3
88,남,4,6
89,여,5,5
90,여,4,8
91,여,5,4
92,남,5,5
93,여,5,4
94,남,3,10
95,여,4,6
96,여,4,5
97,여,2,10
98,남,5,5
99,남,5,4
100,남,4,5
101,남,4,6
102,남,2,10
103,남,4,5
104,여,5,5
105,남,3,10
106,남,3,10
107,남,3,10
108,남,5,4
109,남,3,10
110,여,5,4
111,여,5,6
112,여,5,5
113,여,5,5
114,여,1,4
115,남,3,10
116,여,5,5
117,남,3,10
118,남,5,6
119,남,4,5
120,여,2,10
121,여,5,6
122,여,4,6
123,남,5,6
124,남,5,5
125,남,4,5
126,남,4,4
127,여,3,10
128,여,3,5
129,남,4,5
130,남,4,6
131,남,1,3
132,여,5,5
133,여,4,6
134,남,3,10
135,여,4,6
136,남,3,10
137,여,5,4
138,남,4,8
139,여,2,10
140,남,3,10
141,여,4,8
142,여,5,6
143,남,5,4
144,여,4,8
145,여,1,10
146,남,5,6
147,여,3,9
148,여,4,5
149,여,4,6
150,여,5,4
151,남,3,10
152,남,3,10
153,남,4,6
154,남,3,10
155,남,5,5
156,남,5,4
157,여,5,4
158,여,5,3
159,남,5,5
160,남,4,8
161,여,4,6
162,남,4,8
163,여,4,6
164,남,3,10
165,여,5,5
166,여,4,5
167,여,5,6
168,남,5,5
169,남,3,10
170,남,3,10
171,여,4,8
172,여,5,4
173,여,1,2
174,여,4,8
175,남,4,6
176,남,4,4
177,여,4,6
178,여,5,3
179,남,3,10
180,여,5,6
181,여,3,10
182,남,5,6
183,남,5,6
184,여,3,9
185,여,3,10
186,남,5,4
187,여,4,9
188,여,3,10
189,여,3,9
190,여,3,8
191,남,4,8
192,남,3,10
193,남,4,6
194,여,5,4
195,남,3,10
196,남,4,5
197,남,2,4
198,남,4,5
199,남,3,9
200,남,3,10
201,여,4,8
202,여,4,8
203,남,4,5
204,여,4,6
205,남,3,10
206,남,4,4
207,남,5,4
208,남,3,10
209,여,4,5
210,남,3,10
211,남,3,10
212,남,2,10
213,남,2,10
214,여,3,9
215,남,4,5
216,여,4,5
217,남,2,10
218,여,2,6
219,남,3,8
220,여,3,9
221,여,2,10
222,남,2,10
223,여,5,6
224,남,5,5
225,여,3,5
226,여,5,5
