Customer,Date,StockCode,Price,Quantity
17851,1/15/2010 15:47,10123C,0.65,1
17851,1/15/2010 15:47,84826,0.85,1
17851,1/15/2010 15:47,84826,0.85,1
17851,1/15/2010 15:47,22133,0.85,1
17851,1/15/2010 15:47,22196,0.85,1
17851,1/15/2010 15:47,22196,0.85,1
17851,1/15/2010 15:47,90111,1.05,1
17851,1/15/2010 15:47,21031,1.25,1
17851,1/15/2010 15:47,85049F,1.25,1
17851,1/15/2010 15:47,22134,0.42,3
17851,1/15/2010 15:47,20974,0.65,2
17851,1/15/2010 15:47,20975,0.65,2
17851,1/15/2010 15:47,22208,1.65,1
17851,1/15/2010 15:47,22132,0.85,2
17851,1/15/2010 15:47,21542,0.85,3
17851,1/15/2010 15:47,22087,2.95,1
17851,1/15/2010 15:47,21250,2.95,1
17851,1/15/2010 15:47,21249,2.95,1
17851,1/15/2010 15:47,21251,2.95,1
17851,1/15/2010 15:47,90108,1.05,3
17851,1/15/2010 15:47,22195,1.65,2
17851,1/15/2010 15:47,21544,0.85,4
17851,1/15/2010 15:47,47566,4.65,1
17851,1/15/2010 15:47,84854,4.95,1
17851,1/15/2010 15:47,22027,0.42,12
17851,1/15/2010 15:47,21507,0.42,12
17851,1/15/2010 15:47,21508,0.42,12
17851,1/15/2010 15:47,22025,0.42,12
17851,1/15/2010 15:47,22037,0.42,12
17851,1/15/2010 15:47,22029,0.42,12
17851,1/15/2010 15:47,22030,0.42,12
17851,1/15/2010 15:47,22036,0.42,12
17851,1/15/2010 15:47,90112,1.05,5
17851,1/15/2010 15:47,84558A,2.95,2
17851,1/15/2010 15:47,84406B,3.25,2
17851,1/15/2010 15:47,21731,1.65,4
17851,1/15/2010 15:47,22366,6.75,1
17851,1/15/2010 15:47,48138,6.75,1
17851,1/15/2010 15:47,84029E,3.75,2
17851,1/15/2010 15:47,85096,3.75,2
17851,1/15/2010 15:47,21765,7.95,1
17851,1/15/2010 15:47,22138,4.95,2
17851,1/15/2010 15:47,22177,9.95,1
17851,1/15/2010 15:47,21500,0.42,25
17851,1/15/2010 15:47,84620,5.95,2
17851,1/15/2010 15:47,22236,12.75,1
17851,10/13/2010 15:13,21212,0.55,1
17851,10/13/2010 15:13,22909,0.85,1
17851,10/13/2010 15:13,22909,0.85,1
17851,10/13/2010 15:13,85049A,1.25,1
17851,10/13/2010 15:13,35833P,1.25,1
17851,10/13/2010 15:13,84987,1.45,1
17851,10/13/2010 15:13,22906,1.65,1
17851,10/13/2010 15:13,21705,1.65,1
17851,10/13/2010 15:13,84817,2.1,1
17851,10/13/2010 15:13,22746,2.1,1
17851,10/13/2010 15:13,22745,2.1,1
17851,10/13/2010 15:13,22748,2.1,1
17851,10/13/2010 15:13,22747,2.1,1
17851,10/13/2010 15:13,72800F,2.55,1
17851,10/13/2010 15:13,21890,2.95,1
17851,10/13/2010 15:13,22273,2.95,1
17851,10/13/2010 15:13,22272,2.95,1
17851,10/13/2010 15:13,22665,2.95,1
17851,10/13/2010 15:13,22666,2.95,1
17851,10/13/2010 15:13,22667,2.95,1
