sample,가격,품질,배송,상품평,브랜드,메인_쇼핑몰,나이,성별
1,3,3,3,3,2,쿠팡,48,여
2,3,5,3,2,2,11번가,29,남
3,2,5,3,3,5,지마켓,54,여
4,5,4,5,3,2,11번가,37,여
5,2,4,2,4,3,11번가,55,여
6,3,5,1,3,3,11번가,30,여
7,5,2,4,5,5,쿠팡,47,여
8,3,5,1,2,3,지마켓,65,여
9,4,2,4,3,3,쿠팡,55,여
10,4,1,5,1,1,쿠팡,48,남
11,5,2,5,5,3,쿠팡,37,여
12,3,4,5,3,3,11번가,37,여
13,5,3,4,1,3,쿠팡,44,여
14,4,1,5,4,1,쿠팡,27,여
15,3,5,3,3,2,지마켓,60,여
16,4,5,2,2,5,11번가,35,남
17,5,1,4,3,2,11번가,42,남
18,5,2,3,2,2,쿠팡,36,남
19,2,5,3,1,3,쿠팡,54,남
20,4,5,2,1,1,지마켓,51,여
21,5,5,1,2,1,11번가,34,남
22,2,4,2,3,1,지마켓,55,여
23,3,4,2,4,1,쿠팡,55,여
24,2,5,2,3,2,지마켓,59,남
25,4,1,1,4,2,지마켓,45,남
26,2,5,2,3,3,11번가,27,여
27,3,5,1,3,4,지마켓,64,남
28,5,1,4,5,1,쿠팡,52,남
29,2,4,2,1,4,지마켓,54,여
30,4,5,3,2,2,11번가,33,여
31,3,5,3,2,3,지마켓,48,남
32,2,4,3,2,2,쿠팡,49,남
33,4,5,3,2,3,11번가,35,남
34,3,3,2,1,2,지마켓,47,남
35,3,1,2,4,3,지마켓,52,여
36,5,2,3,1,1,쿠팡,35,남
37,2,5,3,3,4,11번가,37,여
38,2,1,4,1,4,쿠팡,41,남
39,4,3,5,3,4,쿠팡,38,남
40,2,4,3,2,2,11번가,42,남
41,2,4,5,1,3,11번가,43,여
42,4,1,1,2,1,쿠팡,38,여
43,2,2,3,4,4,11번가,40,남
44,1,5,1,4,3,11번가,38,여
45,2,4,3,3,3,11번가,46,여
46,1,3,3,2,4,쿠팡,25,여
47,2,4,5,2,5,쿠팡,38,남
48,1,5,5,2,4,지마켓,50,남
49,1,4,2,1,3,11번가,31,남
50,1,3,1,5,3,11번가,28,여
51,1,1,3,4,5,지마켓,48,여
52,1,4,2,1,3,11번가,34,여
53,1,3,1,2,4,11번가,36,남
54,3,3,2,1,3,지마켓,47,남
55,1,3,4,2,3,쿠팡,27,여
56,2,5,5,3,2,지마켓,56,남
57,1,2,2,3,4,11번가,36,남
58,2,3,2,1,2,11번가,27,여
59,2,5,4,4,4,11번가,54,남
60,1,4,2,1,4,지마켓,48,여
61,2,3,1,2,3,11번가,28,남
62,2,3,3,2,3,11번가,37,남
63,1,2,3,1,4,쿠팡,31,여
64,2,5,3,4,5,11번가,55,여
65,4,2,3,2,4,쿠팡,37,여
66,1,5,4,2,4,지마켓,58,여
67,1,3,3,5,2,지마켓,62,남
68,1,2,4,2,4,지마켓,45,남
69,2,2,2,5,5,11번가,36,여
70,2,2,2,1,4,11번가,53,남
71,1,4,2,4,4,11번가,49,남
72,3,5,1,3,5,쿠팡,33,여
73,2,2,3,4,4,11번가,35,여
74,2,4,3,2,5,11번가,38,여
75,4,3,4,1,3,쿠팡,31,남
76,5,3,4,1,3,쿠팡,29,남
77,3,3,5,3,1,쿠팡,26,여
78,2,4,5,1,3,지마켓,60,여
79,3,1,4,2,3,쿠팡,28,남
80,3,3,5,2,1,쿠팡,28,여
81,3,4,5,1,4,쿠팡,27,남
82,3,5,2,2,1,11번가,26,여
83,2,4,4,1,3,지마켓,58,남
84,4,3,5,1,2,쿠팡,28,남
85,3,5,3,4,5,11번가,35,여
86,3,3,5,1,2,쿠팡,25,여
87,2,3,4,2,1,지마켓,55,남
88,4,5,5,5,1,지마켓,58,남
89,4,3,5,2,2,쿠팡,31,남
90,3,3,5,3,3,쿠팡,27,여
91,1,5,4,2,3,지마켓,48,여
92,2,4,5,3,2,지마켓,31,남
93,4,5,3,2,1,지마켓,35,남
94,4,3,4,2,4,11번가,34,남
95,5,3,5,1,2,쿠팡,23,여
96,4,2,5,4,2,쿠팡,34,여
97,3,2,4,1,2,쿠팡,35,여
98,3,4,5,2,2,11번가,25,남
99,3,2,5,3,2,쿠팡,25,남
100,3,5,5,2,4,지마켓,56,여
