sample,가격,품질,배송,정보,브랜드,메인몰,성별,나이,스마트폰
1,3,3,3,3,2,coupang,여,48,아이폰
2,3,5,3,2,2,11_street,남,29,갤럭시
3,2,5,3,3,5,G-market,여,54,아이폰
4,5,4,5,3,2,11_street,여,37,갤럭시
5,2,4,2,4,3,11_street,여,55,기타
6,3,5,1,3,3,11_street,여,30,아이폰
7,5,2,4,5,5,coupang,여,47,아이폰
8,3,5,1,2,3,G-market,여,65,갤럭시
9,4,2,4,3,3,coupang,여,55,갤럭시
10,4,1,5,1,1,coupang,남,48,아이폰
11,5,2,5,5,3,coupang,여,37,아이폰
12,3,4,5,3,3,11_street,여,37,갤럭시
13,5,3,4,1,3,coupang,여,44,갤럭시
14,4,1,5,4,1,coupang,여,27,기타
15,3,5,3,3,2,G-market,여,60,갤럭시
16,4,5,2,2,5,11_street,남,35,갤럭시
17,5,1,4,3,2,11_street,남,42,갤럭시
18,5,2,3,2,2,coupang,남,36,아이폰
19,2,5,3,1,3,coupang,남,54,아이폰
20,4,5,2,1,1,G-market,여,51,갤럭시
21,5,5,1,2,1,11_street,남,34,갤럭시
22,2,4,2,3,1,G-market,여,55,아이폰
23,3,4,2,4,1,coupang,여,55,갤럭시
24,2,5,2,3,2,G-market,남,59,갤럭시
25,4,1,1,4,2,G-market,남,45,갤럭시
26,2,5,2,3,3,11_street,여,27,아이폰
27,3,5,1,3,4,G-market,남,64,갤럭시
28,5,1,4,5,1,coupang,남,52,갤럭시
29,2,4,2,1,4,G-market,여,54,갤럭시
30,4,5,3,2,2,11_street,여,33,갤럭시
31,3,5,3,2,3,G-market,남,48,갤럭시
32,2,4,3,2,2,coupang,남,49,아이폰
33,4,5,3,2,3,11_street,남,35,갤럭시
34,3,3,2,1,2,G-market,남,47,갤럭시
35,3,1,2,4,3,G-market,여,52,갤럭시
36,5,2,3,1,1,coupang,남,35,아이폰
37,2,5,3,3,4,11_street,여,37,아이폰
38,2,1,4,1,4,coupang,남,41,아이폰
39,4,3,5,3,4,coupang,남,38,아이폰
40,2,4,3,2,2,11_street,남,42,갤럭시
41,2,4,5,1,3,11_street,여,43,갤럭시
42,4,1,1,2,1,coupang,여,38,아이폰
43,2,2,3,4,4,11_street,남,40,갤럭시
44,1,5,1,4,3,11_street,여,38,갤럭시
45,2,4,3,3,3,11_street,여,46,갤럭시
46,1,3,3,2,4,coupang,여,25,아이폰
47,2,4,5,2,5,coupang,남,38,아이폰
48,1,5,5,2,4,G-market,남,50,갤럭시
49,1,4,2,1,3,11_street,남,31,갤럭시
50,1,3,1,5,3,11_street,여,28,아이폰
51,1,1,3,4,5,G-market,여,48,아이폰
52,1,4,2,1,3,11_street,여,34,아이폰
53,1,3,1,2,4,11_street,남,36,갤럭시
54,3,3,2,1,3,G-market,남,47,갤럭시
55,1,3,4,2,3,coupang,여,27,아이폰
56,2,5,5,3,2,G-market,남,56,갤럭시
57,1,2,2,3,4,11_street,남,36,아이폰
58,2,3,2,1,2,11_street,여,27,아이폰
59,2,5,4,4,4,11_street,남,54,기타
60,1,4,2,1,4,G-market,여,48,갤럭시
61,2,3,1,2,3,11_street,남,28,아이폰
62,2,3,3,2,3,11_street,남,37,아이폰
63,1,2,3,1,4,coupang,여,31,아이폰
64,2,5,3,4,5,11_street,여,55,갤럭시
65,4,2,3,2,4,coupang,여,37,갤럭시
66,1,5,4,2,4,G-market,여,58,갤럭시
67,1,3,3,5,2,G-market,남,62,갤럭시
68,1,2,4,2,4,G-market,남,45,갤럭시
69,2,2,2,5,5,11_street,여,36,아이폰
70,2,2,2,1,4,11_street,남,53,갤럭시
71,1,4,2,4,4,11_street,남,49,갤럭시
72,3,5,1,3,5,coupang,여,33,아이폰
73,2,2,3,4,4,11_street,여,35,아이폰
74,2,4,3,2,5,11_street,여,38,갤럭시
75,4,3,4,1,3,coupang,남,31,아이폰
76,5,3,4,1,3,coupang,남,29,갤럭시
77,3,3,5,3,1,coupang,여,26,아이폰
78,2,4,5,1,3,G-market,여,60,갤럭시
79,3,1,4,2,3,coupang,남,28,아이폰
80,3,3,5,2,1,coupang,여,28,갤럭시
81,3,4,5,1,4,coupang,남,27,갤럭시
82,3,5,2,2,1,11_street,여,26,아이폰
83,2,4,4,1,3,G-market,남,58,아이폰
84,4,3,5,1,2,coupang,남,28,아이폰
85,3,5,3,4,5,11_street,여,35,아이폰
86,3,3,5,1,2,coupang,여,25,아이폰
87,2,3,4,2,1,G-market,남,55,갤럭시
88,4,5,5,5,1,G-market,남,58,갤럭시
89,4,3,5,2,2,coupang,남,31,갤럭시
90,3,3,5,3,3,coupang,여,27,아이폰
91,1,5,4,2,3,G-market,여,48,갤럭시
92,2,4,5,3,2,G-market,남,31,갤럭시
93,4,5,3,2,1,G-market,남,35,갤럭시
94,4,3,4,2,4,11_street,남,34,갤럭시
95,5,3,5,1,2,coupang,여,23,아이폰
96,4,2,5,4,2,coupang,여,34,아이폰
97,3,2,4,1,2,coupang,여,35,아이폰
98,3,4,5,2,2,11_street,남,25,갤럭시
99,3,2,5,3,2,coupang,남,25,갤럭시
100,3,5,5,2,4,G-market,여,56,갤럭시
