pid,hid,housenum,p15wt,p15wt2,KMPS10,KMPS11,KMPS19,p10ans,p11ans,p12ans,p13ans,p14ans,p15ans,p16ans,p17ans,p18ans,p19ans,p20ans,p15rep,p15housenum,p15area,p15area_siz,p15hhldsiz,p15fly_typ,p15houstyp,p15rel,p15gender,p15byear,p15age,p15age1,p15school,p15school1,p15school2,p15school4,p15school6,p15school8,p15school9,p15school10,p15school12,p15school13,p15school14,p15school16,p15school17,p15mar,p15income1,p15income,p15job1,p15job2,p15job3,p15job4,p15relig1,p15relig2,p15relig3,p15a01001,p15a01002,p15a02001,p15a03001,p15a04001,p15a03002,p15a03003,p15a03004,p15a03005,p15a03006,p15a03007,p15a03008,p15a03009,p15a03010,p15a03016,p15a03017,p15a03018,p15a03019,p15a03020,p15a03021,p15a03022,p15a03023,p15c01001,p15c01002,p15c01003,p15c01004,p15c02001,p15c02002,p15c03001,p15c03002,p15c08001,p15c05011,p15c05012,p15c05013,p15c05014,p15c05001,p15c05002,p15c05003,p15c05004,p15c05005,p15c05006,p15c05007,p15c05008,p15c05009,p15c05010,p15c05015,p15c05016,p15c05017,p15c06006,p15c06007,p15c06008,p15c06012,p15c06009,p15c06013,p15c06010,p15c06011,p15c07001,p15c07002,p15c07003,p15c07004,p15c07005,p15c07006,p15c07007,p15c07008,p15d01001,p15d01002,p15d01003,p15d02001,p15d02002,p15d02003,p15d06002,p15d06003,p15d06011,p15d06004,p15d06005,p15d06006,p15d06012,p15d06013,p15d06007,p15d06008,p15d06009,p15d06010,p15d08001,p15d22001,p15d10001,p15d11001,p15d12001,p15d08002,p15d08004,p15d13001,p15d13010,p15d14001,p15d14002,p15d14003,p15d14004,p15d14005,p15d14006,p15d14007,p15d14008,p15d14009,p15d14010,p15d14011,p15d14012,p15d14013,p15d14014,p15d23001,p15d23002,p15d23007,p15d23003,p15d23004,p15d23005,p15d23006,p15h01001,p15h01002,p15h01003,p15h01004,p15h01005,p15h01006,p15h01007,p15h01008,p15h01009,p15h01010,p15h01011,p15h01012,p15h01013,p15h01014,p15h01015,p15h01016,p15h01017,p15h01018,p15h01019,p15h01020,p15h01021,p15h01022,p15h01023,p15h01024,p15h01025
10001,100,1,0.514860448,1.080831722, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,3,1,1,1967,5,48,5,4,5, , , , , , , , , , ,2,13,8,1,1,14, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,3, ,50,2014, ,4, ,1, , , ,55,6,8,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,2,1,20,5,0,1, , ,19,11,6,1,10,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,3,4,3,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,3,2,2,2,1,1,2,2,2,2
10002,100,2,0.438257334,0.764220136, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,3,3,3,2,2,1972,5,43,5,4,5, , , , , , , , , , ,2,1,1,2, , ,2,2, , ,1,1,0,1,0,2, ,1, ,2, ,3, ,49,2013, ,4, ,2, , , ,40,5,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,5,2,42,9,0,1, , ,11,19,4,13,6,9,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2, , ,1,2,4,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,3,3,3,2,2,3,2,3,3,3,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1
20002,200,2,0.243615433,0.69488157, ,1, ,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1,3,3,1,2,2,1966,5,49,4,3,5, , , , , , , , , , ,2,1,1,2, , ,2,1,2, ,1,2,0,2,0,2,2,1,1,2,2,3,1,66,2014,2014,4,4,11,2, , ,119,11,35,4,1, ,2, ,2,23,5,0,1,11,3,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,0,1, , ,6,11,4,1,6,3,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,5,4,5,4,4,4,3,2,2,2,2,2,2,3,2,2,2,2,1,3,1,1,2,1,2,3,3,2,2,1,1
30001,300,1,1.990652342, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,1,8,1,3,3,2,1,1,1971,5,44,5,4,5, , , , , , , , , , ,2,10,7,1,1,23, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,3, ,57,2013, ,4, ,9, , , ,52,6,0,1,2, ,2, ,2,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,1,1,10,3,0,1, , ,9,12,8,10,1,6,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,4,2,4,3,2,1,1,2,2,3,2,3,2,3,2,1,2,2,1,1,1,1
30002,300,2,1.715954284,2.724901022, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,8,1,3,3,2,2,2,1974,5,41,4,3,5, , , , , , , , , , ,2,1,1,2, , ,2,2, , ,1,1,0,1,0,1, ,2, ,2, ,4, ,67,2015, ,4, ,8, , , ,26,3,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,2,1,20,5,0,1, , ,11,18,19,6,13,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,2,3,1,3,3,2,2,3,1,1,3,2,3,3,3,3,3,3,3,1,1,2,1,2,1
30003,300,3,1.803367975,6.169584, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,3,8,1,3,3,2,3,1,2002,2,13,3,2,1, ,1, , , , , , , , ,1,1,1,2, , ,1,2, , ,1,1,0,1,0,1, ,2, ,2, ,4, ,67,2015, ,4, ,8, , , ,18,2,0,1,4, ,2, ,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,1,1,8,2,0,1, , ,3,11,18,5,13,4,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,2,2,1,3,2,3,3,3,1,1,2,2,2,1,2,2,3,2,4,2,2,2,2,2,2
30004,300,4,2.509310543, , ,1, ,0,0,0,0,1,1,1,1,1,1,1,0,4,8,1,3,3,2,3,1,2008,1,7,2,1,1,1, , , , , , , , , ,1,1,1,2, , ,1,2, , ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,1,1,8,2,0,1, , ,9999, , ,5,4,8,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , 
40001,400,1,2.034490476,3.823264789, ,1, ,0,1,1,1,1,1,1,1,1,0,1,0,1,8,1,3,3,2,1,1,1977,4,38,4,3,5, , , , , , , , , , ,2,9,6,1,3,28, ,1,2, ,1,1,0,1,0,3, ,1, ,2, ,3, ,45,2014, ,4, ,2, , , ,69,7,11,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,1, , ,12,3,0,1,1,1,8,2,0,1, , ,19,11,18,1,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5, ,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,3,3,2,3,2,1,4,1,4,3,3,1,2,2,2,3,2,4,3,3,2,3,2,1,3,3,2,2
40002,400,2,1.617873544,2.161231484, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,8,1,3,3,2,2,2,1976,4,39,5,4,5, , , , , , , , , , ,2,8,6,1,2,25, ,1,2, ,1,1,0,1,0,2, ,1, ,2, ,3, ,45,2013, ,3, ,5, , , ,69,7,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,1, , ,6,2,0,1,2,1,14,3,0,1, , ,19,11,6,13,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,4,3,4,3,3,1,2,3,3,3,2,1,1,1,2,2,2,2,1,2,1,1,3,2,1,2,1,2
40003,400,3,1.702881558, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,3,8,1,3,3,2,3,1,2006,1,9,2,1,1,3, , , , , , , , , ,1,1,1,2, , ,1,1,2, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,24,5,0,1, , ,9999, , ,13,5,4,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , 
