pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,med_income,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,satis,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10,esteem
10001,100,1,1,1,1,1967,54,5,4,5,2,10,425,7,1,1,1,31,1,1,10,2,90,90,180,1,1,20,20,40,1,1, ,6,6,6,6,6,6,6,6,6,5,6,6,1,2,2,1,2,1,2,2,2,1,1,1,2,2,3,4,2,1,3,4,4,2,1,1,27
10002,100,2,1,1,2,1972,49,5,4,5,2,1,0,1,2, ,0, ,1,1,10,1,120,180,300,1,12,30,30,60,1,1,60,5,5,5,5,6,6,5,5,5,4,5,5,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,3,2,4,2,2,22
10003,100,3,1,1,2,1996,25,5,4,5,1,6,225,5,1,1,1,31,1,1,8,3,60,120,180,1,2,60,60,120,2,1,120,6,5,5,5.33,6,6,5,5,6,5,6,6,4,3,3,3,2,3,1,1,2,3,2,2,1,2,3,3,1,4,3,4,3,4,2,2,25
10004,100,4,1,1,1,2000,21,5,4,1,1,1,0,1,2, ,0, ,1,1,8,1,120,180,300,1,1,30,60,90,4,2, ,4,5,6,5,4,3,5,4,3,5,6,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,2,4,2,1,24
20001,200,1,1,1,1,1965,56,5,4,5,2,9,375,6,1,1,1,51,1,1,1,1,60,180,240,1,12,10,10,20,1,1,10,6,6,6,6,4,5,5,4,5,5,6,7,4,3,1,1,3,1,1,1,2,1,1,1,2,2,3,4,1,3,2,4,4,4,2,2,27
20002,200,2,1,1,2,1966,55,2,1,5,2,4,125,4,1,1,1,44,1,1,10,1,60,120,180,1,16,20,20,40,2,1,48,5,6,4,5,6,5,5,4,5,6,5,5,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,4,3,4,2,1,26
20003,200,3,1,1,1,1993,28,6,5,5,1,8,325,6,1,1,1,22,1,1,10,1,120,240,360,1,15,30,60,90,1,1,96,5,5,5,5,4,4,5,4,3,6,5,5,3,2,2,2,1,1,1,1,2,1,2,1,1,1,3,3,1,2,1,3,3,4,2,2,24
30001,300,1,1,1,1,1971,50,5,4,5,2,10,425,7,1,1,1,27,2,1,10,1,120,180,300,1,16,10,10,20,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,24
30002,300,2,1,1,2,1974,47,4,3,5,2,1,0,1,2, ,0, ,1,1,10,1,120,120,240,1,2,10,10,20,4,1,2,5,4,4,4.33,5,5,4,4,4,6,6,6,3,3,3,3,3,2,2,2,2,2,3,2,1,2,3,2,1,2,2,3,2,3,1,1,24
30003,300,3,1,1,1,2002,19,5,4,1,1,1,0,1,2, ,0, ,1,1,10,1,180,300,480,1,15,10,15,25,1,2, ,6,6,6,6,5,5,5,6,5,6,6,6,3,3,3,2,2,1,1,1,2,1,2,1,1,1,3,3,1,4,2,3,3,2,1,1,29
30004,300,4,1,1,1,2008,13,3,2,1,1,1,0,1,2, ,0, ,1,1,10,1,60,120,180,2, , , ,0, ,2, ,6,6,4,5.33,6,6,6,4,6,6,6,5,4,2,2,3,3,2,1,1,2,2,1,1,2,1,3,3,1,2,2,4,4,4,1,1,27
40001,400,1,1,1,1,1977,44,4,3,5,2,18,1000,8,1,2,2,13,1,1,10,1,60,60,120,2, , , ,0, ,1, ,6,6,6,6,6,6,6,6,6,4,5,5,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,3,2,3,3,3,1,2,25
40002,400,2,1,1,2,1976,45,5,4,5,2,6,225,5,1,2,2,13,1,1,10,6,180,120,300,2, , , ,0, ,1,10,5,5,5,5,5,5,5,5,5,4,4,4,3,3,6,2,3,3,3,3,3,3,3,2,2,2,2,2,1,3,2,2,2,2,2,2,22
