pid,hid,mar_20,mar_21,income_20,income_21,ott_score_20,ott_score_21,ott_change,sns_score_20,sns_score_21,sns_change,pc_ability_20,pc_ability_21,pc_change,smart_ability_20,smart_ability_21,smart_change,esteem20,esteem21,esteem_change
10001,100,1,1,11,10,8,8,0,4.5,3.75,-0.75,4.571428571,2.714285714,-1.857142857,5,4,-1,26,32,6
10002,100,1,1,1,1,7,9,2,7.25,6,-1.25,3.952380952,3.714285714,-0.238095238,4.52,4.04,-0.48,36,27,-9
10003,100,0,0,7,6,8,7,-1,6.75,6.75,0,4.619047619,4.285714286,-0.333333333,4.68,4.48,-0.2,30,30,0
10004,100,0,0,1,1,7,9,2,5.25,7.25,2,3.904761905,4.476190476,0.571428571,4.44,4.52,0.08,30,29,-1
20001,200,1,1,9,9,8,9,1,3.75,5.5,1.75,4.571428571,3.428571429,-1.142857143,5,3.4,-1.6,27,32,5
20002,200,1,1,5,4,8,9,1,3,4.5,1.5,3.380952381,3.142857143,-0.238095238,3.64,3.24,-0.4,33,31,-2
20003,200,0,0,8,8,8,9,1,6.75,6.75,0,4.571428571,5,0.428571429,4.84,4.92,0.08,30,29,-1
30001,300,1,1,9,10,9,9,0,0,4.5,4.5,5,4.619047619,-0.380952381,5,4.68,-0.32,27,29,2
30002,300,1,1,1,1,6,9,3,3,2.5,-0.5,4.047619048,4.047619048,0,4.36,4.32,-0.04,30,29,-1
30003,300,0,0,1,1,9,9,0,0,2.75,2.75,4.333333333,4.047619048,-0.285714286,4.72,4.36,-0.36,32,34,2
30004,300,0,0,1,1,9,9,0,0,0,0,1.714285714,1.952380952,0.238095238,2.36,2.4,0.04,#VALUE!,32,#VALUE!
40001,400,1,1,14,18,9,9,0,0,0,0,3.904761905,4.666666667,0.761904762,4.08,4.8,0.72,31,30,-1
40002,400,1,1,1,6,0,4,4,0,0,0,4.571428571,4.857142857,0.285714286,4.92,4.96,0.04,28,27,-1
40003,400,0,0,1,1,8,9,1,4,4,0,4.380952381,4.904761905,0.523809524,4.52,4.88,0.36,33,26,-7
