pid,hid,housenum,p20ans,p21ans,p20area,p20area_siz,p20hhldsiz,p20gender,p20age1,p20school,p20mar,p20income1,p20job1,p20job2,p20relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p20d25040,p20d25041,p20d25042,p20d25043,p20d25044,p20d25045,p20d25046,p20d25047,p20d25048,p20d25049,p20d25050,p20d25051,p20d25052,p20d25053,p20d25054,p20d25055,p20d25056,p20d25057,p20d25058,p20d25059,p20d25060,pc_ability,p20d25061,p20d25062,p20d25063,p20d25064,p20d25065,p20d25066,p20d25067,p20d25068,p20d25070,p20d25071,p20d25072,p20d25073,p20d25074,p20d25075,p20d25076,p20d25077,p20d25078,p20d25079,p20d25080,p20d25081,p20d25082,p20d25083,p20d25084,p20d25085,p20d25086,smart_ability,p20h01001,p20h01002,p20h01003,p20h01004,p20h01005,p20h01006,p20h01007,p20h01008,p20h01009,p20h01010,esteem
10001,100,1,1,1,1,1,3,1,53,5,2,11,1,1,1,1,2,8,1,1,7,7,7,9,3,3,3,4.5,4,4,4,5,5,4,3,4,5,5,5,4,5,5,5,5,5,5,4,5,5,4.571428571,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,4,3,3,4,1,1,26
10002,100,2,1,1,1,1,3,2,48,5,2,1,2, ,2,1,3,7,1,1,3,3,4,9,7,7,6,7.25,4,4,4,4,4,4,4,3,4,5,5,3,2,5,5,5,5,4,4,3,2,3.952380952,5,5,5,5,4,5,5,5,5,5,5,4,5,4,3,5,5,5,5,5,4,3,3,4,4,4.52,4,4,1,4,2,4,4,4,1,1,36
10003,100,3,1,1,1,1,3,2,24,5,1,7,1,1,2,1,2,8,1,1,4,4,4,9,6,6,6,6.75,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4.619047619,4,5,5,4,5,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4.68,2,4,3,4,3,3,4,4,1,1,30
10004,100,4,1,1,1,1,3,1,20,5,1,1,2, ,2,1,3,7,1,3,6,6,4,7,4,4,6,5.25,4,4,4,5,5,4,3,4,4,3,3,2,4,4,5,4,5,4,4,3,4,3.904761905,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,5,4,5,4,3,4,4,3,4.44,4,3,1,3,4,4,3,3,1,3,30
20001,200,1,1,1,1,1,3,1,55,5,2,9,1,1,1,1,2,8,1,4,7,7,7,6,3,3,3,3.75,4,4,5,4,3,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4.571428571,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,3,4,3,4,4,1,1,27
20002,200,2,1,1,1,1,3,2,54,2,2,5,1,1,2,1,2,8,1,4,7,8,9,6,3,2,1,3,3,3,4,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,2,3,3,3.380952381,4,4,4,4,4,4,5,4,3,3,4,4,3,3,4,4,4,4,4,3,3,2,4,3,3,3.64,3,4,1,3,3,4,4,4,1,1,33
20003,200,3,1,1,1,1,3,1,27,6,1,8,1,1,2,1,2,8,1,1,4,4,4,9,6,6,6,6.75,4,4,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4.571428571,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4.84,2,4,3,4,3,3,4,4,1,1,30
30001,300,1,1,1,8,1,3,1,49,5,2,9,1,1,2,1,1,9,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,2,3,2,3,3,1,1,27
30002,300,2,1,1,8,1,3,2,46,4,2,1,2, ,2,1,4,6,1,4,8,8,8,6,2,2,2,3,5,5,5,5,5,5,4,3,5,5,2,4,5,5,5,5,3,4,3,1,1,4.047619048,5,5,5,5,5,5,5,5,5,4,5,5,2,4,5,5,5,5,5,5,4,3,1,3,3,4.36,2,3,1,3,2,2,2,2,1,1,30
30003,300,3,1,1,8,1,3,1,18,4,1,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,2,5,5,5,5,5,5,4,2,2,4,4,5,5,5,5,5,5,5,4,4,4.333333333,5,5,5,5,5,5,5,5,5,5,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4.72,3,3,1,3,2,2,3,2,1,1,32
30004,300,4,1,1,8,1,3,1,12,2,1,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,1,4,4,4,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.714285714,5,5,5,5,3,4,4,3,4,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2.36, , , , , , , , , , ,#VALUE!
40001,400,1,1,1,8,1,3,1,43,4,2,14,1,2,1,1,1,9,2, , , , ,0,0,0,0,0,5,5,4,5,4,5,3,3,4,5,2,2,5,5,5,5,3,3,3,3,3,3.904761905,5,5,5,5,5,5,3,5,5,3,4,4,2,2,5,5,5,5,5,5,5,3,2,2,2,4.08,2,3,1,3,1,2,3,3,1,1,31
40002,400,2,1,1,8,1,3,2,44,5,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,3,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,4,4,4,4.571428571,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4.92,2,3,2,3,2,2,2,3,1,1,28
40003,400,3,1,1,8,1,3,1,14,3,1,1,2, ,1,1,2,8,1,6,6,6,6,4,4,4,4,4,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,5,4,4,3,4.380952381,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,3,4,4,4.52,3,2,1,3,1,3,2,1,1,1,33
40004,400,4,1,1,8,1,3,2,13,3,1,1,2, ,1,1,1,9,1,6,8,8,8,4,2,2,2,2.5,4,5,5,5,2,5,5,5,1,1,4,3,4,4,1,5,3,5,4,3,1,3.571428571,5,5,5,5,5,5,5,1,5,5,1,1,1,1,4,4,3,4,5,4,5,5,1,4,4,3.72,3,3,1,3,4,4,4,2,1,1,33
50001,500,1,1,1,8,1,3,1,48,5,2,11,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,3,1,4,3,2,1,1,37
50002,500,2,1,1,8,1,3,2,43,5,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,5,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,4,4.666666667,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,4,3,3,4.6,3,3,1,3,1,3,3,2,1,1,34
50003,500,3,1,1,8,1,3,2,14,3,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,4,5,5,5,5,5,5,4,1,3,4,3,5,5,5,5,5,5,5,5,4,4.428571429,5,5,5,5,5,5,5,5,5,5,1,3,4,3,5,5,5,5,5,5,5,5,2,5,3,4.44,3,3,1,2,2,3,3,2,1,1,32
