pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
10001,100,54,3,4,2,1,3,4,4,2,1,1,6,6,6
10002,100,49,3,2,1,2,1,3,2,4,2,2,5,5,5
10003,100,25,3,3,1,4,3,4,3,4,2,2,6,5,5
10004,100,21,3,3,1,3,2,3,2,4,2,1,4,5,6
20001,200,56,3,4,1,3,2,4,4,4,2,2,6,6,6
20002,200,55,3,3,1,3,2,4,3,4,2,1,5,6,4
20003,200,28,3,3,1,2,1,3,3,4,2,2,5,5,5
30001,300,50,2,2,1,2,2,3,2,2,1,1,4,4,4
30002,300,47,3,2,1,2,2,3,2,3,1,1,5,4,4
30003,300,19,3,3,1,4,2,3,3,2,1,1,6,6,6
30004,300,13,3,3,1,2,2,4,4,4,1,1,6,6,4
40001,400,44,3,2,1,3,2,3,3,3,1,2,6,6,6
40002,400,45,2,2,1,3,2,2,2,2,2,2,5,5,5
40003,400,15,2,2,1,3,2,2,2,3,2,2,6,6,6
40004,400,14,2,2,3,3,3,3,3,3,3,3,6,6,6
50001,500,49,3,3,2,3,2,3,3,2,1,1,6,6,5
50002,500,44,4,3,1,2,2,3,3,2,1,1,5,5,5
50003,500,15,3,2,1,3,1,4,3,2,1,1,6,6,6
50004,500,14,4,4,1,4,1,4,4,4,1,1,7,7,7
60001,600,52,3,2,2,2,2,2,2,2,1,2,6,5,4
60002,600,48,4,3,1,4,2,3,3,2,1,1,6,5,5
60003,600,20,2,1,3,2,3,1,2,4,2,2,5,6,5
60004,600,15,2,1,2,3,3,2,2,2,2,1,4,7,7
80001,800,71,3,3,2,2,2,3,3,2,2,2,6,6,6
100001,1000,42,2,2,1,2,2,2,2,4,2,2,7,7,7
100002,1000,42,3,3,1,4,2,4,4,3,2,2,7,7,7
130001,1300,74,3,3,2,3,3,2,3,2,3,3,3,3,2
130002,1300,71,2,3,3,4,2,2,3,2,1,2,2,4,3
140001,1400,59,3,2,2,3,4,3,3,2,2,2,5,6,5
160001,1600,70,3,3,2,3,3,4,3,2,3,3,5,4,5
160002,1600,69,3,2,3,3,3,2,3,3,4,3,5,4,4
180001,1800,54,3,3,2,3,3,2,4,3,2,3,3,4,3
220001,2200,69,3,3,2,2,2,3,3,2,2,2,5,4,4
220002,2200,67,3,3,4,3,4,3,2,3,2,2,6,5,6
230001,2300,60,3,4,1,3,2,3,4,3,1,1,6,5,6
230002,2300,66,4,4,1,3,1,3,3,4,1,1,6,7,6
230003,2300,31,4,4,1,3,1,4,4,3,1,1,6,7,6
260001,2600,60,3,4,3,3,3,2,2,3,2,2,6,5,5
260002,2600,58,3,3,2,2,3,4,3,2,3,3,6,5,5
260003,2600,29,3,3,2,3,3,3,2,3,3,3,6,5,5
260004,2600,27,3,4,3,4,3,3,3,3,3,3,6,6,5
270001,2700,67,2,2,1,3,1,3,2,2,1,1,5,5,5
270002,2700,55,3,3,1,3,2,3,3,4,1,1,6,5,6
290001,2900,66,2,2,1,1,2,2,2,3,2,2,4,3,3
290002,2900,59,2,2,1,1,2,2,3,2,2,2,4,3,3
290003,2900,36,2,2,1,2,2,2,3,2,2,2,4,3,4
300001,3000,58,3,3,2,3,3,3,3,3,2,2,5,5,5
300002,3000,31,3,3,2,3,3,2,3,3,2,2,4,4,4
300003,3000,34,3,3,2,2,3,2,3,3,2,2,3,4,3
300004,3000,32,2,2,3,3,2,2,3,3,2,3,4,3,3
310001,3100,62,2,2,3,3,2,2,2,3,2,3,4,3,3
310002,3100,58,2,2,2,3,3,2,2,3,2,2,3,3,2
310003,3100,29,2,2,1,2,2,3,2,2,2,3,4,4,4
310004,3100,27,2,2,1,2,2,2,2,3,3,2,4,4,4
320001,3200,85,1,2,2,2,1,1,3,3,2,3,3,2,2
320002,3200,84,1,2,3,2,3,3,2,3,3,3,2,1,1
320003,3200,50,1,1,3,2,3,3,2,2,2,3,4,4,4
330001,3300,82,2,2,2,3,2,2,3,2,2,3,3,4,4
340001,3400,57,2,2,1,1,2,2,3,2,2,2,4,4,3
340002,3400,55,2,2,2,1,1,2,2,1,1,2,4,3,3
340003,3400,30,2,2,1,1,2,2,1,2,2,2,4,3,3
340004,3400,24,2,2,2,1,2,2,1,2,2,2,4,3,4
