pop_id,recommend
1,0
2,3
3,3
4,1
5,3
6,3
7,5
8,7
9,5
10,5
11,3
12,3
13,5
14,8
15,3
16,3
17,0
18,1
19,3
20,3
21,7
22,1
23,2
24,4
25,3
26,3
27,8
28,2
29,3
30,5
31,3
32,2
33,3
34,5
35,3
36,4
37,4
38,3
39,3
40,4
41,8
42,6
43,3
44,3
45,6
46,4
47,5
48,4
49,4
50,3
51,4
52,8
53,9
54,3
55,9
56,6
57,10
58,4
59,4
60,0
61,6
62,1
63,5
64,5
65,4
66,4
67,2
68,8
69,6
70,4
71,4
72,2
73,5
74,5
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,8
87,6
88,6
89,4
90,4
91,6
92,4
93,1
94,5
95,5
96,5
97,5
98,4
99,9
100,5
101,6
102,1
103,5
104,5
105,9
106,2
107,3
108,5
109,5
110,5
111,6
112,4
113,10
114,5
115,5
116,5
117,6
118,5
119,0
120,7
121,5
122,5
123,7
124,7
125,7
126,5
127,2
128,6
129,2
130,3
131,3
132,8
133,5
134,3
135,5
136,8
137,2
138,5
139,5
140,5
141,6
142,1
143,5
144,1
145,8
146,5
147,2
148,5
149,5
150,5
151,2
152,3
153,6
154,5
155,6
156,5
157,5
158,3
159,6
160,2
161,7
162,5
163,7
164,6
165,5
166,6
167,3
168,9
169,5
170,3
171,6
172,9
173,4
174,5
175,10
176,3
177,7
178,6
179,4
180,4
181,5
182,3
183,7
184,5
185,6
186,8
187,4
188,6
189,8
190,8
191,4
192,6
193,0
194,5
195,5
196,6
197,9
198,6
199,5
200,1
201,6
202,9
203,3
204,4
205,5
206,4
207,6
208,3
209,6
210,7
211,6
212,5
213,6
214,6
215,4
216,5
217,10
218,5
219,4
220,7
221,6
222,4
223,6
224,4
225,4
226,7
227,6
228,5
229,7
230,1
231,5
232,5
233,5
234,7
235,6
236,7
237,2
238,6
239,8
240,0
241,4
242,6
243,4
244,6
245,5
246,7
247,7
248,7
249,6
250,1
251,7
252,8
253,8
254,6
255,7
256,4
257,6
258,7
259,6
260,7
261,6
262,2
263,6
264,7
265,5
266,5
267,6
268,1
269,6
270,9
271,2
272,7
273,5
274,6
275,8
276,6
277,3
278,6
279,6
280,5
281,6
282,7
283,5
284,8
285,2
286,7
287,5
288,6
289,3
290,7
291,6
292,7
293,9
294,7
295,3
296,5
297,2
298,3
299,7
300,8
301,8
302,8
303,10
304,2
305,5
306,8
307,5
308,6
309,4
310,3
311,6
312,8
313,7
314,3
315,9
316,7
317,8
318,0
319,8
320,9
321,9
322,10
323,1
324,4
325,7
326,6
327,8
328,1
329,9
330,6
331,9
332,2
333,6
334,2
335,4
336,2
337,4
338,4
339,0
340,5
341,9
342,3
343,7
344,5
345,10
346,10
347,3
348,3
349,3
350,5
351,3
352,6
353,0
354,3
355,8
356,7
357,5
358,5
359,4
360,7
361,7
362,1
363,5
364,5
365,6
366,4
367,5
368,4
369,0
370,4
371,1
372,6
373,8
374,1
375,4
376,1
377,5
378,5
379,8
380,6
381,8
382,8
383,6
384,1
385,5
386,1
387,9
388,4
389,4
390,8
391,4
392,8
393,8
394,2
395,9
396,6
397,2
398,2
399,2
400,6
401,9
402,2
403,4
404,2
405,2
406,2
407,9
408,3
409,9
410,5
411,7
412,10
413,6
414,9
415,4
416,6
417,6
418,5
419,6
420,6
421,10
422,2
423,7
424,5
425,7
426,10
427,5
428,0
429,7
430,0
431,3
432,3
433,0
434,7
435,3
436,3
437,8
438,7
439,1
440,5
441,1
442,5
443,5
444,1
445,5
446,1
447,7
448,1
449,5
450,1
451,5
452,3
453,2
454,3
455,3
456,3
457,4
458,5
459,4
460,2
461,2
462,4
463,5
464,3
465,5
466,7
467,4
468,2
469,3
470,8
471,2
472,8
473,2
474,3
475,3
476,6
477,8
478,6
479,7
480,3
481,9
482,2
483,4
484,6
485,7
486,9
487,4
488,2
489,6
490,2
491,4
492,7
493,5
494,4
495,3
496,10
497,6
498,7
499,0
500,1
501,3
502,1
503,3
504,3
505,6
506,2
507,4
508,4
509,6
510,3
511,4
512,8
513,3
514,4
515,8
516,4
517,6
518,6
519,5
520,8
521,6
522,8
523,6
524,9
525,2
526,4
527,4
528,4
529,2
530,3
531,3
532,4
