pop_id,satisfied,recommend
1,0,0
2,3,2
3,3,4
4,1,1
5,3,2
6,3,5
7,5,5
8,7,6
9,5,7
10,5,5
11,3,4
12,3,5
13,5,5
14,8,6
15,3,4
16,3,4
17,0,0
18,1,1
19,3,6
20,3,4
21,7,6
22,1,3
23,2,3
24,4,5
25,3,4
26,3,4
27,8,6
28,2,4
29,3,4
30,5,5
31,3,4
32,2,4
33,3,4
34,5,5
35,3,4
36,4,5
37,4,5
38,3,4
39,3,4
40,4,5
41,8,6
42,6,5
43,3,4
44,3,4
45,6,5
46,4,5
47,5,5
48,4,5
49,4,5
50,3,4
51,4,5
52,8,6
53,9,7
54,3,4
55,9,7
56,6,5
57,10,7
58,4,5
59,4,5
60,0,3
61,6,5
62,1,3
63,5,5
64,5,5
65,4,5
66,4,5
67,2,4
68,8,6
69,6,5
70,4,5
71,4,5
72,2,4
73,5,5
74,5,5
75,4,5
76,4,5
77,4,5
78,4,5
79,4,5
80,4,5
81,4,5
82,4,5
83,4,5
84,4,5
85,4,5
86,8,6
87,6,5
88,6,5
89,4,5
90,4,5
91,6,5
92,4,5
93,1,3
94,5,5
95,5,5
96,5,5
97,5,5
98,4,5
99,9,7
100,5,5
101,6,5
102,1,3
103,5,5
104,5,5
105,9,7
106,2,4
107,3,4
108,5,5
109,5,5
110,5,5
111,6,5
112,4,5
113,10,7
114,5,5
115,5,5
116,5,5
117,6,5
118,5,5
119,0,3
120,7,6
121,5,5
122,5,5
123,7,6
124,7,6
125,7,6
126,5,5
127,2,4
128,6,5
129,2,4
130,3,4
131,3,4
132,8,6
133,5,5
134,3,4
135,5,5
136,8,6
137,2,4
138,5,5
139,5,5
140,5,5
141,6,5
142,1,3
143,5,5
144,1,3
145,8,6
146,5,5
147,2,4
148,5,5
149,5,5
150,5,5
151,2,4
152,3,4
153,6,5
154,5,5
155,6,5
156,5,5
157,5,5
158,3,4
159,6,5
160,2,4
161,7,6
162,5,5
163,7,6
164,6,5
165,5,5
166,6,5
167,3,4
168,9,7
169,5,5
170,3,4
171,6,5
172,9,7
173,4,5
174,5,5
175,10,7
176,3,4
177,7,6
178,6,5
179,4,5
180,4,5
181,5,5
182,3,4
183,7,6
184,5,5
185,6,5
186,8,6
187,4,5
188,6,5
189,8,6
190,8,6
191,4,5
192,6,5
193,0,3
194,5,5
195,5,5
196,6,5
197,9,7
198,6,5
199,5,5
200,1,3
201,6,5
202,9,7
203,3,4
204,4,5
