day,weekend,price_1,price_2,quantity_2
1,1,100,90,172
2,0,100,90,61
3,0,100,90,100
4,0,100,70,131
5,0,90,81,114
6,0,90,81,88
7,1,100,90,180
8,1,90,81,225
9,0,95,85.5,92
10,0,90,81,92
11,0,95,66.5,158
12,0,95,66.5,143
13,0,95,85.5,120
14,1,100,90,215
15,1,100,90,221
16,0,90,63,105
17,0,100,90,96
18,0,100,90,65
19,0,90,81,99
20,0,90,81,83
21,1,100,90,183
22,1,100,90,221
23,0,100,70,106
24,0,90,81,72
25,0,90,81,93
26,0,100,90,116
27,0,95,85.5,85
28,1,95,85.5,203
29,1,100,70,253
30,0,95,85.5,85
31,0,95,85.5,99
32,0,90,81,111
33,0,100,90,80
34,0,95,85.5,80
35,1,90,63,203
36,1,100,90,169
37,0,100,90,82
38,0,100,90,61
39,0,95,85.5,109
40,0,100,90,100
41,0,100,90,70
42,1,95,85.5,215
43,1,90,81,186
44,0,95,85.5,82
45,0,90,81,116
46,0,90,63,121
47,0,90,81,129
48,0,90,81,125
49,1,90,81,199
50,1,90,81,178
51,0,100,70,123
52,0,90,81,98
53,0,90,81,93
54,0,95,85.5,109
55,0,100,90,96
56,1,100,90,179
57,1,95,85.5,182
58,0,100,90,71
59,0,100,90,97
60,0,95,85.5,88
61,0,95,85.5,91
62,0,100,70,101
63,1,95,85.5,174
64,1,90,81,211
65,0,100,90,114
66,0,90,81,101
67,0,90,81,90
68,0,100,90,76
69,0,100,70,113
70,1,100,70,212
71,1,95,85.5,203
72,0,95,85.5,104
73,0,95,85.5,73
74,0,90,81,127
75,0,90,81,87
76,0,95,85.5,96
77,1,95,85.5,230
78,1,100,70,240
79,0,95,85.5,105
80,0,100,70,101
81,0,90,81,88
82,0,100,90,89
83,0,100,90,92
84,1,100,90,213
85,1,100,90,179
86,0,90,81,74
87,0,90,63,145
88,0,100,90,88
89,0,100,90,104
90,0,100,90,83
91,1,95,85.5,203
92,1,100,90,216
93,0,100,90,75
94,0,100,90,99
95,0,90,81,111
96,0,90,81,95
97,0,100,90,64
98,1,100,90,215
99,1,90,81,201
100,0,95,85.5,93
101,0,95,85.5,104
102,0,100,90,73
103,0,100,90,103
104,0,100,70,134
105,1,100,90,177
106,1,100,90,211
107,0,90,81,125
108,0,100,90,78
109,0,95,85.5,123
110,0,100,70,99
111,0,100,70,125
112,1,100,90,211
113,1,100,70,195
114,0,100,70,143
115,0,100,90,63
116,0,90,81,100
117,0,100,90,58
118,0,100,90,85
119,1,95,85.5,221
120,1,95,85.5,191
121,0,100,90,63
122,0,90,81,82
123,0,100,90,79
124,0,90,81,101
125,0,90,81,70
126,1,100,90,218
127,1,100,90,179
128,0,95,66.5,131
129,0,100,90,92
130,0,100,90,63
131,0,95,66.5,121
132,0,100,90,95
133,1,100,90,207
134,1,100,90,167
135,0,95,85.5,102
136,0,100,90,76
137,0,90,63,102
138,0,95,85.5,75
139,0,100,90,103
140,1,100,90,194
141,1,100,95,205
142,0,95,85.5,78
143,0,95,85.5,104
144,0,90,81,125
145,0,100,90,85
146,0,100,90,83
147,1,100,90,206
148,1,95,85.5,206
149,0,90,81,69
150,0,95,85.5,68
151,0,95,85.5,95
152,0,95,85.5,116
153,0,95,66.5,113
154,1,95,66.5,212
155,1,95,85.5,180
156,0,100,90,113
157,0,100,70,140
158,0,90,81,83
159,0,100,70,110
160,0,100,90,74
161,1,90,81,183
162,1,95,85.5,174
163,0,95,85.5,82
164,0,95,66.5,112
165,0,100,90,116
166,0,100,90,112
167,0,100,90,75
168,1,100,90,171
169,1,100,90,177
170,0,100,90,72
171,0,100,90,64
172,0,100,90,58
173,0,100,90,75
174,0,100,90,89
175,1,100,90,169
176,1,100,90,192
177,0,95,85.5,96
178,0,90,81,91
179,0,95,85.5,100
180,0,100,90,64
181,0,90,81,107
182,1,90,63,245
183,1,100,90,201
184,0,100,90,69
185,0,100,70,149
186,0,100,90,103
187,0,100,90,103
188,0,100,90,82
189,1,100,70,213
190,1,100,90,191
191,0,90,81,71
192,0,100,90,62
193,0,95,85.5,109
194,0,100,90,110
195,0,95,85.5,96
196,1,100,70,249
197,1,100,90,225
198,0,95,85.5,65
199,0,95,85.5,112
200,0,90,81,95
201,0,95,66.5,158
202,0,100,70,106
203,1,100,90,173
204,1,100,90,183
205,0,100,90,114
206,0,100,90,67
207,0,100,90,77
208,0,95,66.5,156
209,0,90,81,77
210,1,95,85.5,218
211,1,100,90,181
212,0,90,81,85
213,0,100,90,88
214,0,100,90,79
215,0,100,90,117
216,0,100,90,58
217,1,100,70,209
218,1,90,81,202
219,0,100,90,66
220,0,90,81,82
221,0,95,85.5,92
222,0,100,90,61
223,0,90,81,79
224,1,100,90,220
225,1,90,81,213
226,0,90,81,117
227,0,90,81,98
228,0,90,81,70
229,0,100,70,98
230,0,100,90,66
231,1,100,90,184
232,1,95,85.5,191
233,0,100,70,130
234,0,90,81,97
235,0,100,90,79
236,0,100,90,112
237,0,95,85.5,75
238,1,95,85.5,226
239,1,95,85.5,198
240,0,90,81,89
241,0,100,90,90
242,0,100,70,121
243,0,90,81,81
244,0,95,85.5,119
245,1,95,85.5,181
246,1,90,63,235
247,0,95,85.5,79
248,0,100,90,89
249,0,90,81,100
250,0,100,90,65
251,0,100,90,112
252,1,100,90,206
253,1,90,81,208
254,0,90,81,101
255,0,95,66.5,116
256,0,100,90,95
257,0,100,90,85
258,0,100,90,92
259,1,90,81,178
260,1,100,90,192
261,0,100,90,89
262,0,100,90,115
263,0,100,70,141
264,0,95,85.5,92
265,0,100,70,152
266,1,95,85.5,228
267,1,90,81,181
268,0,95,85.5,80
269,0,100,70,137
270,0,100,70,129
271,0,95,85.5,92
272,0,100,90,81
273,1,95,85.5,187
274,1,95,85.5,184
275,0,100,90,73
276,0,95,66.5,149
277,0,100,90,79
278,0,95,66.5,129
279,0,95,85.5,124
280,1,100,90,191
281,1,100,90,198
282,0,100,90,82
283,0,100,70,118
284,0,100,90,65
285,0,100,90,91
286,0,95,85.5,92
287,1,95,85.5,222
288,1,95,85.5,204
289,0,100,90,62
290,0,100,70,138
291,0,100,70,142
292,0,100,90,93
293,0,100,90,86
294,1,90,81,223
295,1,90,81,231
296,0,95,85.5,116
297,0,100,90,69
298,0,95,85.5,84
299,0,100,90,68
300,0,100,90,62
