day,weekend,price_1,price_2,sale_1,sale_2,林富_1,林富_0
1,1,100.0 ,90.0 ,82,48,1,0
7,1,100.0 ,90.0 ,82,46,1,0
8,1,90.0 ,81.0 ,87,51,1,0
14,1,100.0 ,90.0 ,82,48,1,0
15,1,100.0 ,90.0 ,82,44,1,0
21,1,100.0 ,90.0 ,82,42,1,0
22,1,100.0 ,90.0 ,82,42,1,0
28,1,95.0 ,85.5 ,84,45,1,0
29,1,100.0 ,70.0 ,66,75,1,0
35,1,90.0 ,63.0 ,72,83,1,0
36,1,100.0 ,90.0 ,82,51,1,0
42,1,95.0 ,85.5 ,84,52,1,0
43,1,90.0 ,81.0 ,87,56,1,0
49,1,90.0 ,81.0 ,87,47,1,0
50,1,90.0 ,81.0 ,87,53,1,0
56,1,100.0 ,90.0 ,82,49,1,0
57,1,95.0 ,85.5 ,84,44,1,0
63,1,95.0 ,85.5 ,84,49,1,0
64,1,90.0 ,81.0 ,87,54,1,0
70,1,100.0 ,70.0 ,66,79,1,0
71,1,95.0 ,85.5 ,84,44,1,0
77,1,95.0 ,85.5 ,84,54,1,0
78,1,100.0 ,70.0 ,66,79,1,0
84,1,100.0 ,90.0 ,82,49,1,0
85,1,100.0 ,90.0 ,82,48,1,0
91,1,95.0 ,85.5 ,84,51,1,0
92,1,100.0 ,90.0 ,82,46,1,0
98,1,100.0 ,90.0 ,82,44,1,0
99,1,90.0 ,81.0 ,87,54,1,0
105,1,100.0 ,90.0 ,82,44,1,0
106,1,100.0 ,90.0 ,82,42,1,0
112,1,100.0 ,90.0 ,82,49,1,0
113,1,100.0 ,70.0 ,66,78,1,0
119,1,95.0 ,85.5 ,84,54,1,0
120,1,95.0 ,85.5 ,84,54,1,0
126,1,100.0 ,90.0 ,82,45,1,0
127,1,100.0 ,90.0 ,82,48,1,0
133,1,100.0 ,90.0 ,82,51,1,0
134,1,100.0 ,90.0 ,82,48,1,0
140,1,100.0 ,90.0 ,82,41,1,0
141,1,100.0 ,95.0 ,82,36,1,0
147,1,100.0 ,90.0 ,82,45,1,0
148,1,95.0 ,85.5 ,84,50,1,0
154,1,95.0 ,66.5 ,69,75,1,0
155,1,95.0 ,85.5 ,84,45,1,0
161,1,90.0 ,81.0 ,87,47,1,0
162,1,95.0 ,85.5 ,84,47,1,0
168,1,100.0 ,90.0 ,82,49,1,0
169,1,100.0 ,90.0 ,82,47,1,0
175,1,100.0 ,90.0 ,82,42,1,0
176,1,100.0 ,90.0 ,82,46,1,0
182,1,90.0 ,63.0 ,72,76,1,0
183,1,100.0 ,90.0 ,82,44,1,0
189,1,100.0 ,70.0 ,66,82,1,0
190,1,100.0 ,90.0 ,82,47,1,0
196,1,100.0 ,70.0 ,66,73,1,0
197,1,100.0 ,90.0 ,82,50,1,0
203,1,100.0 ,90.0 ,82,49,1,0
204,1,100.0 ,90.0 ,82,43,1,0
210,1,95.0 ,85.5 ,84,51,1,0
211,1,100.0 ,90.0 ,82,47,1,0
217,1,100.0 ,70.0 ,66,75,1,0
218,1,90.0 ,81.0 ,87,51,1,0
224,1,100.0 ,90.0 ,82,42,1,0
225,1,90.0 ,81.0 ,87,53,1,0
231,1,100.0 ,90.0 ,82,41,1,0
232,1,95.0 ,85.5 ,84,51,1,0
238,1,95.0 ,85.5 ,84,48,1,0
239,1,95.0 ,85.5 ,84,46,1,0
245,1,95.0 ,85.5 ,84,47,1,0
246,1,90.0 ,63.0 ,72,80,1,0
252,1,100.0 ,90.0 ,82,48,1,0
253,1,90.0 ,81.0 ,87,51,1,0
259,1,90.0 ,81.0 ,87,50,1,0
260,1,100.0 ,90.0 ,82,43,1,0
266,1,95.0 ,85.5 ,84,47,1,0
267,1,90.0 ,81.0 ,87,52,1,0
273,1,95.0 ,85.5 ,84,48,1,0
274,1,95.0 ,85.5 ,84,53,1,0
280,1,100.0 ,90.0 ,82,51,1,0
281,1,100.0 ,90.0 ,52,46,1,0
287,1,95.0 ,85.5 ,54,54,1,0
288,1,95.0 ,85.5 ,54,53,1,0
294,1,90.0 ,81.0 ,57,56,1,0
295,1,90.0 ,81.0 ,57,55,1,0
2,0,100.0 ,90.0 ,52,29,1,0
3,0,100.0 ,90.0 ,52,31,1,0
4,0,100.0 ,70.0 ,36,61,1,0
5,0,90.0 ,81.0 ,57,39,1,0
