day,weekend,price_1,price_2,sales_1,sales_1_old
1,1,90,100,172,
2,0,90,100,61,172
3,0,90,100,100,61
4,0,70,100,131,100
5,0,81,90,114,131
6,0,81,90,88,114
7,1,90,100,180,88
8,1,81,90,225,180
9,0,85.5,95,92,225
10,0,81,90,92,92
11,0,66.5,95,158,92
12,0,66.5,95,143,158
13,0,85.5,95,120,143
14,1,90,100,215,120
15,1,90,100,221,215
16,0,63,90,105,221
17,0,90,100,96,105
18,0,90,100,65,96
19,0,81,90,99,65
20,0,81,90,83,99
21,1,90,100,183,83
22,1,90,100,221,183
23,0,70,100,106,221
24,0,81,90,72,106
25,0,81,90,93,72
26,0,90,100,116,93
27,0,85.5,95,85,116
28,1,85.5,95,203,85
29,1,70,100,253,203
30,0,85.5,95,85,253
31,0,85.5,95,99,85
32,0,81,90,111,99
33,0,90,100,80,111
34,0,85.5,95,80,80
35,1,63,90,203,80
36,1,90,100,169,203
37,0,90,100,82,169
38,0,90,100,61,82
39,0,85.5,95,109,61
40,0,90,100,100,109
41,0,90,100,70,100
42,1,85.5,95,215,70
43,1,81,90,186,215
44,0,85.5,95,82,186
45,0,81,90,116,82
46,0,63,90,121,116
47,0,81,90,129,121
48,0,81,90,125,129
49,1,81,90,199,125
50,1,81,90,178,199
51,0,70,100,123,178
52,0,81,90,98,123
53,0,81,90,93,98
54,0,85.5,95,109,93
55,0,90,100,96,109
56,1,90,100,179,96
57,1,85.5,95,182,179
58,0,90,100,71,182
59,0,90,100,97,71
60,0,85.5,95,88,97
61,0,85.5,95,91,88
62,0,70,100,101,91
63,1,85.5,95,174,101
64,1,81,90,211,174
65,0,90,100,114,211
66,0,81,90,101,114
67,0,81,90,90,101
68,0,90,100,76,90
69,0,70,100,113,76
70,1,70,100,212,113
71,1,85.5,95,203,212
72,0,85.5,95,104,203
73,0,85.5,95,73,104
74,0,81,90,127,73
75,0,81,90,87,127
76,0,85.5,95,96,87
77,1,85.5,95,230,96
78,1,70,100,240,230
79,0,85.5,95,105,240
80,0,70,100,101,105
81,0,81,90,88,101
82,0,90,100,89,88
83,0,90,100,92,89
84,1,90,100,213,92
85,1,90,100,179,213
86,0,81,90,74,179
87,0,63,90,145,74
88,0,90,100,88,145
89,0,90,100,104,88
90,0,90,100,83,104
91,1,85.5,95,203,83
92,1,90,100,216,203
93,0,90,100,75,216
94,0,90,100,99,75
95,0,81,90,111,99
96,0,81,90,95,111
97,0,90,100,64,95
98,1,90,100,215,64
99,1,81,90,201,215
100,0,85.5,95,93,201
101,0,85.5,95,104,93
102,0,90,100,73,104
103,0,90,100,103,73
104,0,70,100,134,103
105,1,90,100,177,134
106,1,90,100,211,177
107,0,81,90,125,211
108,0,90,100,78,125
109,0,85.5,95,123,78
110,0,70,100,99,123
111,0,70,100,125,99
112,1,90,100,211,125
113,1,70,100,195,211
114,0,70,100,143,195
115,0,90,100,63,143
116,0,81,90,100,63
117,0,90,100,58,100
118,0,90,100,85,58
119,1,85.5,95,221,85
120,1,85.5,95,191,221
121,0,90,100,63,191
122,0,81,90,82,63
123,0,90,100,79,82
124,0,81,90,101,79
125,0,81,90,70,101
126,1,90,100,218,70
127,1,90,100,179,218
128,0,66.5,95,131,179
129,0,90,100,92,131
130,0,90,100,63,92
131,0,66.5,95,121,63
132,0,90,100,95,121
133,1,90,100,207,95
134,1,90,100,167,207
135,0,85.5,95,102,167
136,0,90,100,76,102
137,0,63,90,102,76
138,0,85.5,95,75,102
139,0,90,100,103,75
140,1,90,100,194,103
141,1,95,100,205,194
142,0,85.5,95,78,205
143,0,85.5,95,104,78
144,0,81,90,125,104
145,0,90,100,85,125
146,0,90,100,83,85
147,1,90,100,206,83
148,1,85.5,95,206,206
149,0,81,90,69,206
150,0,85.5,95,68,69
151,0,85.5,95,95,68
152,0,85.5,95,116,95
153,0,66.5,95,113,116
154,1,66.5,95,212,113
155,1,85.5,95,180,212
156,0,90,100,113,180
157,0,70,100,140,113
158,0,81,90,83,140
159,0,70,100,110,83
160,0,90,100,74,110
161,1,81,90,183,74
162,1,85.5,95,174,183
163,0,85.5,95,82,174
164,0,66.5,95,112,82
165,0,90,100,116,112
166,0,90,100,112,116
167,0,90,100,75,112
168,1,90,100,171,75
169,1,90,100,177,171
170,0,90,100,72,177
171,0,90,100,64,72
172,0,90,100,58,64
173,0,90,100,75,58
174,0,90,100,89,75
175,1,90,100,169,89
176,1,90,100,192,169
177,0,85.5,95,96,192
178,0,81,90,91,96
179,0,85.5,95,100,91
180,0,90,100,64,100
181,0,81,90,107,64
182,1,63,90,245,107
183,1,90,100,201,245
184,0,90,100,69,201
185,0,70,100,149,69
186,0,90,100,103,149
187,0,90,100,103,103
188,0,90,100,82,103
189,1,70,100,213,82
190,1,90,100,191,213
191,0,81,90,71,191
192,0,90,100,62,71
193,0,85.5,95,109,62
194,0,90,100,110,109
195,0,85.5,95,96,110
196,1,70,100,249,96
197,1,90,100,225,249
198,0,85.5,95,65,225
199,0,85.5,95,112,65
200,0,81,90,95,112
201,0,66.5,95,158,95
202,0,70,100,106,158
203,1,90,100,173,106
204,1,90,100,183,173
205,0,90,100,114,183
206,0,90,100,67,114
207,0,90,100,77,67
208,0,66.5,95,156,77
209,0,81,90,77,156
210,1,85.5,95,218,77
211,1,90,100,181,218
212,0,81,90,85,181
213,0,90,100,88,85
214,0,90,100,79,88
215,0,90,100,117,79
216,0,90,100,58,117
217,1,70,100,209,58
218,1,81,90,202,209
219,0,90,100,66,202
220,0,81,90,82,66
221,0,85.5,95,92,82
222,0,90,100,61,92
223,0,81,90,79,61
224,1,90,100,220,79
225,1,81,90,213,220
226,0,81,90,117,213
227,0,81,90,98,117
228,0,81,90,70,98
229,0,70,100,98,70
230,0,90,100,66,98
231,1,90,100,184,66
232,1,85.5,95,191,184
233,0,70,100,130,191
234,0,81,90,97,130
235,0,90,100,79,97
236,0,90,100,112,79
237,0,85.5,95,75,112
238,1,85.5,95,226,75
