Month,Quantity
Jan-01,112
Feb-01,118
Mar-01,132
Apr-01,129
May-01,121
Jun-01,135
Jul-01,148
Aug-01,148
Sep-01,136
Oct-01,119
Nov-01,104
Dec-01,118
Jan-02,115
Feb-02,126
Mar-02,141
Apr-02,135
May-02,125
Jun-02,149
Jul-02,170
Aug-02,170
Sep-02,158
Oct-02,133
Nov-02,114
Dec-02,140
Jan-03,145
Feb-03,150
Mar-03,178
Apr-03,163
May-03,172
Jun-03,178
Jul-03,199
Aug-03,199
Sep-03,184
Oct-03,162
Nov-03,146
Dec-03,166
Jan-04,171
Feb-04,180
Mar-04,193
Apr-04,181
May-04,183
Jun-04,218
Jul-04,230
Aug-04,242
Sep-04,209
Oct-04,191
Nov-04,172
Dec-04,194
Jan-05,196
Feb-05,196
Mar-05,236
Apr-05,235
May-05,229
Jun-05,243
Jul-05,264
Aug-05,272
Sep-05,237
Oct-05,211
Nov-05,180
Dec-05,201
Jan-06,204
Feb-06,188
Mar-06,235
Apr-06,227
May-06,234
Jun-06,264
Jul-06,302
Aug-06,293
Sep-06,259
Oct-06,229
Nov-06,203
Dec-06,229
Jan-07,242
Feb-07,233
Mar-07,267
Apr-07,269
May-07,270
Jun-07,315
Jul-07,364
Aug-07,347
Sep-07,312
Oct-07,274
Nov-07,237
Dec-07,278
Jan-08,284
Feb-08,277
Mar-08,317
Apr-08,313
May-08,318
Jun-08,374
Jul-08,413
Aug-08,405
Sep-08,355
Oct-08,306
Nov-08,271
Dec-08,306
Jan-09,315
Feb-09,301
Mar-09,356
Apr-09,348
May-09,355
Jun-09,422
Jul-09,465
Aug-09,467
Sep-09,404
Oct-09,347
Nov-09,305
Dec-09,336
Jan-10,340
Feb-10,318
Mar-10,362
Apr-10,348
May-10,363
Jun-10,435
Jul-10,491
Aug-10,505
Sep-10,404
Oct-10,359
Nov-10,310
Dec-10,337
Jan-11,360
Feb-11,342
Mar-11,406
Apr-11,396
May-11,420
Jun-11,472
Jul-11,548
Aug-11,559
Sep-11,463
Oct-11,407
Nov-11,362
Dec-11,405
Jan-12,417
Feb-12,391
Mar-12,419
Apr-12,461
May-12,472
Jun-12,535
Jul-12,622
Aug-12,606
Sep-12,508
Oct-12,461
Nov-12,390
Dec-12,432
