qtr,Date,Sales
1,2010-03-31,104.9671415
2,2010-06-30,148.617357
3,2010-09-30,206.4768854
4,2010-12-31,265.2302986
5,2011-03-31,97.65846625
6,2011-06-30,147.6586304
7,2011-09-30,215.7921282
8,2011-12-31,257.6743473
9,2012-03-31,95.30525614
10,2012-06-30,155.4256004
11,2012-09-30,195.3658231
12,2012-12-31,245.3427025
13,2013-03-31,102.4196227
14,2013-06-30,130.8671976
15,2013-09-30,182.7508217
16,2013-12-31,244.3771247
17,2014-03-31,89.8716888
18,2014-06-30,153.1424733
19,2014-09-30,190.9197592
20,2014-12-31,235.876963
21,2015-03-31,114.6564877
22,2015-06-30,147.742237
23,2015-09-30,200.675282
24,2015-12-31,235.7525181
25,2016-03-31,94.55617275
26,2016-06-30,151.1092259
27,2016-09-30,188.4900642
28,2016-12-31,253.7569802
29,2017-03-31,93.9936131
30,2017-06-30,147.0830625
31,2017-09-30,193.9829339
32,2017-12-31,268.5227818
33,2018-03-31,99.86502775
34,2018-06-30,139.4228907
35,2018-09-30,208.2254491
36,2018-12-31,237.7915635
37,2019-03-31,102.088636
38,2019-06-30,130.4032988
39,2019-09-30,186.7181395
40,2019-12-31,251.9686124
