sample,브랜드,성별,Q1,Q2,Q3,Q4,Q5,Q6,만족도
1,2,남,7,3,6,2,1,4,4
2,2,여,3,2,4,2,1,5,2
3,3,여,7,4,6,4,3,2,3
4,3,여,6,3,5,6,6,5,5
5,3,여,7,4,7,5,6,2,6
6,3,여,5,6,6,5,6,4,6
7,2,여,4,2,4,2,3,5,3
8,3,남,2,5,3,2,2,3,2
9,2,여,4,6,3,4,5,2,4
10,2,여,6,7,6,2,2,6,3
11,1,남,3,2,3,6,5,2,4
12,1,남,1,4,2,2,3,4,2
13,2,남,7,7,7,7,6,5,7
14,2,여,1,3,2,6,5,3,4
15,1,남,2,3,3,1,2,4,3
16,2,여,2,4,3,2,2,5,3
17,3,남,3,5,2,4,5,3,5
18,3,남,6,3,5,7,6,6,5
19,1,남,3,6,2,5,5,4,3
20,2,여,6,3,7,1,2,5,2
21,3,남,7,6,7,3,4,3,6
22,1,여,7,4,6,1,2,6,1
23,3,남,1,3,1,7,7,2,4
24,2,남,6,4,5,4,4,2,2
25,3,남,6,8,7,4,5,2,5
26,1,남,5,3,4,5,4,6,5
27,1,남,3,4,2,7,6,3,4
28,3,여,3,6,3,5,6,5,4
29,3,여,5,2,5,1,2,3,3
30,1,여,1,4,2,5,5,1,3
31,1,남,5,5,6,4,4,6,5
32,3,남,1,3,1,1,2,3,2
33,3,여,5,2,4,4,4,2,3
34,3,남,6,5,6,6,5,7,4
35,3,여,3,2,4,3,3,1,2
36,2,여,7,4,6,7,6,4,6
37,2,여,2,5,3,3,4,6,6
38,3,남,7,3,6,3,3,5,4
39,1,남,2,4,2,3,2,4,3
40,1,남,5,2,4,5,4,2,5
41,1,남,6,7,6,2,3,6,3
42,3,남,3,5,2,1,1,5,5
43,3,여,7,5,7,2,1,4,4
44,3,여,1,2,1,1,1,3,1
45,2,남,6,6,6,4,5,2,5
46,1,여,3,3,3,2,3,4,3
47,3,여,2,2,2,3,2,1,2
48,1,남,6,5,6,6,6,3,5
49,3,남,6,5,7,6,7,5,3
50,1,여,5,5,6,5,4,2,4
51,1,남,5,7,5,1,2,3,6
52,2,여,2,4,2,2,2,5,3
53,1,남,4,5,5,4,5,2,4
54,2,여,3,2,2,4,3,1,2
55,1,남,6,5,6,2,3,5,4
56,1,여,2,3,3,6,5,3,5
57,1,여,1,4,2,6,5,4,4
58,3,여,1,3,2,4,3,2,3
59,3,여,6,7,7,6,5,3,5
60,2,남,3,5,1,2,1,4,2
