sample,gender,age,store,satisfaction,recommend
19,1,2,1,6,9
45,1,2,1,5,7
62,1,2,1,6,9
78,1,2,1,4,7
84,1,2,1,5,8
93,1,2,1,6,9
107,1,2,1,4,7
111,1,2,1,6,9
114,1,2,1,5,8
119,1,2,1,6,9
126,1,2,1,7,9
128,1,2,1,4,7
152,1,2,1,6,8
157,1,2,1,6,9
22,2,2,1,4,7
42,2,2,1,4,7
50,2,2,1,5,8
52,2,2,1,4,7
55,2,2,1,3,6
59,2,2,1,5,8
65,2,2,1,5,8
69,2,2,1,5,8
86,2,2,1,5,8
87,2,2,1,5,7
164,1,2,2,5,8
166,1,2,2,5,8
168,1,2,2,5,8
173,1,2,2,6,9
180,1,2,2,6,9
5,1,2,2,7,10
15,1,2,2,6,9
27,1,2,2,6,9
70,1,2,2,5,8
77,1,2,2,4,5
91,2,2,2,3,6
108,2,2,2,7,10
110,2,2,2,6,9
143,2,2,2,6,9
146,2,2,2,4,7
63,2,2,2,7,10
68,2,2,2,5,8
149,2,2,2,6,10
115,1,2,3,6,9
132,1,2,3,5,8
133,1,2,3,4,6
138,1,2,3,5,8
144,1,2,3,5,5
153,1,2,3,3,6
169,1,2,3,3,6
37,1,2,3,4,5
95,1,2,3,5,8
102,1,2,3,4,7
112,1,2,3,5,8
14,2,2,3,7,10
6,1,3,1,3,5
28,1,3,1,3,6
46,1,3,1,6,9
96,1,3,1,5,7
98,1,3,1,4,7
137,1,3,1,5,8
148,1,3,1,4,7
4,2,3,1,6,9
9,2,3,1,6,9
10,2,3,1,5,7
26,2,3,1,4,7
35,2,3,1,5,8
39,2,3,1,4,7
57,2,3,1,5,8
64,2,3,1,3,4
79,2,3,1,4,6
7,1,3,2,6,9
8,1,3,2,2,3
53,1,3,2,7,10
60,1,3,2,6,9
81,1,3,2,3,6
104,1,3,2,4,5
106,1,3,2,5,8
100,2,3,2,3,6
101,2,3,2,6,9
109,2,3,2,4,7
123,2,3,2,7,10
125,2,3,2,4,7
161,2,3,2,7,10
163,2,3,2,4,7
177,2,3,2,7,10
179,2,3,2,6,9
116,2,3,2,5,8
117,2,3,2,5,8
134,1,3,3,3,6
99,1,3,3,6,9
154,2,3,3,5,8
155,2,3,3,5,8
170,2,3,3,5,8
171,2,3,3,5,8
12,2,3,3,6,9
80,2,3,3,3,6
97,2,3,3,4,7
121,2,3,3,6,9
130,2,3,3,5,8
159,2,3,3,6,9
175,2,3,3,6,9
11,1,4,1,5,8
34,1,4,1,5,8
38,1,4,1,4,7
54,1,4,1,4,7
167,2,4,1,6,9
29,2,4,1,5,7
49,2,4,1,4,5
51,2,4,1,3,6
61,2,4,1,4,7
72,2,4,1,3,6
83,2,4,1,6,9
21,1,4,2,5,8
32,1,4,2,5,8
33,1,4,2,6,9
41,1,4,2,3,6
58,1,4,2,7,9
74,1,4,2,7,10
105,2,4,2,4,7
142,2,4,2,6,9
147,2,4,2,4,6
150,2,4,2,5,7
25,2,4,2,6,9
66,2,4,2,6,9
90,2,4,2,6,9
118,1,4,3,3,3
145,1,4,3,6,9
156,1,4,3,5,8
172,1,4,3,3,3
89,1,4,3,4,6
113,1,4,3,5,8
127,1,4,3,5,8
139,1,4,3,4,6
151,1,4,3,5,8
165,1,4,3,7,9
40,2,4,3,6,9
71,2,4,3,6,9
73,2,4,3,6,8
82,2,4,3,5,7
124,2,4,3,7,10
136,2,4,3,6,9
162,2,4,3,7,10
178,2,4,3,7,10
17,1,5,1,4,7
76,1,5,1,6,9
92,1,5,1,6,9
122,1,5,1,4,7
141,1,5,1,4,7
3,2,5,1,5,8
23,2,5,1,6,9
31,2,5,1,6,8
36,2,5,1,5,8
160,1,5,2,4,7
176,1,5,2,4,7
13,1,5,2,7,10
18,1,5,2,5,8
20,1,5,2,7,10
24,1,5,2,6,9
43,1,5,2,6,9
129,2,5,2,5,8
48,2,5,2,6,9
56,2,5,2,4,5
85,2,5,2,5,6
140,1,5,3,4,5
1,1,5,3,4,7
16,1,5,3,5,8
47,1,5,3,5,6
67,1,5,3,5,8
131,1,5,3,4,5
135,1,5,3,5,8
2,2,5,3,6,10
30,2,5,3,6,9
44,2,5,3,5,8
75,2,5,3,7,10
88,2,5,3,5,8
94,2,5,3,5,8
103,2,5,3,4,7
120,2,5,3,4,7
158,2,5,3,4,7
174,2,5,3,3,5
