sample,brand,gender,rebuy
1,2,1,2
2,1,1,4
3,2,1,2
4,3,2,2
5,3,2,5
6,1,1,5
7,1,2,2
8,2,1,3
9,2,2,5
10,3,2,4
11,3,2,3
12,3,1,3
13,2,1,2
14,1,1,3
15,1,2,2
16,2,2,1
17,1,2,4
18,3,2,4
19,2,1,2
20,3,1,5
21,2,1,4
22,2,2,2
23,2,1,1
24,1,1,3
25,2,2,5
26,2,2,1
27,2,1,4
28,3,2,5
29,2,1,2
30,1,1,4
31,1,2,2
32,2,2,4
33,2,1,1
34,3,2,3
35,3,1,3
36,3,2,5
37,1,2,1
38,1,2,2
39,1,1,5
40,2,1,2
41,1,1,5
42,3,2,4
43,2,2,4
44,3,2,3
45,3,2,5
46,3,1,4
47,2,1,3
48,1,1,5
49,1,2,2
50,1,1,4
51,2,1,3
52,3,2,4
53,3,2,3
54,1,1,4
55,1,1,5
56,2,1,2
57,2,1,4
58,3,2,4
59,3,2,5
60,3,1,5
61,1,2,5
62,1,1,5
63,1,2,3
64,2,2,5
65,1,2,2
66,3,1,2
67,2,1,4
68,3,1,1
69,3,2,5
70,3,2,4
71,2,2,1
72,1,2,4
73,1,1,5
74,1,1,4
75,2,1,2
76,3,2,4
77,3,1,2
78,1,1,3
79,1,2,5
80,2,2,3
81,2,1,1
82,3,1,2
83,3,1,4
84,3,1,4
85,1,2,2
86,1,2,5
87,1,1,3
88,2,2,5
89,1,1,4
90,3,2,5
91,2,2,2
92,3,2,4
93,3,1,4
94,3,1,2
95,2,1,5
96,1,2,1
97,2,2,3
98,1,2,1
99,2,2,3
100,3,1,3
