sample_id,performance,style,fuel,rebuy
1,3,7,3,8
2,6,3,9,6
3,5,9,6,8
4,10,8,4,10
5,5,2,5,3
6,5,4,9,6
7,7,2,8,4
8,5,7,5,7
9,5,9,10,8
10,6,5,6,6
11,4,3,9,6
12,5,7,6,7
13,9,6,10,6
14,4,4,7,5
15,9,8,8,8
16,8,3,5,5
17,6,10,5,8
18,5,9,7,8
19,8,4,5,4
20,2,8,3,8
21,3,7,9,8
22,5,3,5,3
23,8,6,6,6
24,2,3,2,3
25,5,7,3,5
26,7,9,9,8
27,8,9,10,10
28,6,9,6,7
29,6,9,3,7
30,6,4,5,4
31,7,9,9,9
32,9,3,8,5
33,7,3,6,3
34,6,6,6,7
35,8,7,7,7
36,9,5,6,5
37,10,5,6,9
38,6,5,4,5
39,8,5,6,6
40,6,8,9,8
41,9,5,8,7
42,7,5,7,5
43,4,4,8,4
44,2,5,6,6
45,6,3,6,4
46,3,2,8,4
47,8,7,8,7
48,7,4,10,5
49,3,3,3,6
50,8,5,6,6
51,7,4,7,6
52,6,8,4,7
53,3,4,9,4
54,7,6,4,5
55,8,8,4,7
56,4,6,5,6
57,4,6,6,5
58,6,6,7,6
59,6,8,5,8
60,5,8,10,9
61,4,3,7,4
62,7,10,7,9
63,10,6,4,5
64,4,4,4,5
65,5,7,8,8
66,4,7,9,7
67,8,3,6,4
68,3,8,8,7
69,8,2,8,4
70,2,5,6,5
71,7,4,2,3
72,4,7,10,7
73,4,4,7,5
74,4,4,5,5
75,5,4,7,6
76,4,5,10,7
77,4,3,8,5
78,7,6,8,7
79,4,4,7,4
80,9,3,4,4
81,8,2,2,2
82,5,7,5,6
83,8,5,3,4
84,3,5,7,6
85,9,4,8,6
86,8,6,3,5
87,2,3,2,3
88,6,8,2,6
89,3,7,3,5
90,6,9,3,7
91,3,5,9,6
92,4,5,7,6
93,7,5,4,5
94,10,10,8,8
95,4,6,10,6
96,7,8,8,9
97,9,4,5,4
98,5,3,7,5
99,6,5,5,5
100,8,8,6,8
