sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,만족도,유형설비,신뢰,감정배려,요구응대,확신
1,1,3,2,3,7,7,8,5,4,4,4,9,10,10,6,2.67 ,7.33 ,4.50 ,4.00 ,9.67 
2,1,4,4,5,8,7,6,7,6,2,3,9,10,9,9,4.33 ,7.00 ,6.50 ,2.50 ,9.33 
3,3,2,1,1,5,4,5,8,9,2,1,9,10,8,6,1.33 ,4.67 ,8.50 ,1.50 ,9.00 
4,2,4,4,4,3,2,3,3,2,6,5,9,10,10,9,4.00 ,2.67 ,2.50 ,5.50 ,9.67 
5,4,6,5,5,2,3,3,2,2,3,3,9,10,8,7,5.33 ,2.67 ,2.00 ,3.00 ,9.00 
6,4,4,3,3,2,3,2,8,9,6,5,9,10,9,6,3.33 ,2.33 ,8.50 ,5.50 ,9.33 
7,1,7,7,8,2,1,1,3,3,2,1,9,10,10,4,7.33 ,1.33 ,3.00 ,1.50 ,9.67 
8,3,5,4,5,8,9,10,5,6,8,7,9,9,10,8,4.67 ,9.00 ,5.50 ,7.50 ,9.33 
9,2,7,6,6,9,10,10,2,2,8,8,9,9,10,10,6.33 ,9.67 ,2.00 ,8.00 ,9.33 
10,4,5,5,6,8,9,9,6,5,5,5,9,9,10,8,5.33 ,8.67 ,5.50 ,5.00 ,9.33 
11,1,7,8,6,9,9,8,8,8,5,6,9,10,9,9,7.00 ,8.67 ,8.00 ,5.50 ,9.33 
12,4,5,5,6,8,9,8,3,2,9,9,9,9,8,8,5.33 ,8.33 ,2.50 ,9.00 ,8.67 
13,5,4,3,3,8,9,8,2,1,3,2,8,9,7,5,3.33 ,8.33 ,1.50 ,2.50 ,8.00 
14,3,3,3,4,7,8,7,7,7,4,4,8,9,10,8,3.33 ,7.33 ,7.00 ,4.00 ,9.00 
15,1,8,8,9,7,7,7,8,9,2,3,8,9,7,8,8.33 ,7.00 ,8.50 ,2.50 ,8.00 
16,4,7,6,7,7,8,7,6,5,7,8,9,10,6,10,6.67 ,7.33 ,5.50 ,7.50 ,8.33 
17,4,3,3,3,8,8,7,2,1,3,2,8,9,10,6,3.00 ,7.67 ,1.50 ,2.50 ,9.00 
18,5,5,5,6,7,7,6,4,5,7,8,9,10,10,7,5.33 ,6.67 ,4.50 ,7.50 ,9.67 
19,4,4,4,4,6,6,6,7,7,3,3,9,10,10,7,4.00 ,6.00 ,7.00 ,3.00 ,9.67 
20,3,6,6,7,5,6,6,9,9,8,8,8,9,10,10,6.33 ,5.67 ,9.00 ,8.00 ,9.00 
21,2,8,7,7,6,7,6,3,4,3,2,9,10,10,9,7.33 ,6.33 ,3.50 ,2.50 ,9.67 
22,3,5,6,4,5,6,5,7,6,3,2,8,9,10,8,5.00 ,5.33 ,6.50 ,2.50 ,9.00 
23,1,8,8,9,5,4,5,6,6,4,4,9,10,10,9,8.33 ,4.67 ,6.00 ,4.00 ,9.67 
24,5,2,2,2,6,5,5,2,1,9,9,9,10,10,8,2.00 ,5.33 ,1.50 ,9.00 ,9.67 
25,4,9,8,10,5,5,4,4,4,7,6,8,9,10,8,9.00 ,4.67 ,4.00 ,6.50 ,9.00 
26,3,3,2,2,6,5,4,7,7,5,5,8,9,10,8,2.33 ,5.00 ,7.00 ,5.00 ,9.00 
27,2,3,4,4,4,4,4,3,4,4,5,9,9,10,6,3.67 ,4.00 ,3.50 ,4.50 ,9.33 
28,5,8,7,7,2,3,4,6,7,8,8,8,9,10,6,7.33 ,3.00 ,6.50 ,8.00 ,9.00 
29,4,2,1,3,4,3,3,6,5,5,6,9,10,10,5,2.00 ,3.33 ,5.50 ,5.50 ,9.67 
30,2,9,8,10,3,4,3,5,6,3,2,8,9,10,8,9.00 ,3.33 ,5.50 ,2.50 ,9.00 
31,5,7,6,6,2,1,2,2,2,4,3,8,9,10,7,6.33 ,1.67 ,2.00 ,3.50 ,9.00 
32,1,4,3,3,2,1,2,2,3,7,6,9,10,10,5,3.33 ,1.67 ,2.50 ,6.50 ,9.67 
33,2,7,8,8,2,3,2,8,8,5,6,9,9,10,7,7.67 ,2.33 ,8.00 ,5.50 ,9.33 
34,2,2,2,1,2,1,2,4,3,5,6,8,9,10,5,1.67 ,1.67 ,3.50 ,5.50 ,9.00 
35,4,3,4,3,9,10,9,4,5,2,1,9,8,9,7,3.33 ,9.33 ,4.50 ,1.50 ,8.67 
36,4,4,3,3,8,9,10,4,4,3,4,8,9,9,9,3.33 ,9.00 ,4.00 ,3.50 ,8.67 
37,3,6,7,7,9,10,10,7,8,2,3,8,8,9,9,6.67 ,9.67 ,7.50 ,2.50 ,8.33 
38,5,5,4,6,8,8,9,2,1,8,7,8,8,9,8,5.00 ,8.33 ,1.50 ,7.50 ,8.33 
39,1,4,4,5,8,8,9,6,7,8,9,9,9,9,10,4.33 ,8.33 ,6.50 ,8.50 ,9.00 
40,2,3,3,4,8,8,8,2,3,7,6,9,10,9,7,3.33 ,8.00 ,2.50 ,6.50 ,9.33 
41,5,4,3,4,7,7,8,7,8,8,7,8,9,9,8,3.67 ,7.33 ,7.50 ,7.50 ,8.67 
42,2,7,7,7,8,8,8,7,8,7,7,8,9,10,10,7.00 ,8.00 ,7.50 ,7.00 ,9.00 
43,3,5,6,5,8,7,8,4,4,6,6,9,9,9,9,5.33 ,7.67 ,4.00 ,6.00 ,9.00 
