sample_id,gender,brand,performance,style,rebuy
1,male,4,5,2,5
2,female,2,6,5,5
3,female,3,8,7,7
4,male,3,5,4,7
5,female,4,5,3,4
6,male,2,7,4,7
7,male,3,5,7,7
8,male,3,2,8,7
9,male,1,5,4,6
10,male,4,4,8,7
11,female,3,6,6,7
12,female,3,3,4,4
13,male,4,6,5,7
14,male,2,5,8,7
15,female,2,6,10,8
16,male,2,3,4,6
17,female,2,7,8,7
18,female,4,4,4,4
19,female,2,9,4,7
20,female,3,5,9,7
21,male,1,4,7,6
22,male,4,9,3,8
23,female,1,8,6,7
24,male,1,4,4,6
25,female,1,8,3,6
26,male,2,5,3,7
27,male,3,5,2,5
28,female,2,3,3,4
29,male,2,5,4,6
30,male,1,8,8,9
31,female,3,7,7,7
32,male,1,4,6,6
33,male,3,2,3,5
34,female,4,8,6,7
35,female,3,7,7,6
36,male,1,7,6,7
37,female,4,1,0,2
38,male,2,6,6,7
39,female,1,10,5,6
40,male,4,8,7,9
41,male,4,4,7,7
42,male,1,4,5,6
43,female,3,6,3,5
44,female,4,2,3,4
45,female,4,6,3,5
46,male,1,6,9,7
47,female,1,4,6,7
48,female,4,8,9,8
49,male,2,5,7,7
50,male,3,6,10,8
51,male,1,4,3,6
52,male,4,5,4,6
53,male,1,5,7,8
54,female,1,10,4,6
55,female,2,2,4,4
56,female,4,4,6,5
57,male,3,5,9,7
58,female,2,8,4,6
59,female,2,4,5,5
60,male,2,7,5,8
61,female,4,7,2,4
62,male,2,8,2,6
63,female,4,6,3,4
64,male,3,10,5,9
65,male,3,4,4,7
66,female,2,6,4,5
67,female,3,4,5,5
68,female,2,8,8,7
69,female,3,5,9,8
70,female,3,7,5,7
71,female,4,9,5,7
72,female,1,2,4,4
73,female,1,9,5,6
74,male,3,7,10,8
75,male,2,6,3,7
76,female,3,7,4,5
77,female,2,4,4,5
78,female,4,6,9,9
79,female,4,4,4,5
80,female,4,6,8,8
81,male,4,7,8,9
82,male,4,4,6,7
83,male,1,6,4,7
84,male,2,8,5,9
85,female,2,4,4,4
86,female,2,7,5,5
87,male,2,8,7,8
88,female,1,3,5,5
89,male,2,6,5,6
90,male,1,6,8,8
91,female,1,7,7,6
92,male,1,9,5,7
93,female,3,10,6,7
94,female,2,5,3,4
95,female,4,5,4,5
96,male,3,5,5,6
97,female,1,6,9,7
98,male,3,9,8,10
99,male,1,3,2,5
100,male,3,2,6,6
101,male,4,3,5,5
102,male,3,2,3,5
103,male,2,7,3,6
104,female,4,9,4,6
105,female,4,7,5,7
106,female,4,5,3,5
107,female,3,8,6,6
108,female,2,7,10,8
109,female,2,8,5,7
110,male,1,3,7,6
111,female,2,8,2,4
112,male,3,5,3,6
113,male,1,4,9,7
114,male,4,3,8,6
115,male,3,4,4,6
116,female,1,9,8,7
117,male,2,8,9,9
118,male,2,2,5,5
119,female,1,5,4,5
120,female,4,5,1,4
121,male,2,8,4,8
122,male,3,6,6,7
123,female,1,6,6,6
124,female,4,5,8,7
125,female,2,7,4,6
126,male,4,10,6,10
127,female,3,7,6,6
128,male,4,6,4,7
129,male,3,5,2,6
130,male,3,6,8,8
131,female,4,2,3,4
132,male,1,3,5,6
133,male,2,4,7,7
134,female,4,10,10,10
135,male,1,6,5,7
136,female,3,5,4,5
137,female,2,6,5,6
138,female,2,9,5,6
139,male,1,5,7,7
140,male,4,10,9,10
141,female,1,4,5,5
142,female,1,6,6,7
143,female,3,6,6,6
144,male,1,9,5,9
145,male,3,8,8,9
146,female,4,4,3,5
147,female,3,3,5,5
148,female,3,5,7,7
149,female,3,4,9,7
150,male,1,6,7,8
151,female,2,4,4,5
152,male,2,5,3,5
153,female,1,8,3,5
154,male,3,9,3,8
155,male,1,8,6,8
156,female,3,5,7,6
157,female,2,5,7,6
158,male,1,8,3,7
159,female,4,3,6,5
160,female,2,8,4,6
161,female,3,7,9,9
162,male,1,7,5,7
163,male,4,10,10,10
164,female,4,8,6,7
165,male,3,9,5,7
166,male,1,3,4,6
167,female,4,9,4,7
168,female,3,4,3,4
169,male,4,9,3,8
170,male,3,7,6,7
171,female,2,4,4,5
172,female,2,6,8,7
173,male,3,3,7,6
174,female,3,5,9,8
175,male,3,8,6,7
176,male,1,6,8,7
177,male,2,6,3,6
178,female,1,4,6,5
179,female,2,2,1,3
180,male,2,6,8,8
181,male,1,4,5,6
182,female,1,6,8,8
183,male,2,4,6,6
184,male,3,6,9,7
185,male,2,8,9,9
186,male,3,3,2,4
187,female,2,5,7,7
188,male,4,7,8,9
189,female,2,6,8,7
190,male,1,7,8,8
191,male,4,8,4,7
192,female,2,3,1,4
193,male,4,3,7,6
194,female,2,6,8,7
195,male,1,7,4,6
196,female,1,9,3,6
197,female,1,6,8,7
198,male,4,8,4,7
199,male,3,8,3,7
200,female,4,8,4,6
