customer_id,InvoiceNo,InvoiceDate,TotalSales
14335,578273,2011-11-23 13:41,26.7
14335,578273,2011-11-23 13:41,45.6
14335,578273,2011-11-23 13:41,24.8
12709,555282,2011-06-02 9:04,29.7
12709,555282,2011-06-02 9:04,7.4
12673,541277,2011-01-17 11:46,15.6
12709,555282,2011-06-02 9:04,22.5
12517,555383,2011-06-02 15:13,34
12517,555383,2011-06-02 15:13,17.2
14335,565430,2011-09-04 13:07,36.4
12531,578705,2011-11-25 11:12,42
14335,578273,2011-11-23 13:41,41.8
12517,555383,2011-06-02 15:13,12.8
12709,555282,2011-06-02 9:04,33.5
12709,555282,2011-06-02 9:04,37.7
12517,555383,2011-06-02 15:13,15.7
12517,555383,2011-06-02 15:13,35.2
12517,555383,2011-06-02 15:13,30.6
12517,575886,2011-11-11 13:57,42.8
12517,575886,2011-11-11 13:57,32.6
12517,575886,2011-11-11 13:57,41.1
12517,575886,2011-11-11 13:57,32.2
14335,578273,2011-11-23 13:41,29.7
14335,578273,2011-11-23 13:41,11.2
14335,578273,2011-11-23 13:41,10.3
12517,555383,2011-06-02 15:13,21.5
12517,575886,2011-11-11 13:57,36.4
12517,575886,2011-11-11 13:57,19.3
12517,555383,2011-06-02 15:13,6.6
12517,555383,2011-06-02 15:13,36.2
12517,555383,2011-06-02 15:13,20.3
14335,578273,2011-11-23 13:41,35.9
14335,578273,2011-11-23 13:41,10.4
12531,578705,2011-11-25 11:12,23.6
12517,555383,2011-06-02 15:13,44.5
12517,555383,2011-06-02 15:13,11.9
12517,555383,2011-06-02 15:13,16.1
12517,555383,2011-06-02 15:13,44.2
12517,555383,2011-06-02 15:13,29.5
14335,565430,2011-09-04 13:07,30.7
12517,555383,2011-06-02 15:13,45
14335,565430,2011-09-04 13:07,8.2
12517,555383,2011-06-02 15:13,34.4
12673,541277,2011-01-17 11:46,37.7
12517,555383,2011-06-02 15:13,16
12517,555383,2011-06-02 15:13,33.1
14335,565430,2011-09-04 13:07,39.3
14335,578273,2011-11-23 13:41,6.4
12517,555383,2011-06-02 15:13,36.1
12517,555383,2011-06-02 15:13,11.3
12520,547715,2011-03-25 8:50,33.4
12517,555383,2011-06-02 15:13,33.4
12426,554985,2011-05-29 12:26,25.7
12517,555383,2011-06-02 15:13,35
12517,555383,2011-06-02 15:13,28.1
12517,555383,2011-06-02 15:13,28.8
14335,565430,2011-09-04 13:07,39.6
12572,571724,2011-10-19 8:20,14.6
12517,575886,2011-11-11 13:57,44.5
12480,575896,2011-11-11 14:52,6.5
14335,578273,2011-11-23 13:41,38.1
12531,578705,2011-11-25 11:12,21.1
12673,541277,2011-01-17 11:46,28.4
12517,555383,2011-06-02 15:13,27.9
12517,555383,2011-06-02 15:13,34.1
12517,555383,2011-06-02 15:13,32.5
12517,575886,2011-11-11 13:57,7.7
12517,555383,2011-06-02 15:13,45.3
12635,566233,2011-09-11 11:04,6.2
12635,566233,2011-09-11 11:04,29.9
12524,570082,2011-10-07 11:19,10.9
12517,555383,2011-06-02 15:13,37.6
12517,555383,2011-06-02 15:13,12.2
12517,555383,2011-06-02 15:13,45.9
12517,555383,2011-06-02 15:13,45.2
12517,555383,2011-06-02 15:13,34.3
14335,565430,2011-09-04 13:07,14.7
14335,565430,2011-09-04 13:07,20.6
14335,565430,2011-09-04 13:07,27.2
12517,575886,2011-11-11 13:57,15.8
12517,575886,2011-11-11 13:57,11.2
