customer_id,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Country,TotalSales
12426,554985,2011-05-29 12:26,6,2.95,Germany,17.7
12426,554985,2011-05-29 12:26,10,1.25,Germany,12.5
12426,554985,2011-05-29 12:26,12,0.85,Germany,10.2
12426,554985,2011-05-29 12:26,12,1.65,Germany,19.8
12426,554985,2011-05-29 12:26,12,1.65,Germany,19.8
12426,554985,2011-05-29 12:26,12,1.65,Germany,19.8
12426,554985,2011-05-29 12:26,2,7.95,Germany,15.9
12426,554985,2011-05-29 12:26,2,7.95,Germany,15.9
12426,554985,2011-05-29 12:26,2,7.95,Germany,15.9
12426,554985,2011-05-29 12:26,12,1.25,Germany,15
12426,554985,2011-05-29 12:26,12,1.25,Germany,15
12426,554985,2011-05-29 12:26,6,4.25,Germany,25.5
12426,554985,2011-05-29 12:26,12,1.69,Germany,20.28
12426,554985,2011-05-29 12:26,2,4.95,Germany,9.9
12426,554985,2011-05-29 12:26,12,2.1,Germany,25.2
12426,554985,2011-05-29 12:26,12,2.95,Germany,35.4
12426,554985,2011-05-29 12:26,6,2.95,Germany,17.7
12426,554985,2011-05-29 12:26,12,1.65,Germany,19.8
12426,554985,2011-05-29 12:26,12,1.95,Germany,23.4
12426,554985,2011-05-29 12:26,12,1.95,Germany,23.4
12426,554985,2011-05-29 12:26,12,1.25,Germany,15
12426,554985,2011-05-29 12:26,12,1.25,Germany,15
12426,554985,2011-05-29 12:26,4,4.95,Germany,19.8
12426,554985,2011-05-29 12:26,1,16.95,Germany,16.95
12426,554985,2011-05-29 12:26,6,2.95,Germany,17.7
12426,554985,2011-05-29 12:26,6,2.95,Germany,17.7
12426,554985,2011-05-29 12:26,6,2.55,Germany,15.3
12426,554985,2011-05-29 12:26,2,6.35,Germany,12.7
12426,554985,2011-05-29 12:26,25,0.1,Germany,2.5
12426,554985,2011-05-29 12:26,4,18,Germany,72
12427,536861,2010-12-03 10:44,6,2.1,Germany,12.6
12427,536861,2010-12-03 10:44,12,1.65,Germany,19.8
12427,536861,2010-12-03 10:44,6,2.95,Germany,17.7
12427,536861,2010-12-03 10:44,8,7.65,Germany,61.2
12427,536861,2010-12-03 10:44,8,8.5,Germany,68
12427,536861,2010-12-03 10:44,6,2.55,Germany,15.3
12427,536861,2010-12-03 10:44,6,2.55,Germany,15.3
12427,536861,2010-12-03 10:44,12,1.65,Germany,19.8
12427,536861,2010-12-03 10:44,12,1.65,Germany,19.8
12427,536861,2010-12-03 10:44,3,18,Germany,54
12427,570452,2011-10-10 15:15,12,1.65,Germany,19.8
12427,570452,2011-10-10 15:15,8,1.95,Germany,15.6
12427,570452,2011-10-10 15:15,4,4.15,Germany,16.6
12427,570452,2011-10-10 15:15,6,2.08,Germany,12.48
12427,570452,2011-10-10 15:15,12,1.65,Germany,19.8
12427,570452,2011-10-10 15:15,3,5.95,Germany,17.85
12427,570452,2011-10-10 15:15,2,8.25,Germany,16.5
12427,570452,2011-10-10 15:15,6,4.15,Germany,24.9
12427,570452,2011-10-10 15:15,12,2.1,Germany,25.2
12427,570452,2011-10-10 15:15,12,1.45,Germany,17.4
12427,570452,2011-10-10 15:15,12,1.25,Germany,15
12427,570452,2011-10-10 15:15,12,1.25,Germany,15
12427,570452,2011-10-10 15:15,8,1.95,Germany,15.6
12427,570452,2011-10-10 15:15,3,4.95,Germany,14.85
12427,570452,2011-10-10 15:15,2,18,Germany,36
12427,577135,2011-11-18 8:56,24,1.79,Germany,42.96
12427,577135,2011-11-18 8:56,8,8.5,Germany,68
12427,577135,2011-11-18 8:56,12,1.65,Germany,19.8
12427,577135,2011-11-18 8:56,6,2.08,Germany,12.48
12427,577135,2011-11-18 8:56,2,18,Germany,36
12468,542371,2011-01-27 13:29,12,2.95,Germany,35.4
12468,542371,2011-01-27 13:29,12,0.65,Germany,7.8
12468,542371,2011-01-27 13:29,12,0.65,Germany,7.8
12468,542371,2011-01-27 13:29,3,12.75,Germany,38.25
12468,542371,2011-01-27 13:29,8,1.95,Germany,15.6
12468,542371,2011-01-27 13:29,24,0.55,Germany,13.2
12468,542371,2011-01-27 13:29,12,1.65,Germany,19.8
12468,542371,2011-01-27 13:29,12,1.65,Germany,19.8
12468,542371,2011-01-27 13:29,6,1.95,Germany,11.7
12468,542371,2011-01-27 13:29,12,0.42,Germany,5.04
12468,542371,2011-01-27 13:29,12,0.85,Germany,10.2
12468,542371,2011-01-27 13:29,2,18,Germany,36
12468,555523,2011-06-05 11:36,8,1.65,Germany,13.2
12468,555523,2011-06-05 11:36,10,0.85,Germany,8.5
12468,555523,2011-06-05 11:36,6,1.95,Germany,11.7
12468,555523,2011-06-05 11:36,6,1.95,Germany,11.7
12468,555523,2011-06-05 11:36,6,2.95,Germany,17.7
12468,555523,2011-06-05 11:36,12,1.45,Germany,17.4
12468,555523,2011-06-05 11:36,10,1.65,Germany,16.5
12468,555523,2011-06-05 11:36,12,1.25,Germany,15
12468,555523,2011-06-05 11:36,12,1.65,Germany,19.8
12468,555523,2011-06-05 11:36,12,1.25,Germany,15
12468,555523,2011-06-05 11:36,6,2.95,Germany,17.7
12468,555523,2011-06-05 11:36,36,0.65,Germany,23.4
12468,555523,2011-06-05 11:36,2,9.95,Germany,19.9
12468,555523,2011-06-05 11:36,3,4.95,Germany,14.85
12468,555523,2011-06-05 11:36,8,1.95,Germany,15.6
12468,555523,2011-06-05 11:36,4,4.15,Germany,16.6
12468,555523,2011-06-05 11:36,4,4.15,Germany,16.6
12468,555523,2011-06-05 11:36,4,4.15,Germany,16.6
12468,555523,2011-06-05 11:36,12,2.95,Germany,35.4
12468,555523,2011-06-05 11:36,6,2.95,Germany,17.7
12468,555523,2011-06-05 11:36,24,2.95,Germany,70.8
12468,555523,2011-06-05 11:36,6,2.55,Germany,15.3
12468,555523,2011-06-05 11:36,2,6.75,Germany,13.5
12468,555523,2011-06-05 11:36,20,0.65,Germany,13
12468,555523,2011-06-05 11:36,6,3.25,Germany,19.5
12468,555523,2011-06-05 11:36,2,18,Germany,36
12473,555162,2011-06-01 10:15,25,0.42,Germany,10.5
12473,555162,2011-06-01 10:15,10,2.08,Germany,20.8
12473,555162,2011-06-01 10:15,10,1.65,Germany,16.5
12473,555162,2011-06-01 10:15,6,3.25,Germany,19.5
12473,555162,2011-06-01 10:15,10,1.65,Germany,16.5
12473,555162,2011-06-01 10:15,6,3.25,Germany,19.5
12473,555162,2011-06-01 10:15,12,1.25,Germany,15
12473,555162,2011-06-01 10:15,12,1.25,Germany,15
12473,555162,2011-06-01 10:15,12,1.25,Germany,15
12473,555162,2011-06-01 10:15,16,0.65,Germany,10.4
12473,555162,2011-06-01 10:15,2,7.95,Germany,15.9
12473,555162,2011-06-01 10:15,16,1.69,Germany,27.04
12473,555162,2011-06-01 10:15,6,1.95,Germany,11.7
12473,555162,2011-06-01 10:15,6,1.95,Germany,11.7
12473,555162,2011-06-01 10:15,6,1.95,Germany,11.7
12473,555162,2011-06-01 10:15,3,16.95,Germany,50.85
12473,555162,2011-06-01 10:15,24,0.85,Germany,20.4
12473,555162,2011-06-01 10:15,6,2.95,Germany,17.7
12473,555162,2011-06-01 10:15,6,2.95,Germany,17.7
12473,555162,2011-06-01 10:15,12,1.65,Germany,19.8
12473,555162,2011-06-01 10:15,12,1.65,Germany,19.8
12473,555162,2011-06-01 10:15,48,0.29,Germany,13.92
12473,555162,2011-06-01 10:15,24,0.42,Germany,10.08
12473,555162,2011-06-01 10:15,48,0.85,Germany,40.8
12473,555162,2011-06-01 10:15,48,0.85,Germany,40.8
12473,555162,2011-06-01 10:15,12,0.85,Germany,10.2
12473,555162,2011-06-01 10:15,6,2.55,Germany,15.3
12473,555162,2011-06-01 10:15,12,1.95,Germany,23.4
12473,555162,2011-06-01 10:15,25,0.42,Germany,10.5
12473,555162,2011-06-01 10:15,25,0.42,Germany,10.5
12473,555162,2011-06-01 10:15,4,18,Germany,72
12473,563540,2011-08-17 12:04,6,2.95,Germany,17.7
12473,563540,2011-08-17 12:04,6,2.55,Germany,15.3
12473,563540,2011-08-17 12:04,12,0.85,Germany,10.2
12473,563540,2011-08-17 12:04,12,0.85,Germany,10.2
12473,563540,2011-08-17 12:04,10,1.65,Germany,16.5
12473,563540,2011-08-17 12:04,3,5.95,Germany,17.85
12473,563540,2011-08-17 12:04,12,0.85,Germany,10.2
12473,563540,2011-08-17 12:04,6,1.95,Germany,11.7
12473,563540,2011-08-17 12:04,3,5.95,Germany,17.85
12473,563540,2011-08-17 12:04,2,12.5,Germany,25
12473,563540,2011-08-17 12:04,8,0.85,Germany,6.8
12473,563540,2011-08-17 12:04,8,0.85,Germany,6.8
12473,563540,2011-08-17 12:04,12,1.25,Germany,15
12473,563540,2011-08-17 12:04,36,0.19,Germany,6.84
12473,563540,2011-08-17 12:04,36,0.19,Germany,6.84
12473,563540,2011-08-17 12:04,12,0.39,Germany,4.68
12473,563540,2011-08-17 12:04,12,1.25,Germany,15
12473,563540,2011-08-17 12:04,8,1.65,Germany,13.2
12473,563540,2011-08-17 12:04,8,1.65,Germany,13.2
12473,563540,2011-08-17 12:04,8,1.65,Germany,13.2
12473,563540,2011-08-17 12:04,10,2.08,Germany,20.8
12473,563540,2011-08-17 12:04,10,2.08,Germany,20.8
12473,563540,2011-08-17 12:04,4,4.25,Germany,17
12473,563540,2011-08-17 12:04,4,4.25,Germany,17
12473,563540,2011-08-17 12:04,16,1.25,Germany,20
12473,563540,2011-08-17 12:04,10,1.65,Germany,16.5
12473,563540,2011-08-17 12:04,6,2.95,Germany,17.7
12473,563540,2011-08-17 12:04,12,1.65,Germany,19.8
12473,563540,2011-08-17 12:04,24,0.85,Germany,20.4
12473,563540,2011-08-17 12:04,5,18,Germany,90
12473,571328,2011-10-17 11:27,12,0.85,Germany,10.2
12473,571328,2011-10-17 11:27,24,0.29,Germany,6.96
12473,571328,2011-10-17 11:27,24,0.85,Germany,20.4
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,12,0.38,Germany,4.56
12473,571328,2011-10-17 11:27,12,0.85,Germany,10.2
12473,571328,2011-10-17 11:27,6,2.55,Germany,15.3
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,12,1.06,Germany,12.72
12473,571328,2011-10-17 11:27,12,0.85,Germany,10.2
12473,571328,2011-10-17 11:27,16,0.83,Germany,13.28
12473,571328,2011-10-17 11:27,6,3.25,Germany,19.5
12473,571328,2011-10-17 11:27,24,0.39,Germany,9.36
12473,571328,2011-10-17 11:27,12,0.39,Germany,4.68
12473,571328,2011-10-17 11:27,12,0.39,Germany,4.68
12473,571328,2011-10-17 11:27,12,0.79,Germany,9.48
12473,571328,2011-10-17 11:27,48,0.39,Germany,18.72
12473,571328,2011-10-17 11:27,24,0.29,Germany,6.96
12473,571328,2011-10-17 11:27,24,0.65,Germany,15.6
12473,571328,2011-10-17 11:27,12,0.65,Germany,7.8
12473,571328,2011-10-17 11:27,12,0.65,Germany,7.8
12473,571328,2011-10-17 11:27,24,0.79,Germany,18.96
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,6,2.25,Germany,13.5
12473,571328,2011-10-17 11:27,6,2.25,Germany,13.5
12473,571328,2011-10-17 11:27,6,2.55,Germany,15.3
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,10,1.65,Germany,16.5
12473,571328,2011-10-17 11:27,4,4.25,Germany,17
12473,571328,2011-10-17 11:27,12,1.95,Germany,23.4
12473,571328,2011-10-17 11:27,10,0.85,Germany,8.5
12473,571328,2011-10-17 11:27,4,4.65,Germany,18.6
12473,571328,2011-10-17 11:27,6,2.55,Germany,15.3
12473,571328,2011-10-17 11:27,12,0.65,Germany,7.8
12473,571328,2011-10-17 11:27,12,1.25,Germany,15
12473,571328,2011-10-17 11:27,1,9.95,Germany,9.95
