,CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Country,TotalSales
0,12662,536527,2010-12-01 13:04,6,2.95,Germany,17.700000000000003
1,12662,536527,2010-12-01 13:04,6,2.55,Germany,15.299999999999999
2,12662,536527,2010-12-01 13:04,12,0.85,Germany,10.2
3,12662,536527,2010-12-01 13:04,12,1.65,Germany,19.799999999999997
4,12662,536527,2010-12-01 13:04,12,1.95,Germany,23.4
5,12662,536527,2010-12-01 13:04,12,1.65,Germany,19.799999999999997
6,12662,536527,2010-12-01 13:04,24,0.42,Germany,10.08
7,12662,536527,2010-12-01 13:04,10,1.95,Germany,19.5
8,12662,536527,2010-12-01 13:04,10,1.95,Germany,19.5
9,12662,536527,2010-12-01 13:04,4,4.65,Germany,18.6
10,12662,536527,2010-12-01 13:04,12,1.45,Germany,17.4
11,12662,536527,2010-12-01 13:04,12,1.65,Germany,19.799999999999997
12,12662,536527,2010-12-01 13:04,12,1.25,Germany,15.0
13,12662,536527,2010-12-01 13:04,12,1.45,Germany,17.4
14,12662,536527,2010-12-01 13:04,1,18.0,Germany,18.0
30,12738,536840,2010-12-02 18:27,12,1.45,Germany,17.4
31,12738,536840,2010-12-02 18:27,12,0.85,Germany,10.2
32,12738,536840,2010-12-02 18:27,12,0.85,Germany,10.2
33,12738,536840,2010-12-02 18:27,1,9.95,Germany,9.95
34,12738,536840,2010-12-02 18:27,24,0.55,Germany,13.200000000000001
35,12738,536840,2010-12-02 18:27,12,1.65,Germany,19.799999999999997
36,12738,536840,2010-12-02 18:27,2,8.5,Germany,17.0
37,12738,536840,2010-12-02 18:27,24,0.55,Germany,13.200000000000001
38,12738,536840,2010-12-02 18:27,24,0.55,Germany,13.200000000000001
39,12738,536840,2010-12-02 18:27,24,0.55,Germany,13.200000000000001
40,12738,536840,2010-12-02 18:27,1,18.0,Germany,18.0
41,12427,536861,2010-12-03 10:44,6,2.1,Germany,12.600000000000001
42,12427,536861,2010-12-03 10:44,12,1.65,Germany,19.799999999999997
43,12427,536861,2010-12-03 10:44,6,2.95,Germany,17.700000000000003
44,12427,536861,2010-12-03 10:44,8,7.65,Germany,61.2
45,12427,536861,2010-12-03 10:44,8,8.5,Germany,68.0
46,12427,536861,2010-12-03 10:44,6,2.55,Germany,15.299999999999999
47,12427,536861,2010-12-03 10:44,6,2.55,Germany,15.299999999999999
48,12427,536861,2010-12-03 10:44,12,1.65,Germany,19.799999999999997
49,12427,536861,2010-12-03 10:44,12,1.65,Germany,19.799999999999997
50,12427,536861,2010-12-03 10:44,3,18.0,Germany,54.0
52,12600,536967,2010-12-03 12:57,30,1.95,Germany,58.5
53,12712,536983,2010-12-03 14:30,8,1.65,Germany,13.2
54,12712,536983,2010-12-03 14:30,12,2.1,Germany,25.200000000000003
56,12712,536983,2010-12-03 14:30,4,5.95,Germany,23.8
57,12712,536983,2010-12-03 14:30,3,4.95,Germany,14.850000000000001
58,12712,536983,2010-12-03 14:30,12,1.69,Germany,20.28
59,12712,536983,2010-12-03 14:30,6,2.95,Germany,17.700000000000003
60,12712,536983,2010-12-03 14:30,10,0.85,Germany,8.5
62,12647,537197,2010-12-05 14:02,2,6.75,Germany,13.5
63,12647,537197,2010-12-05 14:02,2,6.75,Germany,13.5
64,12647,537197,2010-12-05 14:02,12,1.45,Germany,17.4
65,12647,537197,2010-12-05 14:02,12,0.85,Germany,10.2
66,12647,537197,2010-12-05 14:02,12,0.85,Germany,10.2
67,12647,537197,2010-12-05 14:02,6,3.75,Germany,22.5
69,12647,537197,2010-12-05 14:02,4,4.25,Germany,17.0
70,12647,537197,2010-12-05 14:02,4,4.95,Germany,19.8
71,12647,537197,2010-12-05 14:02,4,4.95,Germany,19.8
72,12647,537197,2010-12-05 14:02,6,1.65,Germany,9.899999999999999
73,12647,537197,2010-12-05 14:02,4,3.75,Germany,15.0
74,12647,537197,2010-12-05 14:02,1,12.75,Germany,12.75
75,12647,537197,2010-12-05 14:02,3,18.0,Germany,54.0
76,12647,537197,2010-12-05 14:02,2,8.5,Germany,17.0
77,12647,537197,2010-12-05 14:02,1,0.0,Germany,0.0
78,12647,537197,2010-12-05 14:02,1,16.95,Germany,16.95
79,12647,537198,2010-12-05 14:03,10,6.75,Germany,67.5
80,12647,537198,2010-12-05 14:03,1,18.0,Germany,18.0
81,12472,537201,2010-12-05 14:19,2,7.65,Germany,15.3
82,12472,537201,2010-12-05 14:19,24,2.1,Germany,50.400000000000006
83,12472,537201,2010-12-05 14:19,12,3.75,Germany,45.0
84,12472,537201,2010-12-05 14:19,12,1.45,Germany,17.4
85,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
86,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
87,12472,537201,2010-12-05 14:19,18,2.1,Germany,37.800000000000004
88,12472,537201,2010-12-05 14:19,12,1.65,Germany,19.799999999999997
89,12472,537201,2010-12-05 14:19,12,1.65,Germany,19.799999999999997
90,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
91,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
92,12472,537201,2010-12-05 14:19,12,2.1,Germany,25.200000000000003
93,12472,537201,2010-12-05 14:19,4,3.75,Germany,15.0
94,12472,537201,2010-12-05 14:19,12,2.1,Germany,25.200000000000003
95,12472,537201,2010-12-05 14:19,8,4.25,Germany,34.0
96,12472,537201,2010-12-05 14:19,8,1.95,Germany,15.6
97,12472,537201,2010-12-05 14:19,4,4.65,Germany,18.6
98,12472,537201,2010-12-05 14:19,2,9.95,Germany,19.9
99,12472,537201,2010-12-05 14:19,12,0.42,Germany,5.04
100,12472,537201,2010-12-05 14:19,24,0.42,Germany,10.08
101,12472,537201,2010-12-05 14:19,24,1.25,Germany,30.0
102,12472,537201,2010-12-05 14:19,24,1.25,Germany,30.0
103,12472,537201,2010-12-05 14:19,8,1.65,Germany,13.2
104,12472,537201,2010-12-05 14:19,24,0.12,Germany,2.88
105,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
