customer_id,date,product_id,quantity,sales
A_12712,2010-12-09 11:39,p_02,2,19.9
A_13817,2010-12-23 11:46,p_06,1,18
A_12712,2011-01-12 11:46,p_07,2,36
A_12712,2011-02-01 10:00,p_04,2,36
A_12712,2011-03-16 13:58,p_01,2,16.5
A_12712,2011-03-16 13:58,p_08,2,16.5
A_12712,2011-03-16 13:58,p_08,2,16.5
A_12712,2011-03-16 13:58,p_09,2,16.5
A_13811,2011-04-14 18:40,p_02,2,36
A_12712,2011-05-23 15:38,p_08,2,25
A_13811,2011-06-09 9:54,p_08,2,36
A_13815,2011-06-20 13:08,p_04,2,59.9
A_13815,2011-06-20 13:08,p_06,2,15.9
A_13815,2011-06-20 13:08,p_08,2,59.9
A_13815,2011-06-20 13:08,p_09,2,15.9
A_12712,2011-07-15 13:10,p_04,1,12.5
A_12712,2011-07-15 13:10,p_08,1,8.25
A_12712,2011-07-15 13:10,p_08,1,12.5
A_13814,2011-07-25 13:54,p_05,2,19.9
A_13814,2011-07-25 13:54,p_09,2,19.9
A_13812,2011-08-26 12:54,p_02,1,18
A_14335,2011-09-04 13:07,p_03,1,4.25
A_14335,2011-09-04 13:07,p_03,1,4.95
A_14335,2011-09-04 13:07,p_04,1,8.5
A_14335,2011-09-04 13:07,p_06,1,4.25
A_14335,2011-09-04 13:07,p_08,2,17
A_13813,2011-09-11 13:38,p_01,2,15.9
A_13813,2011-09-30 9:22,p_03,2,36
A_13816,2011-10-06 14:37,p_03,1,39.95
A_13812,2011-10-06 14:37,p_05,1,18
A_13812,2011-10-06 14:37,p_07,2,15.9
A_13812,2011-10-28 14:27,p_02,2,17
A_13812,2011-10-28 14:27,p_04,1,18
A_13813,2011-10-31 10:38,p_01,2,19.9
A_13810,2011-11-11 8:33,p_01,2,15.9
A_13810,2011-11-11 8:33,p_05,1,18
A_13816,2011-11-16 8:38,p_01,2,15.9
A_13816,2011-11-16 8:38,p_03,1,18
A_14335,2011-11-23 13:41,p_03,1,2.95
A_14335,2011-11-23 13:41,p_06,1,2.95
A_14335,2011-11-23 13:41,p_09,1,3.75
