Date,Nickname,Movie_score,Title,Content,Is_spoiler,Helpful_vote_count,Not_helpful_vote_count,Total_vote_count
2020-2-13,pegah_92,10,"Wow, just WOW!","NEVER seen a movie like this. Wow what a masterpiece! Twist after twist, it had it ALL!!!",X,0,0,0
2020-2-13,bock_g,10,That's entertainment.,"Jumping on the post-Oscar win bandwagon, I went to see this film today. Having heard the near unanimous praise from peers and other reviews, I had high expectations for this film. It was also the first Korean film I watched. The movie starts, and I'm literally glued to my seat-it was very entertaining. The camera movement, the way the characters speaks, the overall pacing, the black comedy tone-everything was just so freshly packaged, I wanted a refill the moment the movie was over. A predominant theme of this movie is the class structure-from a non-Korean's point of view it was quite clear and somewhat tragic to see. If I had one problem with this film, I think some of the class struggle content was probably too overt (especially in the dialogue) and could have been handled more subtly. Despite that, it is definitely a film that deserved all the accolades it received. It is first movie that I watched in theaters where I instantly wanted to rewatch it. Now that folks, is entertainment.",X,0,0,0
2020-2-13,jp_91,10,Masterpiece.,"Gisaengchung is an amazing film with a wonderful and strong script, amazing acting, beautiful cinematography and a great production design. The film is a comedy, a thriller and a strong drama. Parasites in two worlds, poor ones and rich ones. Rich being parasites to poor people, exploiting them and poor people getting better things from the rich using some tricks. This movie is mainly about poor people being parasites, with a strong direction. A wonderful film, a masterpiece!",X,0,1,1
2020-2-13,roofbreaker,10,Deserves all the awards and more...,This movies is so beautifuly woven together. It's a good look at how humans seperate because of that piece of green paper called money. It shows the sadness and weight of what the poor deal with. Their lives not unimportant but treated as unimportant. It shows that education although a tool for wealth does not teach common sense or protect anyone from their safety called money. Just as the poor are not protected in their strong hunger for it. It's a mad cycle. Eye opener to look within your heart and find out the agenda of how valuable life is over money. Make sure you watch for all the beautifully done allegory's in the film.,O,1,2,3
2020-2-13,elap-94242,6,Not what i expected from an Oscar winner.,"First half of the movie was really boring. Second half was kinda interesting though. An the ending was really really bad for my opinion. The other thing that was annoying is that the actors over played at times and the worse of all was the actor who played the boss lady . She was over playing and it was really annoying. I don't know if those were the directions but I did not like it at all. In conclusion not an Oscar worth movie, not a masterpiece...",X,2,2,4
2020-2-13,jleedrummond,1,Two Hours of my Life I will Never Get Back,"I must have watched a different movie called Parasite"" than the one that won the Oscar. The Parasite that I watched was boring, meaningless, senselessly violent and did not evoke one emotion other than disgust and bewilderment that this movie won Best Picture. There wasn't one character that was even the slightest bit relatable and the plot was absolutely over the top unrealistic. It was a grand gesture for the Academy to award this subtitled, foreign movie, however, receiving an underdog award does not make the movie good. People are easily swayed and like to be part of the ""group"" who like a movie. Like ""drinking the Koolaid"".",X,3,14,17
2020-2-13,WTinCA,1,"Totally, completely boring and pointless","I'm a fan of a lot of international movies which break out of the Hollywood mold, but not this one. Could barely sit through it, and should have walked out early. It never got better. Some people seem to like it, but there are a lot of overly inflated reviews here. Maybe I'm rating too low, but I could not think of anything about it to rave about. OK...maybe the acting wasn't too bad, but the plot and script overall are a 1.",X,3,9,12
2020-2-13,attobuoy,1,2 hours and 12 minutes I will never get back,"Well, that was a thing. It reminded me a little of the humor of ""Being John Malkovich"", but without the wit, or wits. And with big doses of ""Eeew!"" But hey,on the bright side it makes me want to see ""Being John Malkovich"" again.

I should have been forewarned because the writer/director Bong Joon Ho also wrote and directed the execrable ""Snowpiercer"".",X,4,8,12
2020-2-13,diegohmilane,,Good that can be better,I'd like the first intention of the film but doesn't like the way it's developed,X,0,0,0
2020-2-13,alifim,6,"An ok movie, but...","An OK movie, but it's light years away from even being a nominee for Oscar not to mention wining it.",X,3,4,7
2020-2-13,irablonder,2,Huh?,"At a loss to figure out why this film 1) won best picture of the year US Oscars 2) Cannes Palme d'Or. Also at a loss to understand why film categorized as a comedy.

There are moments of humor, but they are few and far between. The violence is also unwelcome.

On the Oscars award: ""Joker"" is a much stronger candidate. At least the audience has been advised of the violence in advance.

Save yourself time, and possibly money. Skip it",X,4,7,11
2020-2-13,u-20479,8,Corona or corona,"I couldn't help but be drawn to this movie, after the opening scenes depicting the never ending struggle to find a good wifi signal. The film shone it's true colors though and expressed what to expect, when a man nonchalantly sprayed the streets with disinfectant, as the family watched on. Followed closely by the family sitting around enjoying a beer. I think someone has caught the Corona virius. The family although quite quirky manage to surgically insert themselves into the lives of another. But they're not the only ones. This dark comedy left little to be desired with a well rounded cast. The ending was straight out nightmare. With a touch of the comidic and a flourish of hope.

Favorite scene: cigarette on the toilet while the house goes under.

Ps. Just be sure to skip the naughty bit at 1hr 28 for the kids.",O,0,4,4
