month,day,time,job
12,11,13,5
11,11,18,6
8,19,5,3
2,31,21,8
11,17,9,4
5,30,13,6
5,21,21,7
8,28,10,5
12,26,9,5
10,3,12,4
4,29,20,7
4,14,5,3
3,14,21,6
11,5,20,6
5,2,11,3
1,4,2,1
6,20,11,5
6,19,15,6
3,21,0,2
9,10,3,2
4,5,11,3
8,18,16,6
8,21,5,3
10,3,6,2
10,15,20,7
9,10,12,4
7,7,17,5
4,13,5,3
9,19,8,4
2,13,1,1
12,20,16,6
6,22,4,3
8,23,23,8
9,21,7,4
11,11,6,3
8,30,10,5
9,16,12,5
6,17,4,3
6,4,20,6
1,22,5,3
8,18,5,3
12,5,24,7
5,26,5,4
6,24,13,5
8,13,20,6
3,19,9,4
2,21,5,3
8,27,15,6
4,13,19,6
8,6,13,4
2,5,17,5
7,22,20,7
2,14,10,4
4,14,1,2
3,25,23,8
11,27,16,7
7,1,15,4
11,13,2,2
7,9,0,1
9,28,7,4
1,6,13,4
4,8,22,6
12,15,23,7
7,4,16,5
1,26,6,3
6,9,24,7
3,24,15,6
8,30,13,6
11,13,8,4
5,9,16,5
12,20,16,6
8,25,0,3
6,14,22,7
5,12,12,4
1,19,3,2
8,25,2,3
1,6,11,3
3,15,16,5
6,27,15,6
5,7,0,1
8,5,22,6
2,10,13,4
8,10,4,2
4,9,23,6
4,18,8,4
8,24,22,8
12,25,22,8
7,26,20,7
5,22,1,2
4,24,16,6
1,27,3,3
7,2,4,2
4,29,5,4
6,3,3,1
11,5,2,2
9,8,3,2
1,25,1,2
7,9,20,6
5,14,15,5
10,13,20,6
12,14,0,2
12,20,16,6
8,6,4,2
6,27,10,5
1,25,14,5
2,16,22,7
10,22,17,6
10,21,15,6
4,20,8,4
9,15,11,4
7,27,20,7
1,21,23,7
11,1,0,1
5,18,12,5
9,20,4,3
1,13,20,6
2,19,20,6
9,21,20,7
6,17,2,2
10,10,4,2
3,28,17,6
2,31,13,6
5,21,13,5
7,23,7,4
7,25,11,5
2,15,7,3
3,12,17,5
3,10,15,5
3,11,14,4
12,27,11,5
5,24,17,6
5,1,22,6
6,21,2,3
4,1,10,3
8,17,6,3
12,30,6,4
1,21,6,3
6,26,23,8
5,17,18,6
12,19,5,3
6,13,22,7
9,6,11,4
5,7,6,2
11,10,24,7
10,4,5,2
7,4,5,2
8,17,10,4
6,13,0,2
2,29,14,6
6,1,14,4
7,7,4,2
3,29,20,7
11,21,9,4
11,30,19,8
2,30,14,6
10,16,24,8
7,1,8,3
1,28,1,2
7,4,22,6
6,17,17,6
1,29,21,7
6,13,1,2
5,20,14,5
9,23,11,5
12,9,19,6
12,1,20,6
10,31,0,3
5,2,16,4
5,14,8,3
2,16,21,6
3,21,0,2
7,6,11,4
1,25,20,7
9,1,11,3
8,1,5,2
4,3,3,1
10,30,12,6
7,24,24,8
11,27,21,8
7,7,2,2
2,31,21,8
1,13,21,6
4,16,9,4
3,10,17,5
10,24,9,5
10,24,11,5
11,17,15,6
3,9,21,6
3,31,17,7
9,22,4,3
6,2,12,4
6,14,22,7
5,18,8,4
8,28,0,3
12,25,12,6
8,31,19,7
1,2,0,0
9,17,3,3
7,2,4,2
2,17,12,4
7,27,23,8
2,2,7,2
6,29,22,8
2,17,21,6
6,27,13,6
5,20,18,6
1,9,22,6
8,31,14,6
10,21,1,3
4,13,21,6
11,30,9,5
4,30,15,6
7,17,5,3
7,20,24,8
10,3,7,3
10,27,12,6
4,1,3,1
7,12,5,3
12,22,1,3
7,29,0,3
11,9,24,7
10,22,10,5
7,19,8,4
6,13,5,3
9,7,24,7
11,7,1,2
9,17,21,7
9,20,6,4
2,20,20,6
8,31,2,4
12,12,15,5
4,18,6,3
8,22,18,7
7,9,22,6
6,16,10,4
5,19,0,2
5,21,16,6
11,26,7,4
1,16,2,2
11,7,7,3
7,2,15,4
1,17,1,2
4,17,6,3
8,7,16,5
1,21,13,5
12,12,21,7
2,15,12,4
9,29,7,5
2,28,23,8
5,7,15,5
7,15,17,6
9,13,21,7
4,21,19,6
9,13,8,4
5,11,12,4
1,14,20,6
2,10,0,1
7,14,5,3
12,24,14,6
9,13,9,4
4,30,14,6
2,8,8,3
6,10,7,3
1,12,13,4
1,10,14,4
8,29,22,8
9,21,9,4
12,7,23,7
3,26,22,8
7,8,5,2
9,29,13,6
3,6,5,2
9,7,4,2
4,15,24,7
3,17,22,7
5,8,10,3
6,13,9,4
12,8,7,3
1,27,7,4
9,18,8,4
8,30,12,6
6,5,24,7
1,5,11,3
5,25,16,6
9,9,15,5
3,3,19,5
5,31,3,4
12,19,13,5
5,15,2,2
12,17,1,2
2,21,20,7
3,19,4,3
6,31,0,3
12,5,20,6
7,26,7,4
2,19,13,5
4,10,24,7
3,21,8,4
10,10,17,5
6,12,22,7
1,24,1,2
9,2,12,4
8,29,7,5
2,5,13,4
11,25,1,3
7,29,21,8
1,17,7,3
9,9,2,2
12,16,7,4
9,17,5,3
3,9,23,6
9,1,13,4
9,27,16,7
4,26,16,6
3,2,0,0
2,4,8,2
9,21,15,6
12,22,3,3
9,25,11,5
11,31,15,7
3,9,2,2
10,19,13,5
7,27,12,5
7,1,15,4
9,16,23,7
12,31,15,7
8,2,14,4
4,20,5,3
5,13,13,5
10,30,11,6
5,28,21,8
10,26,3,3
10,5,23,6
9,23,5,4
1,4,15,4
5,27,14,6
4,20,7,4
11,1,7,2
1,29,23,8
6,7,5,2
8,30,1,3
3,23,1,2
3,31,20,7
10,29,15,6
12,6,3,2
7,31,6,4
4,19,11,4
10,16,8,4
6,17,1,2
4,26,15,6
4,1,13,4
12,27,4,4
1,8,14,4
10,9,21,6
5,4,11,3
8,7,14,4
11,26,17,7
12,15,1,2
11,26,5,4
1,6,8,2
4,29,2,3
11,21,21,7
11,7,16,5
4,18,16,6
7,5,14,4
9,1,18,5
3,2,4,1
2,2,6,2
5,1,5,2
8,19,12,5
1,5,3,1
8,23,10,5
8,16,2,2
11,1,17,5
6,15,11,4
12,22,15,6
8,4,14,4
7,8,12,4
3,22,15,6
5,16,23,7
3,9,6,2
4,28,0,3
11,27,5,4
9,31,18,7
2,27,11,5
1,5,10,3
8,18,24,8
9,11,0,2
6,3,24,6
7,25,6,4
5,30,9,5
7,27,22,8
2,19,1,2
2,10,22,6
1,23,1,2
10,19,6,4
5,19,22,7
3,24,21,7
9,20,6,4
11,17,7,4
7,1,16,4
7,30,5,4
4,17,15,5
8,8,14,5
12,1,6,2
8,5,23,6
7,7,4,2
11,2,17,5
8,1,23,6
3,21,24,8
4,10,4,2
6,29,10,5
9,27,0,3
10,3,16,5
3,12,12,4
11,8,2,2
8,20,3,3
3,16,5,3
7,27,21,8
5,16,23,7
2,10,6,2
2,2,16,4
12,8,17,5
3,17,1,2
7,18,24,8
4,11,20,6
10,6,12,4
6,29,13,6
3,17,1,2
8,9,10,4
3,20,4,3
6,31,3,4
1,25,6,3
3,13,5,3
5,3,10,3
6,14,24,7
3,23,10,4
1,31,11,5
9,20,7,4
8,15,11,4
2,1,4,1
1,6,20,5
1,12,13,4
3,24,13,5
10,24,23,8
7,26,9,5
4,29,9,5
7,16,22,7
4,22,23,8
2,26,8,4
1,18,0,1
10,4,22,6
4,8,10,3
2,31,7,4
4,4,18,5
11,11,18,6
9,31,4,4
1,20,6,3
4,27,4,3
9,16,4,3
7,12,15,5
10,24,10,5
7,15,17,6
5,30,22,8
9,18,7,4
2,11,24,7
6,30,20,8
12,9,3,2
10,21,16,6
12,15,17,6
10,4,18,5
2,19,11,4
9,8,20,6
10,10,1,2
5,15,10,4
1,16,2,2
3,17,2,2
4,17,4,3
4,17,7,3
7,13,3,2
3,29,12,5
8,6,4,2
11,4,21,6
4,23,7,4
2,21,14,5
2,8,9,3
11,30,12,6
10,9,13,4
4,17,23,7
12,16,15,6
12,10,22,7
3,21,18,6
5,30,20,8
1,7,24,6
10,10,11,4
9,20,6,4
5,16,13,5
10,6,14,4
4,18,10,4
9,12,6,3
7,24,1,3
8,23,6,4
8,18,4,3
8,18,7,4
2,8,21,6
10,26,17,7
8,3,17,5
1,30,22,7
5,8,22,6
9,16,8,4
11,9,24,7
7,30,8,5
8,6,7,3
5,29,5,4
6,3,2,1
11,27,19,7
1,30,10,5
6,27,15,6
8,19,7,4
12,7,2,2
10,11,7,3
3,1,5,2
10,4,15,5
1,29,19,7
12,21,9,4
5,17,4,3
3,6,2,1
4,11,20,6
10,31,4,4
8,19,6,4
5,16,6,3
1,8,13,4
2,2,5,2
4,5,0,1
6,29,13,6
2,14,1,2
2,31,10,5
10,23,18,7
6,9,23,7
1,21,17,6
10,30,17,7
3,28,16,6
6,26,2,3
3,12,7,3
10,1,6,2
1,3,1,0
7,11,9,4
9,4,5,2
10,19,8,4
3,28,7,4
9,20,3,3
3,8,1,1
6,21,22,7
2,27,9,4
5,30,16,7
1,28,18,6
7,16,19,6
3,7,15,4
8,23,6,4
3,15,17,5
4,23,10,5
7,30,5,4
9,1,2,1
12,8,13,4
2,27,8,4
8,21,4,3
4,10,23,7
3,14,7,3
10,17,9,4
12,20,5,3
6,15,9,4
1,30,2,3
2,16,9,4
7,26,20,7
1,22,9,4
9,11,19,6
4,4,0,1
2,25,19,7
7,30,5,4
9,14,16,5
3,21,0,2
2,18,0,2
6,17,17,6
12,27,18,7
12,1,15,4
2,7,7,2
8,10,10,4
2,17,24,7
2,12,23,7
2,7,24,6
9,16,24,8
1,3,5,1
5,23,11,5
3,20,3,3
6,7,16,5
11,31,22,8
7,13,1,2
5,28,4,4
9,17,18,6
3,31,1,3
10,3,16,5
8,29,24,9
3,9,15,5
5,3,0,1
9,14,15,5
3,19,11,4
2,7,14,4
2,25,0,2
9,28,3,4
4,8,13,4
5,19,18,6
2,16,15,5
6,27,7,4
5,25,5,4
7,6,15,5
9,11,8,3
3,8,7,3
9,3,20,6
1,11,9,3
6,13,15,5
5,2,6,2
12,1,1,1
3,25,21,7
11,25,6,4
4,17,21,7
7,24,22,8
7,4,18,5
3,29,13,6
4,11,9,3
9,14,6,3
8,25,16,6
6,19,13,5
10,31,2,4
6,8,14,4
12,22,22,8
2,26,5,3
2,10,0,1
4,17,5,3
2,3,9,3
7,20,15,6
11,22,11,5
6,28,16,6
3,30,19,7
6,5,0,1
9,10,4,2
10,5,13,4
5,7,0,1
10,26,18,7
9,26,22,8
12,4,13,4
4,15,4,3
5,13,2,2
10,22,20,7
8,31,14,6
5,27,21,8
6,16,5,3
6,22,9,4
4,12,24,7
7,1,22,6
4,6,6,2
12,8,22,7
1,26,4,3
5,19,19,6
2,21,1,2
4,29,8,5
12,6,4,2
7,23,20,7
5,12,3,2
7,22,4,3
9,3,21,6
3,18,24,7
3,24,24,8
5,7,21,6
11,2,17,5
8,2,11,3
3,27,2,3
11,5,2,2
4,25,1,3
8,12,23,7
9,1,2,1
11,21,11,5
10,13,14,5
2,26,17,6
9,12,2,2
10,3,12,4
4,16,15,5
3,4,10,3
8,1,5,2
9,17,23,7
10,29,6,4
8,13,21,7
1,31,5,4
9,24,1,3
5,14,15,5
2,15,21,6
12,8,24,7
1,2,20,5
7,29,8,5
1,7,13,4
8,8,24,7
10,1,18,5
1,11,0,1
5,26,20,7
7,25,8,4
2,15,1,2
10,21,12,5
3,24,7,4
6,4,21,6
12,27,5,4
11,14,20,6
10,9,9,4
9,25,3,3
9,21,11,5
3,21,12,5
7,8,20,6
6,5,20,6
6,25,2,3
2,6,18,5
12,28,17,7
8,3,20,6
2,28,5,4
3,30,7,4
4,14,5,3
7,10,15,5
7,15,0,2
9,10,19,6
10,11,8,3
6,26,7,4
10,28,19,7
2,20,0,2
6,10,0,1
9,1,0,1
10,9,21,6
4,14,22,7
3,5,20,5
11,21,2,3
6,15,4,3
5,12,4,2
7,29,12,6
2,29,1,3
8,11,6,3
1,20,7,3
4,16,1,2
10,15,9,4
11,24,12,5
4,10,16,5
8,10,24,7
9,25,16,6
7,21,12,5
3,16,12,4
10,21,9,4
7,24,0,2
3,19,1,2
8,27,0,3
5,22,20,7
10,23,8,4
1,12,21,6
10,15,17,6
12,15,8,4
1,22,7,3
2,18,9,4
5,30,22,8
3,9,13,4
3,4,6,2
3,14,12,4
9,13,1,2
11,3,1,1
4,23,9,4
4,19,23,7
8,17,20,7
2,30,6,4
10,11,6,3
12,5,5,2
5,12,18,6
2,12,21,6
8,19,10,4
6,6,24,7
10,3,7,3
7,17,12,5
4,20,10,4
7,28,23,8
1,26,8,4
10,31,7,5
3,23,5,3
12,28,23,8
10,19,16,6
5,1,8,2
10,1,1,1
12,29,17,7
10,15,7,4
11,25,6,4
7,8,12,4
3,2,14,4
8,1,5,2
2,16,4,2
11,15,24,8
4,23,14,5
6,31,12,6
2,9,11,3
12,27,0,3
10,23,0,2
5,28,21,8
10,2,6,2
6,24,2,3
2,24,5,3
1,20,4,2
9,27,14,6
8,19,2,3
3,18,24,7
7,22,6,4
11,29,10,5
1,4,6,2
7,16,18,6
8,14,12,5
8,14,13,5
7,29,22,8
2,1,14,4
6,10,15,5
1,17,5,2
1,2,5,1
10,16,16,6
6,7,10,3
10,6,2,2
4,18,9,4
