Qtr,Sales,Ads_Spend
1,222.0 ,105
2,202.0 ,139.8
3,250.0 ,153.2
4,166.0 ,65
5,169.5 ,65
6,174.9 ,48
7,185.0 ,92.6
8,228.2 ,130.9
9,249.3 ,144.9
10,242.9 ,138.6
11,210.1 ,83.4
12,197.4 ,48.6
13,179.8 ,61.3
14,183.0 ,80.9
15,220.3 ,123.9
16,229.3 ,141.1
17,224.5 ,101.8
18,215.3 ,70
19,183.6 ,41.3
20,175.0 ,62.6
21,203.4 ,137.9
22,221.5 ,147.4
23,235.3 ,133.8
24,211.6 ,73.8
25,177.9 ,47.8
26,173.8 ,60
27,167.7 ,88.5
28,222.6 ,144.9
29,236.1 ,140.7
30,230.4 ,109
31,188.1 ,60.8
32,184.0 ,68.9
33,195.7 ,76.6
34,218.5 ,112.7
35,224.7 ,157.9
36,237.0 ,120.9
37,210.0 ,90.1
38,168.2 ,33.7
39,159.7 ,45.6
40,184.2 ,102
