qtr,Date,Sales
1,2010-03-31,105.0 
2,2010-06-30,148.6 
3,2010-09-30,206.5 
4,2010-12-31,265.2 
5,2011-03-31,122.7 
6,2011-06-30,172.7 
7,2011-09-30,240.8 
8,2011-12-31,282.7 
9,2012-03-31,125.3 
10,2012-06-30,185.4 
11,2012-09-30,225.4 
12,2012-12-31,275.3 
13,2013-03-31,132.4 
14,2013-06-30,160.9 
15,2013-09-30,212.8 
16,2013-12-31,274.4 
17,2014-03-31,119.9 
18,2014-06-30,183.1 
19,2014-09-30,220.9 
20,2014-12-31,265.9 
21,2015-03-31,149.7 
22,2015-06-30,182.7 
23,2015-09-30,235.7 
24,2015-12-31,270.8 
25,2016-03-31,129.6 
26,2016-06-30,186.1 
27,2016-09-30,223.5 
28,2016-12-31,288.8 
29,2017-03-31,119.0 
30,2017-06-30,172.1 
31,2017-09-30,219.0 
32,2017-12-31,293.5 
33,2018-03-31,129.9 
34,2018-06-30,169.4 
35,2018-09-30,238.2 
36,2018-12-31,267.8 
37,2019-03-31,137.1 
38,2019-06-30,165.4 
39,2019-09-30,221.7 
40,2019-12-31,287.0 
