Qtr,Sales,Ads_Spend
1,316.1 ,105.0 
2,396.5 ,139.8 
3,425.6 ,153.2 
4,347.1 ,127.2 
5,420.6 ,64.5 
6,451.6 ,48.0 
7,456.0 ,92.6 
8,472.8 ,130.9 
9,514.3 ,144.9 
10,570.7 ,138.6 
11,625.0 ,83.4 
12,646.5 ,48.6 
13,636.6 ,61.3 
14,621.7 ,80.9 
15,617.0 ,123.9 
16,639.6 ,141.1 
17,679.1 ,101.8 
18,702.7 ,70.0 
19,701.9 ,41.3 
20,676.5 ,62.6 
21,655.5 ,137.9 
22,675.5 ,147.4 
23,715.5 ,133.8 
24,754.1 ,73.8 
25,757.1 ,47.8 
26,733.4 ,60.0 
27,707.0 ,88.5 
28,697.3 ,144.9 
29,723.7 ,140.7 
30,759.6 ,109.0 
31,780.8 ,60.8 
32,769.0 ,68.9 
33,749.6 ,76.6 
34,732.8 ,112.7 
35,738.1 ,157.9 
36,773.4 ,120.9 
37,799.4 ,90.1 
38,804.5 ,33.7 
39,771.0 ,45.6 
40,732.4 ,102.0 
