Qtr,Sales,Ads_Spend
1,215.0 ,105
2,195.0 ,139.8
3,255.0 ,153.2
4,157.0 ,65
5,179.5 ,65
6,176.9 ,48
7,180.0 ,92.6
8,220.2 ,130.9
9,245.3 ,144.9
10,245.9 ,138.6
11,220.1 ,83.4
12,191.4 ,48.6
13,171.8 ,61.3
14,183.0 ,80.9
15,214.3 ,123.9
16,225.3 ,141.1
17,215.5 ,101.8
18,205.3 ,70
19,180.6 ,41.3
20,170.0 ,62.6
21,213.4 ,137.9
22,231.5 ,147.4
23,236.3 ,133.8
24,218.6 ,73.8
25,186.9 ,47.8
26,165.8 ,60
27,175.7 ,88.5
28,217.6 ,144.9
29,237.1 ,140.7
30,224.4 ,109
31,188.1 ,60.8
32,186.0 ,68.9
33,194.7 ,76.6
34,208.5 ,112.7
35,233.7 ,157.9
36,233.0 ,120.9
37,206.0 ,90.1
38,177.2 ,33.7
39,154.7 ,45.6
40,382.0 ,210.5
