qtr,Date,Sales
1,2010-03-31,104.9671415
2,2010-06-30,148.617357
3,2010-09-30,206.4768854
4,2010-12-31,265.2302986
5,2011-03-31,107.6584663
6,2011-06-30,157.6586304
7,2011-09-30,225.7921282
8,2011-12-31,267.6743473
9,2012-03-31,110.3052561
10,2012-06-30,170.4256004
11,2012-09-30,210.3658231
12,2012-12-31,260.3427025
13,2013-03-31,117.4196227
14,2013-06-30,145.8671976
15,2013-09-30,197.7508217
16,2013-12-31,259.3771247
17,2014-03-31,99.8716888
18,2014-06-30,163.1424733
19,2014-09-30,200.9197592
20,2014-12-31,245.876963
21,2015-03-31,129.6564877
22,2015-06-30,162.742237
23,2015-09-30,215.675282
24,2015-12-31,250.7525181
25,2016-03-31,109.5561728
26,2016-06-30,166.1092259
27,2016-09-30,203.4900642
28,2016-12-31,268.7569802
29,2017-03-31,103.9936131
30,2017-06-30,157.0830625
31,2017-09-30,203.9829339
32,2017-12-31,278.5227818
33,2018-03-31,114.8650278
34,2018-06-30,154.4228907
35,2018-09-30,223.2254491
36,2018-12-31,252.7915635
37,2019-03-31,117.088636
38,2019-06-30,145.4032988
39,2019-09-30,201.7181395
40,2019-12-31,266.9686124
