sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,¸¸Á·µµ
1,2,3,4,5,4,4,4,3,4,4,5,9,10,9,10
2,5,8,8,4,4,5,5,8,9,8,8,5,9,4,6
3,2,9,10,1,4,3,3,3,3,6,7,8,2,8,9
4,2,3,4,8,6,5,4,7,8,5,6,9,8,8,10
5,3,3,4,3,4,4,1,5,5,7,8,9,7,8,10
6,4,4,4,3,6,6,6,7,7,3,3,9,10,10,11
7,2,3,4,10,8,8,3,6,6,3,3,4,10,4,5
8,2,8,7,2,3,4,2,3,3,3,2,4,3,5,6
9,3,9,10,8,3,2,3,2,2,4,4,4,2,5,6
10,2,2,3,2,6,5,7,7,8,2,3,5,7,6,7
11,1,9,8,9,5,5,0,5,4,9,10,8,8,8,9
12,1,6,7,10,5,4,5,6,6,2,3,9,7,8,10
13,5,6,7,10,8,9,8,8,7,9,10,5,4,6,7
14,4,7,6,2,6,6,5,3,3,9,9,8,1,8,9
15,2,9,8,5,3,4,3,5,6,3,2,8,8,9,10
16,2,9,9,0,5,6,6,7,6,3,3,7,4,8,9
17,1,6,6,10,6,5,10,7,8,3,4,5,1,5,6
18,1,3,4,3,2,1,5,4,3,2,3,8,10,8,3
19,5,3,3,10,8,8,8,8,7,8,7,8,5,8,9
20,1,2,3,7,6,6,6,6,6,7,6,6,3,5,7
21,3,7,6,8,3,4,2,9,10,4,4,6,6,7,8
22,1,7,7,10,5,6,6,2,1,2,3,5,4,4,6
23,1,8,9,0,8,9,10,9,9,9,8,5,1,6,7
24,2,3,3,3,8,8,8,2,3,7,6,9,2,10,11
25,2,2,2,4,2,1,4,5,6,8,8,6,3,5,2
26,1,4,4,8,8,8,9,6,7,8,9,9,4,9,10
27,2,2,2,8,2,3,4,9,9,3,2,4,2,5,6
28,1,9,10,4,4,4,0,3,4,8,7,7,8,6,8
29,5,2,3,8,9,9,8,3,4,8,9,5,4,6,7
30,4,6,5,5,2,3,3,2,2,3,3,9,8,10,11
31,2,7,7,6,8,8,8,7,8,7,7,8,3,9,10
32,1,4,4,6,8,7,8,6,5,3,4,6,0,6,7
33,1,9,9,9,2,1,10,5,5,7,6,7,2,6,2
34,2,8,7,2,6,5,9,7,7,2,1,7,7,8,9
35,5,8,8,1,7,6,5,9,10,3,4,7,3,8,9
36,1,3,3,4,6,6,5,8,7,4,4,6,6,5,7
37,4,6,7,8,4,5,5,5,6,6,7,9,5,10,11
38,2,4,5,4,7,8,6,7,6,2,3,8,9,7,9
39,1,6,5,2,4,3,3,7,7,4,5,4,3,4,5
40,3,3,3,5,7,6,10,5,6,3,2,4,7,5,6
41,3,4,5,8,3,3,9,4,4,4,3,7,4,8,9
42,5,5,4,4,8,9,5,5,5,4,4,7,8,6,8
43,3,4,3,6,3,3,3,7,8,5,5,8,2,7,9
44,5,8,8,2,9,8,4,4,4,8,8,9,0,8,10
45,4,3,3,4,8,8,7,2,1,3,2,8,10,9,10
46,1,7,6,9,8,7,0,6,6,5,4,6,5,7,8
47,4,7,8,5,3,4,4,8,7,6,6,9,8,9,10
48,1,7,7,2,5,4,3,3,4,9,10,6,9,7,8
