sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,satisfaction
1,1,3,2,3,7,7,8,5,4,4,4,9,10,10,6
2,1,4,4,5,8,7,6,7,6,2,3,9,10,9,9
3,3,2,1,1,5,4,5,8,9,2,1,9,10,8,6
4,2,4,4,4,3,2,3,3,2,6,5,9,10,10,9
5,4,6,5,5,2,3,3,2,2,3,3,9,10,8,7
6,4,4,3,3,2,3,2,8,9,6,5,9,10,9,6
7,1,7,7,8,2,1,1,3,3,2,1,9,10,10,4
8,3,5,4,5,8,9,10,5,6,8,7,9,9,10,8
9,2,7,6,6,9,10,10,2,2,8,8,9,9,10,10
10,4,5,5,6,8,9,9,6,5,5,5,9,9,10,8
11,1,7,8,6,9,9,8,8,8,5,6,9,10,9,9
12,4,5,5,6,8,9,8,3,2,9,9,9,9,8,8
13,5,4,3,3,8,9,8,2,1,3,2,8,9,7,5
14,3,3,3,4,7,8,7,7,7,4,4,8,9,10,8
15,1,8,8,9,7,7,7,8,9,2,3,8,9,7,8
16,4,7,6,7,7,8,7,6,5,7,8,9,10,6,10
17,4,3,3,3,8,8,7,2,1,3,2,8,9,10,6
18,5,5,5,6,7,7,6,4,5,7,8,9,10,10,7
19,4,4,4,4,6,6,6,7,7,3,3,9,10,10,7
20,3,6,6,7,5,6,6,9,9,8,8,8,9,10,10
21,2,8,7,7,6,7,6,3,4,3,2,9,10,10,9
22,3,5,6,4,5,6,5,7,6,3,2,8,9,10,8
23,1,8,8,9,5,4,5,6,6,4,4,9,10,10,9
24,5,2,2,2,6,5,5,2,1,9,9,9,10,10,8
25,4,9,8,10,5,5,4,4,4,7,6,8,9,10,8
26,3,3,2,2,6,5,4,7,7,5,5,8,9,10,8
27,2,3,4,4,4,4,4,3,4,4,5,9,9,10,6
28,5,8,7,7,2,3,4,6,7,8,8,8,9,10,6
29,4,2,1,3,4,3,3,6,5,5,6,9,10,10,5
30,2,9,8,10,3,4,3,5,6,3,2,8,9,10,8
31,5,7,6,6,2,1,2,2,2,4,3,8,9,10,7
32,1,4,3,3,2,1,2,2,3,7,6,9,10,10,5
33,2,7,8,8,2,3,2,8,8,5,6,9,9,10,7
34,2,2,2,1,2,1,2,4,3,5,6,8,9,10,5
35,4,3,4,3,9,10,9,4,5,2,1,9,8,9,7
36,4,4,3,3,8,9,10,4,4,3,4,8,9,9,9
37,3,6,7,7,9,10,10,7,8,2,3,8,8,9,9
38,5,5,4,6,8,8,9,2,1,8,7,8,8,9,8
39,1,4,4,5,8,8,9,6,7,8,9,9,9,9,10
40,2,3,3,4,8,8,8,2,3,7,6,9,10,9,7
41,5,4,3,4,7,7,8,7,8,8,7,8,9,9,8
42,2,7,7,7,8,8,8,7,8,7,7,8,9,10,10
43,3,5,6,5,8,7,8,4,4,6,6,9,9,9,9
44,2,6,7,6,6,7,8,7,8,8,8,9,10,8,10
45,1,6,5,7,7,7,7,6,6,9,8,9,8,7,9
46,4,2,2,2,9,8,7,6,7,3,2,9,9,10,8
47,4,7,6,6,6,7,7,4,3,2,3,9,9,7,7
48,3,6,6,5,7,6,6,3,2,6,6,8,8,6,9
49,1,9,8,9,7,6,6,2,2,5,5,9,9,9,8
50,2,9,9,8,5,6,6,7,6,3,3,7,8,9,7
51,4,9,9,10,5,5,6,3,3,2,1,8,8,9,7
52,2,6,6,5,6,6,6,3,2,9,9,9,8,9,7
53,3,9,9,10,7,7,6,4,5,5,5,9,10,9,8
54,5,8,8,8,7,6,5,9,10,3,4,7,8,9,7
55,3,8,7,9,5,4,5,7,7,7,8,9,10,9,7
56,1,7,7,6,3,4,5,3,3,6,6,7,8,9,8
57,4,6,7,7,4,5,5,5,6,6,7,9,10,9,7
58,4,2,3,1,5,6,5,5,4,6,6,9,9,9,8
59,3,4,3,5,3,4,5,4,5,2,2,7,8,9,6
60,5,5,4,4,5,4,5,9,10,5,6,9,10,9,7
61,3,7,8,7,6,5,5,6,7,2,2,9,10,9,9
62,2,8,9,9,4,3,4,3,2,2,3,9,10,9,6
63,2,6,6,5,6,5,4,8,8,6,7,9,10,9,8
64,5,8,7,8,2,3,4,6,7,3,3,9,9,9,6
