sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,satisfaction
1,1,7,2,5,7,3,8,4,4,4,4,8,10,10,7
2,1,4,4,6,8,3,6,3,6,2,3,8,10,9,7
3,3,2,1,10,5,10,5,3,9,2,1,5,10,8,6
4,2,4,4,2,3,9,3,4,2,6,5,2,10,10,7
5,4,6,5,4,2,10,3,7,2,3,3,2,10,8,7
6,4,4,3,9,2,4,2,5,9,6,5,1,10,9,7
7,1,7,7,7,2,5,1,8,3,2,1,3,10,10,7
8,3,5,4,3,8,5,10,4,6,8,7,8,9,10,9
9,2,7,6,4,9,7,10,8,2,8,8,10,9,10,9
10,4,5,5,7,8,9,9,6,5,5,5,9,9,10,8
11,1,7,8,9,9,6,8,7,8,5,6,10,10,9,10
12,4,5,5,6,8,1,8,6,2,9,9,7,9,8,9
13,5,4,3,8,8,2,8,3,1,3,2,8,9,7,6
14,3,3,3,5,7,4,7,3,7,4,4,8,9,10,7
15,1,8,8,2,7,2,7,8,9,2,3,8,9,7,9
16,4,7,6,7,7,2,7,6,5,7,8,7,10,6,9
17,4,3,3,8,8,10,7,2,1,3,2,9,9,10,6
18,5,5,5,1,7,9,6,4,5,7,8,7,10,10,9
19,4,4,4,2,6,9,6,4,7,3,3,7,10,10,7
20,3,6,6,3,5,5,6,6,9,8,8,5,9,10,10
21,2,8,7,8,6,9,6,9,4,3,2,6,10,10,8
22,3,5,6,5,5,8,5,4,6,3,2,5,9,10,7
23,1,8,8,7,5,1,5,9,6,4,4,6,10,10,9
24,5,2,2,5,6,2,5,1,1,9,9,5,10,10,7
25,4,9,8,9,5,4,4,8,4,7,6,5,9,10,9
26,3,3,2,3,6,9,4,4,7,5,5,6,9,10,7
27,2,3,4,2,4,1,4,4,4,4,5,3,9,10,7
28,5,8,7,9,2,7,4,9,7,8,8,1,9,10,9
29,4,2,1,3,4,5,3,2,5,5,6,4,10,10,7
30,2,9,8,8,3,8,3,9,6,3,2,2,9,10,9
31,5,7,6,6,2,9,2,6,2,4,3,2,9,10,7
32,1,4,3,5,2,7,2,5,3,7,6,1,10,10,7
33,2,7,8,8,2,6,2,6,8,5,6,2,9,10,9
34,2,2,2,5,2,4,2,2,3,5,6,1,9,10,6
35,4,3,4,8,9,1,9,4,5,2,1,10,8,9,6
36,4,4,3,7,8,10,10,3,4,3,4,7,9,9,7
37,3,6,7,2,9,8,10,5,8,2,3,8,8,9,8
38,5,5,4,5,8,3,9,5,1,8,7,9,8,9,8
39,1,4,4,10,8,10,9,4,7,8,9,9,9,9,9
40,2,3,3,2,8,10,8,4,3,7,6,9,10,9,7
41,5,4,3,4,7,3,8,5,8,8,7,7,9,9,8
42,2,7,7,7,8,8,8,6,8,7,7,9,9,10,10
43,3,5,6,10,8,7,8,6,4,6,6,8,9,9,8
44,2,6,7,3,6,4,8,7,8,8,8,7,10,8,10
45,1,6,5,3,7,6,7,6,6,9,8,7,8,7,9
46,4,2,2,9,9,1,7,1,7,3,2,8,9,10,6
47,4,7,6,1,6,10,7,8,3,2,3,7,9,7,7
48,3,6,6,4,7,2,6,6,2,6,6,8,8,6,7
49,1,9,8,7,7,5,6,9,2,5,5,7,9,9,9
50,2,9,9,3,5,9,6,8,6,3,3,4,8,9,9
51,4,9,9,1,5,7,6,9,3,2,1,5,8,9,8
52,2,6,6,3,6,4,6,5,2,9,9,6,8,9,9
53,3,9,9,6,7,5,6,10,5,5,5,8,10,9,10
54,5,8,8,6,7,2,5,8,10,3,4,7,8,9,9
55,3,8,7,10,5,5,5,9,7,7,8,6,10,9,10
56,1,7,7,4,3,9,5,6,3,6,6,3,8,9,8
57,4,6,7,10,4,1,5,7,6,6,7,4,10,9,9
58,4,2,3,5,5,1,5,2,4,6,6,5,9,9,7
59,3,4,3,10,3,6,5,5,5,2,2,4,8,9,6
60,5,5,4,9,5,9,5,4,10,5,6,5,10,9,8
61,3,7,8,1,6,9,5,6,7,2,2,7,10,9,8
62,2,8,9,1,4,4,4,7,2,2,3,4,10,9,8
63,2,6,6,5,6,7,4,5,8,6,7,5,10,9,9
64,5,8,7,7,2,7,4,7,7,3,3,1,9,9,8
65,2,3,4,9,6,9,4,4,8,5,6,6,8,9,7
66,3,3,3,8,4,8,4,2,7,4,4,5,8,9,6
67,5,4,5,7,5,9,4,3,2,6,5,4,9,9,7
68,4,7,8,2,3,4,4,8,7,6,6,3,9,9,9
69,2,9,10,2,4,8,3,8,3,6,7,4,8,9,9
70,4,4,5,3,5,7,3,5,9,7,8,6,8,9,8
71,3,2,1,8,2,5,3,2,3,5,6,2,8,9,6
72,1,8,7,4,2,4,2,7,3,2,2,1,10,9,8
73,2,2,2,8,2,8,2,1,2,3,4,3,9,9,5
74,4,9,8,8,4,7,2,10,4,6,6,3,10,9,9
75,1,5,4,2,2,10,2,5,4,2,2,1,9,10,6
76,5,8,7,4,3,7,2,9,6,2,3,3,9,9,8
77,5,3,3,7,3,4,2,2,3,8,8,2,9,8,7
78,2,6,7,7,2,2,1,5,3,9,9,2,9,7,8
79,5,6,7,10,2,4,1,5,2,7,8,2,10,10,8
80,1,2,1,8,9,3,9,1,4,3,3,9,9,7,6
81,3,4,3,6,9,5,10,3,8,7,6,8,9,6,8
82,3,4,3,6,8,8,10,5,7,9,8,9,9,8,9
83,5,3,2,10,9,2,10,2,2,6,5,10,9,8,7
84,5,2,3,8,9,2,10,2,8,2,3,9,8,8,6
85,2,4,3,1,7,8,9,3,9,5,4,8,7,8,7
86,5,4,3,10,8,8,9,5,6,2,3,7,9,8,7
87,1,9,10,1,8,6,9,9,3,4,3,8,9,8,9
88,1,4,5,10,9,5,9,4,5,4,3,10,8,8,7
89,1,7,8,7,8,10,9,6,4,4,3,8,8,8,8
90,5,2,2,6,7,6,9,3,6,6,7,8,8,8,7
91,4,4,3,10,9,7,9,3,8,2,1,8,8,8,7
92,1,7,8,9,9,1,9,7,9,3,2,9,7,8,8
93,2,3,4,9,9,3,9,2,9,7,6,10,9,8,8
94,3,8,9,2,7,8,8,8,6,7,6,6,8,8,9
95,1,3,2,2,9,6,8,2,4,6,5,9,8,8,7
96,5,5,6,8,6,3,7,6,3,5,5,7,8,8,7
97,5,8,8,9,9,8,7,9,4,8,8,9,8,8,10
98,3,3,3,3,8,10,7,2,1,9,9,7,7,8,7
99,4,5,5,8,6,1,7,6,2,3,2,5,9,8,7
100,2,4,4,9,7,9,6,3,6,5,5,6,8,8,7
101,4,9,10,7,7,7,6,10,4,5,4,7,8,8,9
102,3,6,5,9,7,1,6,7,1,6,6,7,7,8,7
103,2,7,7,7,6,7,6,8,5,7,8,6,8,8,9
104,1,7,6,3,8,9,6,6,6,5,4,9,7,8,8
105,4,2,2,2,5,8,6,3,3,2,3,5,7,8,5
106,3,2,1,2,4,1,5,1,5,6,7,3,7,8,6
107,2,9,9,5,7,9,5,10,9,6,5,7,8,8,10
108,2,7,6,4,5,8,5,8,4,7,8,4,8,8,8
109,3,6,7,8,3,8,5,5,7,6,6,2,8,8,8
110,3,6,6,1,4,4,5,6,2,5,5,3,7,8,7
111,4,2,3,5,5,6,5,1,2,5,4,6,7,8,5
112,4,7,6,1,6,4,5,8,3,9,9,7,8,8,9
113,3,8,8,2,5,3,5,8,3,9,8,4,8,8,9
114,1,9,8,9,5,6,4,10,4,9,10,5,8,8,10
115,3,4,5,9,4,2,4,4,3,8,9,4,7,8,7
116,2,2,2,4,6,8,4,1,6,5,5,5,8,8,6
117,2,8,7,9,6,3,4,7,7,2,1,5,8,8,8
118,4,8,7,4,3,8,3,7,4,3,2,3,9,8,7
