Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,29700,30000,29680,30000,41.274914,10588400
2013-10-31,29960,30040,29300,29300,40.31184,12647050
2013-11-01,29800,30000,29360,30000,41.274914,11357700
2013-11-04,29840,30040,29780,29980,41.247398,10887800
2013-11-05,30040,30040,29440,29700,40.862167,8009300
2013-11-06,29960,29960,28980,29020,39.926601,12218400
2013-11-07,29020,29080,28500,28740,39.54137,13006800
2013-11-08,28220,28560,28140,28200,38.79842,13681350
2013-11-11,28500,28680,28180,28560,39.293724,8563850
2013-11-12,28800,29320,28720,29120,40.064182,9784900
2013-11-13,28900,28980,28380,28380,39.04607,9995200
2013-11-14,29100,29100,28480,28480,39.183655,10132150
2013-11-15,28680,29240,28640,29240,40.229286,8339250
2013-11-18,29400,29520,29300,29480,40.559483,6386800
2013-11-19,29660,29780,29540,29780,40.972229,8183550
2013-11-20,29460,29740,29280,29400,40.449413,8178150
2013-11-21,29440,29440,28640,28800,39.623913,9019800
2013-11-22,28820,29120,28620,29000,39.89909,8574600
2013-11-25,29020,29440,29020,29300,40.31184,6615300
2013-11-26,29160,29580,29100,29580,40.697071,8586250
2013-11-27,29340,29520,29200,29400,40.449413,9351700
2013-11-28,29600,29880,29580,29880,41.109814,10644900
2013-11-29,29980,29980,29700,29880,41.109814,6752200
2013-12-02,30000,30060,29340,29340,40.366867,7487800
2013-12-03,29280,29560,29140,29220,40.201763,7798600
2013-12-04,29000,29060,28620,28640,39.403786,10844000
2013-12-05,28660,28920,28440,28800,39.623913,10479650
2013-12-06,29080,29080,28560,28560,39.293724,9147450
2013-12-09,28800,29080,28800,29080,40.009151,6996900
2013-12-10,28820,29020,28620,28800,39.623913,7755600
2013-12-11,28520,28880,28320,28400,39.073589,10629150
2013-12-12,27920,28200,27920,28200,38.79842,14962050
2013-12-13,28200,28220,27800,27800,38.248085,10053250
2013-12-16,27820,28080,27660,28000,38.523251,8954400
2013-12-17,28340,28340,27860,27900,38.38567,7762400
2013-12-18,28100,28200,27880,28020,38.550774,10899200
2013-12-19,28360,28680,28360,28540,39.266201,10552400
2013-12-20,28260,28540,28260,28540,39.266201,8407400
2013-12-23,28740,28760,28580,28660,39.431309,10639200
