x1,x2,y
8.4,-1.7,0
4.9,-9.3,1
7.3,-2.8,0
8,-3.6,0
7,-4.9,0
4.7,-2.2,0
8,-3.2,0
6.8,-9.8,1
7.8,-0.9,0
7.6,-2.3,0
6.3,-8.9,1
9.9,-4.1,0
9.7,-4.6,0
7.5,-7.7,1
4.6,-7.8,1
8.4,-4.3,0
7.2,-7.8,1
6.6,-10.2,1
10.2,-2.3,0
5.8,-9.4,1
4.6,-7.9,1
8.2,-4.7,0
7.8,-5.5,0
8.1,-1.7,0
7.6,-9.9,1
6.3,-10,1
6.5,-9.5,1
9.1,-1.9,0
6.6,-9.8,1
7,-9.7,1
5,-10.8,1
6.5,-6.1,1
8.6,-2,0
6.3,-9.8,1
6.3,-7.9,1
7.4,-1.5,0
7.2,-7.6,1
7.4,-9.9,1
7.1,-3.2,0
3.6,-9.4,1
7.4,-10.4,1
9.5,-5.6,0
6.9,-9.1,1
9.2,-4.5,0
4.7,-3.1,0
8.5,-4.9,0
10.1,-4.3,0
8.6,-4.2,0
7,-5.6,0
10.3,-4,0
5.7,-7.1,1
7,-11.7,1
7.7,-5.4,0
6.7,-1.9,0
8.5,-8.6,1
5.8,-4.1,0
6,-9.4,1
7.6,-2.6,0
8.5,-4.5,0
5.9,-7.3,1
8.1,-4.9,0
8.1,-8,1
7,-2.2,0
7.3,-10.4,1
6.7,-11.6,1
9.1,-5.1,0
5,-7.5,1
8.4,-0.6,0
5.7,-7.6,1
8,-3.4,0
4.1,-2,0
7.9,-3.8,0
4.6,-10,1
8.8,-2.1,0
7.7,-11.2,1
4.9,-9.5,1
0.9,-8.4,1
7.2,-3,0
7.2,0.1,0
6.4,-3.1,0
5.9,-10.1,1
7.4,-9.8,1
7.3,-9.6,1
6.6,-8.8,1
10.7,-2.3,0
4.7,-4.6,0
10.1,-0.7,0
9.3,-2.7,0
7.8,-3.5,0
4.2,-13.2,1
5.2,-9,1
8.5,-7.5,1
11.8,-2.5,0
6.1,-11.4,1
6.9,-10.7,1
8.5,-4.6,0
5.4,-9.8,1
9.9,-9.6,1
5.6,-9.7,1
7.1,-9.6,1
