year,wage_Pound,cpi,real_wage
1999,592.0 ,81.4,727.2727273
2000,592.0 ,82,721.9512195
2001,610.0 ,83,734.939759
2002,675.0 ,84.1,802.6159334
2003,692.0 ,85.2,812.2065728
2004,743.0 ,86.4,859.9537037
2005,800.0 ,88.1,908.0590238
2006,831.0 ,90.3,920.2657807
2007,883.0 ,92.4,955.6277056
2008,911.0 ,95.7,951.9331243
2009,948.0 ,97.6,971.3114754
2010,956.0 ,100,956
2011,978.0 ,103.9,941.2897016
2012,1004.0 ,106.5,942.7230047
2013,1020.0 ,109,935.7798165
2014,1043.0 ,110.6,943.0379747
2015,1074.0 ,111,967.5675676
2016,1110.0 ,112.1,990.1873327
2017,1193.0 ,114.9,1038.294169
2018,1242.0 ,117.5427,1056.63729
2019,1300.0 ,119.3058405,1089.636513
2020,1360.2 ,121.4533456,1119.936213
