id,conversion,monetary,frequency,age,male
1,1,141,8,52,1
2,0,91,7,51,1
3,1,108,8,46,0
4,0,53,1,53,1
5,1,133,8,30,1
6,0,143,9,27,1
7,1,22,10,50,1
8,0,64,1,25,1
9,0,66,10,53,0
10,1,89,8,25,1
11,1,134,5,23,0
12,0,83,5,41,1
13,1,99,1,38,1
14,0,83,5,51,1
15,1,128,4,35,1
16,1,104,0,37,0
17,0,86,0,22,1
18,1,109,5,37,0
19,1,33,10,53,1
20,0,142,7,47,1
21,1,60,8,36,0
22,0,115,2,51,1
23,1,89,6,31,1
24,0,52,1,41,1
25,1,20,4,38,0
26,0,88,6,35,1
27,1,30,5,38,0
28,1,106,0,21,0
29,0,55,6,53,1
30,0,27,5,38,1
31,1,111,4,37,1
32,1,70,0,52,1
33,1,106,7,46,1
34,0,50,4,39,1
35,0,95,4,21,0
36,0,78,3,40,1
37,0,109,1,24,1
38,0,100,10,32,1
39,0,68,6,50,1
40,1,23,4,26,0
41,1,46,6,31,0
42,0,112,10,25,1
43,1,146,1,54,1
44,1,92,7,26,1
45,1,51,9,40,1
46,0,81,3,28,1
47,0,127,4,27,0
48,1,26,10,51,1
49,0,36,4,44,1
50,1,106,0,23,0
51,1,27,2,40,1
52,1,118,7,43,0
53,0,137,3,35,1
54,1,83,3,29,0
55,0,78,9,32,1
56,0,104,9,43,0
57,1,21,3,54,1
58,0,91,7,21,0
59,1,28,10,31,1
60,0,29,3,27,1
61,1,81,3,25,0
62,1,31,4,33,0
63,1,83,5,32,1
64,0,77,7,32,1
65,1,134,1,41,0
66,1,132,0,37,1
67,0,103,1,50,0
68,0,81,1,53,0
69,1,22,9,20,1
70,0,109,1,23,1
71,1,61,0,33,1
72,1,72,3,40,0
73,1,22,2,32,1
74,0,83,4,24,1
75,1,56,7,27,1
76,0,25,8,27,1
77,1,146,7,39,1
78,1,96,3,49,1
79,1,23,9,23,1
80,1,123,4,22,1
81,1,134,3,33,0
82,0,110,5,22,1
83,0,27,9,41,1
84,1,38,2,50,1
85,0,59,7,43,1
86,0,111,4,42,1
87,1,80,9,50,1
88,0,75,2,53,1
89,0,113,3,52,1
90,0,55,4,38,1
91,1,95,0,33,1
92,0,103,1,24,0
93,0,80,1,23,1
94,1,80,2,46,1
95,0,81,2,38,1
96,1,40,6,41,1
97,1,69,0,47,1
98,0,149,9,54,1
99,0,127,9,45,1
100,1,143,2,53,1
101,0,54,5,51,1
102,0,66,5,51,1
103,0,81,10,25,1
104,1,96,6,42,0
105,0,37,8,34,0
106,0,53,6,46,0
107,0,17,10,25,0
108,1,14,6,31,1
109,0,28,2,25,0
110,0,53,8,45,1
111,1,43,0,46,0
112,0,78,1,24,0
113,0,35,9,38,1
114,1,10,10,40,0
115,1,19,8,52,1
116,0,5,1,28,1
117,1,80,2,27,1
118,1,30,2,46,0
119,1,4,10,33,1
120,1,70,4,41,0
121,0,69,8,26,0
122,0,38,0,55,1
123,1,22,1,50,1
124,1,44,9,36,1
125,0,93,0,37,1
126,1,34,2,40,0
127,1,4,9,30,1
128,0,82,8,43,1
129,1,60,9,41,1
130,0,52,2,25,1
131,1,60,4,27,1
132,1,25,5,31,0
133,1,19,4,47,1
134,0,34,7,55,1
135,1,66,2,28,1
136,0,86,4,50,0
137,1,100,8,42,0
138,0,17,7,44,1
139,1,15,0,27,0
140,1,18,0,25,1
141,0,27,2,50,0
142,1,68,0,35,0
143,1,67,4,37,1
144,0,15,10,39,0
145,0,79,1,39,0
146,0,71,0,30,0
147,1,8,3,34,1
148,0,7,10,24,1
149,1,12,9,38,1
150,0,44,7,51,0
151,0,94,5,32,0
152,0,31,5,38,1
153,1,83,6,44,0
154,0,14,4,40,1
155,0,51,4,35,0
156,0,49,10,26,1
157,0,1,8,36,0
158,1,2,6,25,1
159,0,13,9,34,0
160,1,8,10,24,0
161,1,25,8,25,1
162,1,15,2,52,1
163,1,80,8,34,0
164,1,14,3,54,1
165,1,5,2,44,0
166,1,86,8,42,1
167,0,75,0,41,0
168,1,82,3,25,0
169,1,6,2,55,0
170,0,37,4,29,1
171,0,18,9,27,0
172,1,0,6,32,1
173,0,24,6,55,1
174,0,37,2,29,1
175,1,20,10,28,1
176,0,37,3,28,0
177,1,79,2,40,0
