id,monetary,age,male,offer,convert
1,77,20,1,1,1
2,106,21,1,1,1
3,48,58,1,1,0
4,25,51,0,1,0
5,36,42,1,1,0
6,49,36,1,1,0
7,113,25,1,1,1
8,119,51,1,1,0
9,41,43,0,1,0
10,138,23,1,1,1
11,198,25,1,1,1
12,208,54,1,1,1
13,55,48,1,1,0
14,291,22,1,1,1
15,381,28,1,1,1
16,150,28,1,1,1
17,25,51,0,1,0
18,169,28,1,1,1
19,121,25,1,1,1
20,46,29,0,1,0
21,78,48,0,1,0
22,90,33,1,1,0
23,150,55,0,1,0
24,199,24,1,1,1
25,80,57,0,1,0
26,103,28,0,1,1
27,36,50,1,1,0
28,110,46,1,1,0
29,128,23,0,1,1
30,135,24,0,1,1
31,41,49,1,1,0
32,58,55,1,1,0
33,43,43,0,1,0
34,191,26,0,1,1
35,66,45,1,1,0
36,106,32,0,1,1
37,137,36,0,1,0
38,73,43,0,1,0
39,122,62,1,1,0
40,80,55,0,1,0
41,300,28,1,1,1
42,48,40,1,1,0
43,139,58,1,1,0
44,280,27,1,1,1
45,30,45,0,1,0
46,89,20,1,1,1
47,247,21,1,1,1
48,60,52,0,1,0
49,76,50,1,1,0
50,100,45,0,1,0
51,98,48,0,1,0
52,173,34,1,1,1
53,150,53,1,1,0
54,58,42,1,1,0
55,62,53,0,1,0
56,132,52,1,1,0
57,80,49,0,1,0
58,262,22,1,1,1
59,186,31,0,1,1
60,32,50,1,1,0
61,54,49,0,1,0
62,16,54,0,1,0
63,34,50,0,1,0
64,87,44,1,1,0
65,257,21,1,1,1
66,140,54,1,1,0
67,147,55,0,1,0
68,82,48,1,1,0
69,143,34,1,1,1
70,23,52,1,1,0
71,64,40,0,1,0
72,370,23,1,1,1
73,33,40,1,1,0
74,94,55,1,1,0
75,70,45,1,1,0
76,148,51,1,1,0
77,162,28,0,1,1
78,27,52,0,1,0
79,54,53,0,1,0
80,49,44,1,1,0
81,34,49,1,1,0
82,31,51,1,1,0
83,44,50,1,1,0
84,25,23,0,1,1
85,21,42,0,1,0
86,118,25,0,1,1
87,95,45,0,1,0
88,130,55,0,1,0
89,116,50,1,1,0
90,51,38,1,1,0
