year,month,전국,수도권,서울,강북지역,강남지역,경기,인천,부산,대구,광주,대전,울산,강원,충북,충남,전북,전남,경북,경남,제주
2003,11,55.41,52.39,52.49,51.84,52.99,52.51,53.92,54.69,51.7,53.64,52.91,51.02,67.2,60.73,70.98,56.94,59.14,67.67,64.98,53.58
2003,12,55.09,52.08,52.09,51.65,52.41,52.28,53.55,54.25,51.19,53.33,52.31,50.64,67.48,60.56,70.86,56.97,59.07,67.59,64.73,53.5
2004,1,54.96,51.9,51.94,51.59,52.18,52.07,53.42,54.12,50.98,53.23,52.51,50.56,67.79,60.69,70.98,56.99,59.01,67.28,64.55,53.6
2004,2,55.14,52.07,52.25,51.76,52.6,52.15,53.51,54.1,51.07,53.38,53,50.72,68.46,61.02,72,57.29,58.9,67.39,64.8,53.54
2004,3,55.36,52.25,52.52,51.91,52.98,52.29,53.58,54.19,51.33,53.47,53.3,51.11,69.15,61.32,72.8,57.82,58.73,67.57,65.15,53.49
2004,4,55.6,52.47,52.86,52.17,53.39,52.43,53.7,54.33,51.44,53.6,53.72,51.61,69.29,61.65,73.55,58.08,58.74,67.79,65.51,53.65
2004,5,55.66,52.46,52.97,52.27,53.5,52.34,53.69,54.36,51.45,53.59,54.33,52.18,69.69,61.91,73.5,58.21,58.69,67.76,65.74,53.62
2004,6,55.61,52.31,52.86,52.26,53.32,52.13,53.63,54.29,51.44,53.82,54.64,52.29,69.96,62.37,73.23,58.33,58.64,67.7,65.85,53.58
2004,7,55.53,52.15,52.71,52.16,53.12,51.9,53.71,54.02,51.47,53.94,54.78,52.39,70.27,62.85,73.14,58.45,58.6,67.6,66.04,53.31
2004,8,55.35,51.85,52.4,51.97,52.71,51.6,53.45,53.85,51.41,54,54.85,52.36,70.78,63.25,72.34,58.8,58.85,67.65,66.02,53.31
2004,9,55.26,51.62,52.24,51.87,52.51,51.31,53.21,53.75,51.51,54.26,54.8,52.5,71.4,63.27,72.44,58.92,58.67,67.96,66.19,53.32
2004,10,55.2,51.42,52.05,51.73,52.27,51.11,52.99,53.68,51.55,55.05,54.67,52.82,71.86,63.72,72.26,59.22,58.61,68.13,66.17,53.26
2004,11,54.98,51.12,51.81,51.57,51.96,50.77,52.63,53.49,51.53,55.28,53.95,53.04,71.87,63.52,71.62,59.51,58.52,68.23,66.14,53.25
2004,12,54.75,50.83,51.6,51.39,51.73,50.46,52.23,53.23,51.45,55.42,53.35,53.06,71.87,63.21,71.33,59.57,58.29,68.21,66.04,53.28
2005,1,54.62,50.63,51.46,51.25,51.6,50.21,51.97,53.08,51.44,55.54,53.02,53.12,72.16,63.32,71.68,59.59,58.11,68.2,65.98,53.12
2005,2,54.91,51,51.99,51.36,52.46,50.55,51.97,53.01,51.67,55.81,53.22,53.17,72.45,63.76,72.53,59.83,58.25,68.28,66.08,53.12
2005,3,55.22,51.32,52.24,51.51,52.8,50.96,52.19,53.03,51.98,56.18,53.87,53.41,72.69,64.35,73.49,60.03,58.03,68.57,66.54,53.12
2005,4,55.65,51.74,52.82,51.67,53.73,51.3,52.4,53.16,52.56,56.52,54.42,53.96,72.58,64.87,74.42,60.33,58.92,69.06,66.95,53.08
2005,5,56.07,52.2,53.3,51.85,54.47,51.84,52.53,53.18,53.28,56.83,54.71,54.47,73.28,65.36,74.62,60.51,58.79,69.73,67.53,53.04
2005,6,56.74,53.14,54.28,51.92,56.25,52.96,52.57,53.2,53.85,57.03,55.02,54.91,73.6,65.78,75.05,60.6,59.02,70.4,67.87,53.25
2005,7,57.33,53.96,55.24,52.41,57.61,53.9,52.59,53.24,54.35,57.19,55.16,55.28,73.95,66.16,75.2,60.9,59.08,70.85,68.34,53.27
2005,8,57.6,54.2,55.53,52.78,57.84,54.15,52.63,53.23,54.92,57.83,55.2,55.71,74.25,66.92,75.65,61.32,59.08,71.14,68.55,53.09
2005,9,57.75,54.28,55.65,52.98,57.87,54.24,52.57,53.22,55.41,58.09,55.11,56.21,74.97,67.49,75.69,61.71,59.2,71.33,68.79,53.02
2005,10,57.76,54.19,55.57,53.07,57.65,54.13,52.52,53.19,55.75,58.23,54.69,56.24,75.22,68.34,75.68,62.28,59.23,72.09,68.89,53.03
2005,11,57.8,54.21,55.73,53.09,57.93,54.07,52.41,53.15,56.05,58.36,54.39,56.12,75.32,68.65,75.51,62.35,59.35,72.86,68.82,53.09
2005,12,57.93,54.33,55.99,53.17,58.37,54.13,52.4,53.11,56.4,58.46,54.68,56.13,75.52,68.91,75.47,62.57,59.43,73.23,68.87,53.02
2006,1,58.17,54.62,56.44,53.33,59.07,54.35,52.43,53.08,56.81,58.77,54.86,56.34,75.73,69.52,75.14,62.9,59.46,73.41,69.15,52.91
2006,2,58.51,55.06,56.99,53.6,59.87,54.81,52.48,53.12,57.07,59.07,54.8,56.47,76.24,70.25,75.46,63.25,59.47,73.78,69.26,52.91
2006,3,58.99,55.7,57.92,53.9,61.38,55.37,52.6,53.14,57.35,59.3,54.77,57.02,76.83,71.13,75.53,63.71,59.5,74.59,69.47,52.88
2006,4,59.59,56.6,59.16,54.38,63.32,56.2,52.85,53.06,57.55,59.6,54.63,57.64,77.12,71.69,75.59,64.24,59.53,75.38,69.6,52.9
2006,5,60.29,57.68,60.3,54.84,65.11,57.48,53.06,52.97,57.78,59.68,54.39,58.75,77.3,71.84,75.61,64.85,59.63,76.36,69.75,53.26
