sample_id,gender,app,satis
1,1,AA,4
4,1,AA,6
5,2,AA,7
7,2,AA,3
8,2,AA,7
9,2,AA,6
10,1,AA,2
13,1,AA,6
14,1,AA,3
17,1,AA,5
27,2,AA,6
33,2,AA,5
37,1,AA,7
38,2,AA,3
39,1,AA,5
42,2,AA,6
43,1,AA,2
47,2,AA,5
49,2,AA,6
52,1,AA,5
56,1,AA,7
58,1,AA,3
68,1,AA,3
71,2,AA,3
73,1,AA,2
74,1,AA,7
75,2,AA,6
77,1,AA,6
79,1,AA,4
80,2,AA,4
81,1,AA,2
82,1,AA,4
83,2,AA,7
87,1,AA,2
88,2,AA,6
89,1,AA,5
92,2,AA,5
97,2,AA,4
101,2,AA,7
106,1,AA,6
109,2,AA,5
114,1,AA,4
117,2,AA,5
123,2,AA,2
125,1,AA,4
127,2,AA,7
128,1,AA,6
133,2,AA,6
134,1,AA,6
138,1,AA,4
139,1,AA,7
142,2,AA,3
144,2,AA,2
146,2,AA,6
148,1,AA,3
6,2,BB,2
11,1,BB,3
15,2,BB,2
19,2,BB,1
21,2,BB,5
22,1,BB,1
24,2,BB,1
25,1,BB,2
30,1,BB,6
36,1,BB,6
40,1,BB,4
45,1,BB,1
46,2,BB,5
50,1,BB,5
55,1,BB,5
60,2,BB,1
64,1,BB,6
65,1,BB,5
66,1,BB,1
69,2,BB,4
72,1,BB,3
78,1,BB,2
84,2,BB,3
85,2,BB,6
86,2,BB,3
90,2,BB,4
94,2,BB,1
96,2,BB,7
98,1,BB,1
102,2,BB,6
104,2,BB,3
105,2,BB,1
107,2,BB,1
111,1,BB,2
113,2,BB,7
116,1,BB,4
118,1,BB,1
119,1,BB,3
120,1,BB,6
121,2,BB,5
124,2,BB,2
130,1,BB,5
131,1,BB,1
137,1,BB,2
141,1,BB,1
147,2,BB,6
150,2,BB,1
2,2,CC,1
3,1,CC,5
12,2,CC,3
16,2,CC,2
18,1,CC,3
20,2,CC,1
23,1,CC,1
26,2,CC,5
28,1,CC,2
29,1,CC,1
31,2,CC,5
32,1,CC,3
34,2,CC,7
35,2,CC,4
41,1,CC,3
44,2,CC,7
48,1,CC,4
51,1,CC,2
53,2,CC,6
54,1,CC,6
57,2,CC,2
59,1,CC,1
61,1,CC,2
62,2,CC,3
63,2,CC,6
67,2,CC,4
70,1,CC,2
76,2,CC,6
91,1,CC,1
93,1,CC,5
95,1,CC,5
99,2,CC,2
100,1,CC,7
103,1,CC,6
108,1,CC,3
110,1,CC,5
112,1,CC,6
115,2,CC,1
122,2,CC,7
126,2,CC,2
129,2,CC,4
132,2,CC,7
135,1,CC,5
136,2,CC,4
140,1,CC,4
143,1,CC,7
145,2,CC,7
149,1,CC,5
