시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 구로구 구로동,780-86,780,86,(780-86),35.55,202309,26,"19,000",3,1961,도림로12길 11
서울특별시 구로구 구로동,780-86,780,86,(780-86),35.55,202309,26,"19,000",3,1961,도림로12길 11
서울특별시 구로구 구로동,780-86,780,86,(780-86),35.55,202307,5,"15,000",5,1961,도림로12길 11
서울특별시 중구 정동,01월 18일,18,1,정동,46.26,202311,25,"52,000",2,1965,정동길 13
서울특별시 종로구 창신동,328-17,328,17,동대문,28.8,202302,11,"45,000",1,1966,지봉로 25
서울특별시 서대문구 홍제동,104-1,104,1,인왕,56.79,202310,29,"54,000",1,1968,통일로32길 3
서울특별시 서대문구 홍제동,104-1,104,1,인왕,56.79,202310,28,"52,500",4,1968,통일로32길 3
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,135.17,202305,10,"50,000",5,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,52.1,202312,30,"34,000",6,1968,마른내로 72
서울특별시 서대문구 홍제동,104-1,104,1,인왕,56.66,202311,18,"55,000",6,1968,통일로32길 3
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,87.44,202304,13,"56,500",6,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,52.1,202301,30,"27,000",6,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,49.88,202307,17,"35,000",8,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,41.62,202305,27,"31,000",8,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,41.62,202305,26,"29,500",8,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,40.83,202310,11,"31,500",9,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,49.22,202303,27,"35,500",9,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,76.96,202311,14,"55,700",10,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,76.96,202311,14,"55,700",10,1968,마른내로 72
서울특별시 중구 인현동2가,192-30,192,30,인현상가/신성아파트,48.56,202307,8,"35,800",10,1968,마른내로 72
서울특별시 성북구 안암동4가,03월 23일,23,3,안암,50.68,202310,25,"15,000",4,1969,안암로9가길 9-16
서울특별시 서대문구 충정로3가,189-8,189,8,미동,55.57,202308,19,"41,000",4,1969,충정로7길 9
서울특별시 서대문구 충정로3가,189-8,189,8,미동,55.57,202302,9,"37,000",5,1969,충정로7길 9
서울특별시 마포구 연남동,244-15,244,15,새마을,41.65,202311,18,"47,000",3,1970,성미산로23길 54
서울특별시 용산구 한남동,723-3,723,3,한남하우스,60.63,202309,21,"38,000",3,1970,한남대로28가길 5
서울특별시 마포구 아현동,371-1,371,1,예미원,84.88,202312,20,"75,000",4,1970,마포대로 236
서울특별시 마포구 아현동,371-1,371,1,예미원,84.88,202312,20,"75,000",4,1970,마포대로 236
서울특별시 용산구 한남동,723-3,723,3,한남하우스,60.63,202309,26,"37,500",4,1970,한남대로28가길 5
서울특별시 마포구 아현동,371-1,371,1,예미원,71.1,202307,24,"63,000",4,1970,마포대로 236
서울특별시 용산구 한강로1가,231-23,231,23,삼각아파트,79.34,202305,25,"150,000",4,1970,한강대로62길 32
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.93,202311,23,"54,500",5,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,107.9,202310,13,"84,000",5,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.93,202307,27,"59,100",5,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,72.6,202303,28,"56,700",5,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.93,202310,25,"57,000",6,1970,퇴계로 217
서울특별시 용산구 원효로2가,Feb-94,94,2,원효,62.58,202309,13,"50,500",6,1970,원효로 166
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.94,202308,4,"59,800",6,1970,퇴계로 217
서울특별시 종로구 사직동,01월 08일,1,8,사직아파트,116.23,202306,12,"84,000",6,1970,사직로9길 14
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.93,202310,7,"65,000",12,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,107.9,202302,27,"75,000",15,1970,퇴계로 217
서울특별시 중구 충무로4가,120-3,120,3,진양상가,78.28,202307,11,"68,000",16,1970,퇴계로 217
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202312,8,"135,000",1,1971,63로 45
서울특별시 용산구 원효로4가,109-4,109,4,풍전,88,202311,7,"99,000",1,1971,원효로25길 14
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202310,13,"197,500",1,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,156.99,202309,15,"285,000",1,1971,63로 45
서울특별시 용산구 원효로4가,109-4,109,4,풍전,67.04,202308,3,"77,000",1,1971,원효로25길 14
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,101.95,202306,6,"354,000",1,1971,이촌로 248
서울특별시 용산구 도원동,03월 04일,3,4,제일1,45.26,202305,2,"30,000",1,1971,새창로12길 11-7
서울특별시 용산구 원효로4가,109-4,109,4,풍전,67.04,202303,29,"74,500",1,1971,원효로25길 14
서울특별시 용산구 도원동,03월 04일,3,4,제일1,45.26,202302,23,"24,500",1,1971,새창로12길 11-7
서울특별시 용산구 도원동,03월 04일,3,4,제일1,45.29,202311,23,"35,000",2,1971,새창로12길 11-7
서울특별시 종로구 행촌동,Jan-41,41,1,대성아파트,30.28,202311,18,"26,000",2,1971,사직로 21
