year,month,전국,수도권,서울,강북지역,강남지역,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,경기,인천,부산,대구,광주,대전,울산,강원,충북,충남,전북,전남,경북,경남,제주
2003,11,49.74,45.94,46.74,46.99,46.53,55.93,50.25,49.56,39.89,45.54,48.7,50.63,46.88,45.56,50.75,44.31,57,49.42,46.2,42.84,43.55,41.84,45.01,42.96,42.39,44.05,47.38,51.53,52.01,52.75,44.7,49.33,53.97,49.08,50.17,45.05,50.12,65.68,54.96,56.01,53.27,50.05,62.65,60.49,53.64
2003,12,49.24,45.4,46.22,46.43,46.04,55.25,49.38,49.05,39.45,45.09,47.27,49.76,46.67,45.36,50.14,43.9,56.48,49.06,45.3,42.52,42.44,41.05,43.96,42.3,42.03,43.49,47.17,51.74,51.67,52.11,44.2,48.6,53.43,48.23,49.93,44.86,49.42,65.42,54.44,55.16,53.42,50.12,62.49,60.08,53.61
2004,1,49.08,45.2,46.03,46.25,45.85,55.18,49.49,49.15,39.42,44.97,47.26,49.44,46.14,45.45,49.59,43.82,55.33,48.85,45.34,42.34,41.98,40.95,43.51,41.68,41.85,43.3,47.29,52.01,51.4,51.75,43.99,48.37,53.2,47.93,49.91,45.11,49.47,65.68,54.38,54.84,53.5,50.13,62.21,60.1,53.39
2004,2,49.32,45.38,46.28,46.53,46.06,55.47,49.92,50.17,39.94,45.04,47.77,49.44,46.27,45.28,49.85,44.08,55.49,48.96,45.69,42.46,41.99,41.06,43.73,41.47,41.91,44.18,47.97,52.42,51.42,51.97,44.1,48.6,53.2,47.96,50.1,45.75,50.05,66.64,54.98,56.07,53.83,50.32,62.6,60.17,53.97
2004,3,49.59,45.61,46.49,46.7,46.32,55.32,49.81,50.26,40.37,45.45,47.6,49.78,46.58,45.29,50.27,44.18,54.93,49.13,45.9,42.8,42.39,41.62,43.81,41.71,42.43,44.55,48.54,52.35,50.56,52.84,44.4,48.62,53.38,48.16,50.49,46,50.49,67.36,55.39,56.94,54.42,50.54,62.71,60.48,53.97
2004,4,49.71,45.67,46.54,46.82,46.29,55.59,50,50.61,40.81,45.44,47.56,49.68,46.49,45.63,50.3,44.34,54.66,49.25,46.19,42.82,42.35,41.5,43.38,41.99,42.52,44.71,48.56,51.81,50.6,53.22,44.48,48.65,53.56,48.28,50.66,46.16,50.74,67.38,55.89,57.05,54.62,50.78,63.02,60.59,54.03
2004,5,49.66,45.56,46.43,46.85,46.08,55.72,49.99,50.63,41.06,45.32,47.79,50.02,46.43,45.92,50.22,44.31,54.31,49.2,46.04,42.77,42.19,41.23,43.29,42.18,42.56,44.67,48.19,51.31,50.35,52.63,44.38,48.49,53.53,48.23,50.67,46.26,50.78,67.74,56.17,56.91,54.87,51.14,63.07,60.53,54
2004,6,49.33,45.17,45.98,46.46,45.58,55.85,49.91,50.33,40.71,45.19,46.87,49.39,46.04,45.32,50.12,43.83,54.06,48.72,46.04,42.31,41.53,40.91,43.21,42.06,42.26,44.28,47.36,50.71,49.78,51.93,43.99,48.28,53.15,47.76,50.83,46.14,50.44,67.88,56.14,55.88,55.1,50.78,63.1,60.26,53.87
2004,7,48.99,44.76,45.67,46.21,45.22,55.75,49.33,50.02,40.33,45.07,47.41,49.16,45.66,45.25,49.67,43.56,53.51,48.37,45.79,42.09,41.39,40.25,43.3,42.02,42.08,43.89,46.69,50.21,49.43,51.39,43.49,47.92,52.69,47.3,50.92,45.95,49.96,67.95,56.16,54.74,55.15,50.81,63.44,60.13,53.83
2004,8,48.53,44.18,45.2,45.85,44.66,55.41,49.23,49.81,40.25,44.78,47.43,48.95,45.33,44.99,49,43.21,52.57,47.95,45.13,41.55,41.09,40.12,43.1,41.74,41.91,43.61,46.18,49.33,48.27,50.02,42.8,47.45,52.42,47.13,50.93,45.48,49.85,68.16,56.16,53.11,55.45,50.63,63.08,59.78,53.7
